,training.top_k_forward_reward.top_1_forward_reward,training.top_k_reward.top_1_reward,training.top_k_ctrl_reward.top_0_ctrl_reward,_step,_runtime,training.run_id,training.top_k_fit.top_2_fit,training.evaluation_time,training.top_k_healthy_reward.top_0_healthy_reward,training.fitness_std,training.top_k_fit.top_1_fit,training.top_k_reward.top_2_reward,training.fitness_mean,training.top_k_forward_reward.top_2_forward_reward,training.fitness_1q,training.top_k_reward.top_0_reward,training.top_k_healthy_reward.top_1_healthy_reward,training.generation,training.fitness_median,training.top_k_ctrl_reward.top_2_ctrl_reward,training.top_k_forward_reward.top_0_forward_reward,training.top_k_healthy_reward.top_2_healthy_reward,training.fitness_3q,training.top_k_fit.top_0_fit,_timestamp,training.top_k_ctrl_reward.top_1_ctrl_reward,solver,ea,fitness,environment,seed,training.evaluation
0,0,60.20000076293945,0,0,13.954774141311646,104,50,10.53445053100586,0,98.42963409423828,58,51.79999923706055,28.260000228881836,0,31.0,999,0,0,15.0,0,0,0,6.0,999,1693558513.774552,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,0
1,0,999.0,0,1,15.461230754852295,104,61,1.2591416835784912,0,137.14581298828125,999,52.60000228881836,43.62999725341797,0,33.0,999,0,1,29.0,0,0,0,8.0,999,1693558515.2810087,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,100
2,0,999.0,0,2,16.765801668167114,104,999,1.2619229555130005,0,166.50404357910156,999,999.0,56.02000045776367,0,36.0,999,0,2,29.0,0,0,0,15.0,999,1693558516.5855796,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,200
3,0,999.0,0,3,18.065008401870728,104,999,1.256481409072876,0,191.16554260253906,999,999.0,66.08999633789062,0,37.5,999,0,3,29.5,0,0,0,13.75,999,1693558517.8847864,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,300
4,0,999.0,0,4,19.374966621398926,104,999,1.2665530443191528,0,212.31849670410156,999,999.0,76.94999694824219,0,43.25,999,0,4,29.5,0,0,0,12.25,999,1693558519.1947446,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,400
5,0,999.0,0,5,20.679651498794556,104,999,1.2614563703536987,0,248.14892578125,999,999.0,96.93000030517578,0,49.0,999,0,5,31.0,0,0,0,7.75,999,1693558520.4994295,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,500
6,0,999.0,0,6,21.991994619369507,104,999,1.2692699432373047,0,265.4715881347656,999,999.0,101.29000091552734,0,35.25,999,0,6,21.5,0,0,0,6.0,999,1693558521.8117726,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,600
7,0,999.0,0,7,23.304574728012085,104,999,1.2708207368850708,0,249.917724609375,999,999.0,92.7699966430664,0,34.25,999,0,7,21.0,0,0,0,6.0,999,1693558523.1243527,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,700
8,0,999.0,0,8,24.628538608551025,104,999,1.2809247970581055,0,279.39080810546875,999,999.0,115.25,0,40.25,999,0,8,28.0,0,0,0,6.0,999,1693558524.4483166,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,800
9,0,999.0,0,9,25.981759786605835,104,999,1.265500545501709,0,307.7861633300781,999,999.0,139.36000061035156,0,50.0,999,0,9,29.0,0,0,0,6.0,999,1693558525.8015378,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,900
10,0,999.0,0,10,27.283731698989868,104,999,1.259806752204895,0,327.9888916015625,999,999.0,153.3199920654297,0,51.25,999,0,10,28.5,0,0,0,6.0,999,1693558527.1035097,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,1000
11,0,999.0,0,11,28.587422370910645,104,999,1.2607094049453735,0,339.30987548828125,999,999.0,169.5800018310547,0,52.25,999,0,11,31.0,0,0,0,6.0,999,1693558528.4072003,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,1100
12,0,999.0,0,12,29.889060735702515,104,999,1.2565721273422241,0,359.3494873046875,999,999.0,189.4199981689453,0,51.0,999,0,12,29.5,0,0,0,6.0,999,1693558529.7088387,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,1200
