iteration,front_size,reward,simplicity,seed,environment,solver
0,4,5.8846016,0.81666666,0,swimmer,cgp
0,4,1.1918582,0.8333333,0,swimmer,cgp
0,4,18.740835,0.79999995,0,swimmer,cgp
0,4,20.77224,0.76666665,0,swimmer,cgp
1,5,1.1918582,0.8333333,0,swimmer,cgp
1,5,18.740835,0.79999995,0,swimmer,cgp
1,5,20.77224,0.76666665,0,swimmer,cgp
1,5,13.675734,0.81666666,0,swimmer,cgp
1,5,19.992805,0.7833333,0,swimmer,cgp
2,5,1.1918582,0.8333333,0,swimmer,cgp
2,5,24.642673,0.7833333,0,swimmer,cgp
2,5,67.51799,0.65,0,swimmer,cgp
2,5,43.955097,0.75,0,swimmer,cgp
2,5,20.678305,0.81666666,0,swimmer,cgp
3,5,1.1918582,0.8333333,0,swimmer,cgp
3,5,24.642673,0.7833333,0,swimmer,cgp
3,5,67.51799,0.65,0,swimmer,cgp
3,5,43.955097,0.75,0,swimmer,cgp
3,5,20.678305,0.81666666,0,swimmer,cgp
4,5,24.642673,0.7833333,0,swimmer,cgp
4,5,67.51799,0.65,0,swimmer,cgp
4,5,43.955097,0.75,0,swimmer,cgp
4,5,20.678305,0.81666666,0,swimmer,cgp
4,5,16.081512,0.8333333,0,swimmer,cgp
5,5,67.51799,0.65,0,swimmer,cgp
5,5,43.955097,0.75,0,swimmer,cgp
5,5,20.678305,0.81666666,0,swimmer,cgp
5,5,16.081512,0.8333333,0,swimmer,cgp
5,5,27.828745,0.7833333,0,swimmer,cgp
6,5,67.51799,0.65,0,swimmer,cgp
6,5,43.955097,0.75,0,swimmer,cgp
6,5,20.678305,0.81666666,0,swimmer,cgp
6,5,16.081512,0.8333333,0,swimmer,cgp
6,5,31.499977,0.7833333,0,swimmer,cgp
7,4,20.678305,0.81666666,0,swimmer,cgp
7,4,31.499977,0.7833333,0,swimmer,cgp
7,4,18.720976,0.8333333,0,swimmer,cgp
7,4,71.88676,0.76666665,0,swimmer,cgp
8,5,20.678305,0.81666666,0,swimmer,cgp
8,5,31.499977,0.7833333,0,swimmer,cgp
8,5,18.720976,0.8333333,0,swimmer,cgp
8,5,139.51392,0.71666664,0,swimmer,cgp
8,5,91.237724,0.76666665,0,swimmer,cgp
9,5,20.678305,0.81666666,0,swimmer,cgp
9,5,31.499977,0.7833333,0,swimmer,cgp
9,5,18.720976,0.8333333,0,swimmer,cgp
9,5,139.51392,0.71666664,0,swimmer,cgp
9,5,91.237724,0.76666665,0,swimmer,cgp
10,4,20.678305,0.81666666,0,swimmer,cgp
10,4,18.720976,0.8333333,0,swimmer,cgp
10,4,91.237724,0.76666665,0,swimmer,cgp
10,4,32.35398,0.7833333,0,swimmer,cgp
11,4,20.678305,0.81666666,0,swimmer,cgp
11,4,18.720976,0.8333333,0,swimmer,cgp
11,4,88.5279,0.76666665,0,swimmer,cgp
11,4,32.35398,0.7833333,0,swimmer,cgp
12,5,20.678305,0.81666666,0,swimmer,cgp
12,5,18.720976,0.8333333,0,swimmer,cgp
12,5,83.514496,0.76666665,0,swimmer,cgp
12,5,33.500668,0.7833333,0,swimmer,cgp
12,5,23.23079,0.79999995,0,swimmer,cgp
13,5,20.678305,0.81666666,0,swimmer,cgp
13,5,18.720976,0.8333333,0,swimmer,cgp
13,5,77.50867,0.76666665,0,swimmer,cgp
13,5,23.23079,0.79999995,0,swimmer,cgp
13,5,35.41587,0.7833333,0,swimmer,cgp
14,5,20.678305,0.81666666,0,swimmer,cgp
14,5,18.720976,0.8333333,0,swimmer,cgp
14,5,35.41587,0.7833333,0,swimmer,cgp
14,5,74.20695,0.76666665,0,swimmer,cgp
14,5,28.99916,0.79999995,0,swimmer,cgp
15,5,20.678305,0.81666666,0,swimmer,cgp
15,5,18.720976,0.8333333,0,swimmer,cgp
15,5,71.88676,0.76666665,0,swimmer,cgp
15,5,35.41587,0.7833333,0,swimmer,cgp
15,5,28.99916,0.79999995,0,swimmer,cgp
16,5,20.678305,0.81666666,0,swimmer,cgp
16,5,18.720976,0.8333333,0,swimmer,cgp
16,5,71.88676,0.76666665,0,swimmer,cgp
16,5,28.99916,0.79999995,0,swimmer,cgp
16,5,37.952606,0.7833333,0,swimmer,cgp
17,5,20.678305,0.81666666,0,swimmer,cgp
17,5,18.720976,0.8333333,0,swimmer,cgp
17,5,71.88676,0.76666665,0,swimmer,cgp
17,5,28.99916,0.79999995,0,swimmer,cgp
17,5,37.952606,0.7833333,0,swimmer,cgp
18,5,20.678305,0.81666666,0,swimmer,cgp
18,5,18.720976,0.8333333,0,swimmer,cgp
18,5,71.88676,0.76666665,0,swimmer,cgp
18,5,28.99916,0.79999995,0,swimmer,cgp
18,5,39.21274,0.7833333,0,swimmer,cgp
19,5,20.678305,0.81666666,0,swimmer,cgp
19,5,18.720976,0.8333333,0,swimmer,cgp
19,5,71.88676,0.76666665,0,swimmer,cgp
19,5,39.21274,0.7833333,0,swimmer,cgp
19,5,34.40826,0.79999995,0,swimmer,cgp
20,4,20.678305,0.81666666,0,swimmer,cgp
20,4,18.720976,0.8333333,0,swimmer,cgp
20,4,71.88676,0.76666665,0,swimmer,cgp
20,4,40.121075,0.79999995,0,swimmer,cgp
21,4,20.678305,0.81666666,0,swimmer,cgp
21,4,18.720976,0.8333333,0,swimmer,cgp
21,4,71.88676,0.76666665,0,swimmer,cgp
21,4,40.121075,0.79999995,0,swimmer,cgp
22,4,20.678305,0.81666666,0,swimmer,cgp
22,4,18.720976,0.8333333,0,swimmer,cgp
22,4,71.88676,0.76666665,0,swimmer,cgp
22,4,40.121075,0.79999995,0,swimmer,cgp
23,4,20.678305,0.81666666,0,swimmer,cgp
23,4,18.720976,0.8333333,0,swimmer,cgp
23,4,40.121075,0.79999995,0,swimmer,cgp
23,4,72.706245,0.76666665,0,swimmer,cgp
24,4,20.678305,0.81666666,0,swimmer,cgp
24,4,18.720976,0.8333333,0,swimmer,cgp
24,4,71.88676,0.76666665,0,swimmer,cgp
24,4,40.121075,0.79999995,0,swimmer,cgp
25,4,20.678305,0.81666666,0,swimmer,cgp
25,4,18.720976,0.8333333,0,swimmer,cgp
25,4,61.08195,0.79999995,0,swimmer,cgp
25,4,77.353065,0.76666665,0,swimmer,cgp
26,4,20.678305,0.81666666,0,swimmer,cgp
26,4,18.720976,0.8333333,0,swimmer,cgp
26,4,61.08195,0.79999995,0,swimmer,cgp
26,4,94.07582,0.7833333,0,swimmer,cgp
27,3,18.720976,0.8333333,0,swimmer,cgp
27,3,61.08195,0.79999995,0,swimmer,cgp
27,3,22.181715,0.81666666,0,swimmer,cgp
28,3,18.720976,0.8333333,0,swimmer,cgp
28,3,58.175358,0.79999995,0,swimmer,cgp
28,3,22.181715,0.81666666,0,swimmer,cgp
29,3,18.720976,0.8333333,0,swimmer,cgp
29,3,22.181715,0.81666666,0,swimmer,cgp
29,3,46.952923,0.79999995,0,swimmer,cgp
30,3,18.720976,0.8333333,0,swimmer,cgp
30,3,22.181715,0.81666666,0,swimmer,cgp
30,3,45.073345,0.79999995,0,swimmer,cgp
31,3,18.720976,0.8333333,0,swimmer,cgp
31,3,43.057766,0.79999995,0,swimmer,cgp
31,3,22.181715,0.81666666,0,swimmer,cgp
