,iteration,front_size,reward,simplicity
0,0,3,624.03925,0.8666667
1,0,3,577.0498,0.93333334
2,0,3,254.70013,1.0
3,1,4,624.03925,0.8666667
4,1,4,577.0498,0.93333334
5,1,4,282.694,1.0
6,1,4,700.14233,0.79999995
7,2,4,624.03925,0.8666667
8,2,4,700.14233,0.79999995
9,2,4,614.7444,0.93333334
10,2,4,282.8338,1.0
11,3,4,624.03925,0.8666667
12,3,4,700.14233,0.79999995
13,3,4,614.7444,0.93333334
14,3,4,301.5875,1.0
15,4,2,614.7444,0.93333334
16,4,2,311.78497,1.0
17,5,2,605.0563,0.93333334
18,5,2,311.78497,1.0
19,6,3,311.78497,1.0
20,6,3,829.4646,0.79999995
21,6,3,800.0899,0.93333334
22,7,3,311.78497,1.0
23,7,3,829.4646,0.79999995
24,7,3,800.0899,0.93333334
25,8,4,311.78497,1.0
26,8,4,829.4646,0.79999995
27,8,4,800.0899,0.93333334
28,8,4,821.98566,0.8666667
29,9,3,1042.4916,0.73333335
30,9,3,867.2282,0.93333334
31,9,3,321.2521,1.0
32,10,3,1042.4916,0.73333335
33,10,3,867.2282,0.93333334
34,10,3,321.2521,1.0
35,11,3,1042.4916,0.73333335
36,11,3,867.2282,0.93333334
37,11,3,321.2521,1.0
38,12,3,1042.4916,0.73333335
39,12,3,867.2282,0.93333334
40,12,3,321.2521,1.0
41,13,3,1042.4916,0.73333335
42,13,3,867.2282,0.93333334
43,13,3,321.2521,1.0
44,14,3,1042.4916,0.73333335
45,14,3,867.2282,0.93333334
46,14,3,321.2521,1.0
47,15,3,1042.4916,0.73333335
48,15,3,867.2282,0.93333334
49,15,3,321.2521,1.0
50,16,3,1042.4916,0.73333335
51,16,3,867.2282,0.93333334
52,16,3,321.2521,1.0
53,17,3,1042.4916,0.73333335
54,17,3,867.2282,0.93333334
55,17,3,321.2521,1.0
56,18,3,1042.4916,0.73333335
57,18,3,867.2282,0.93333334
58,18,3,321.2521,1.0
59,19,3,1042.4916,0.73333335
60,19,3,867.2282,0.93333334
61,19,3,321.2521,1.0
62,20,3,1042.4916,0.73333335
63,20,3,321.2521,1.0
64,20,3,880.14124,0.93333334
65,21,3,1042.4916,0.73333335
66,21,3,321.2521,1.0
67,21,3,880.14124,0.93333334
68,22,3,1042.4916,0.73333335
69,22,3,321.2521,1.0
70,22,3,880.14124,0.93333334
71,23,3,1042.4916,0.73333335
72,23,3,321.2521,1.0
73,23,3,880.14124,0.93333334
74,24,3,1042.4916,0.73333335
75,24,3,321.2521,1.0
76,24,3,880.14124,0.93333334
77,25,3,1042.4916,0.73333335
78,25,3,321.2521,1.0
79,25,3,899.3772,0.93333334
80,26,3,1042.4916,0.73333335
81,26,3,321.2521,1.0
82,26,3,899.3772,0.93333334
83,27,3,1042.4916,0.73333335
84,27,3,321.2521,1.0
85,27,3,899.3772,0.93333334
86,28,3,1042.4916,0.73333335
87,28,3,321.2521,1.0
88,28,3,899.3772,0.93333334
89,29,3,1042.4916,0.73333335
90,29,3,321.2521,1.0
91,29,3,947.13336,0.93333334
92,30,3,1042.4916,0.73333335
