,iteration,front_size,reward,simplicity
0,0,1,23.952364,1.0
1,1,1,25.135862,1.0
2,2,1,23.113255,1.0
3,3,1,26.928396,1.0
4,4,1,33.315224,1.0
5,5,1,19.383873,1.0
6,6,1,24.951197,1.0
7,7,1,25.78387,1.0
8,8,1,25.671934,1.0
9,9,1,25.088736,1.0
10,10,1,74.56906,1.0
11,11,1,14.74087,1.0
12,12,1,24.316635,1.0
13,13,1,22.203646,1.0
14,14,1,25.318027,1.0
15,15,1,22.716154,1.0
16,16,1,24.23742,1.0
17,17,1,19.452066,1.0
18,18,1,22.949648,1.0
19,19,1,23.898079,1.0
20,20,1,24.680244,1.0
21,21,1,34.948753,1.0
22,22,1,25.988638,1.0
23,23,1,24.489658,1.0
24,24,1,24.518263,1.0
25,25,1,31.018406,1.0
26,26,1,23.945827,1.0
27,27,1,15.996982,1.0
28,28,1,29.5702,1.0
29,29,1,23.602804,1.0
30,30,1,26.8033,1.0
31,31,1,28.500273,1.0
32,32,1,25.81191,1.0
33,33,1,25.073277,1.0
34,34,1,25.791733,1.0
35,35,1,22.548853,1.0
36,36,1,19.722933,1.0
37,37,1,28.675434,1.0
38,38,1,26.705235,1.0
39,39,1,171.15636,1.0
40,40,1,159.13116,1.0
41,41,1,19.907606,1.0
42,42,1,29.982058,1.0
43,43,1,23.419458,1.0
44,44,1,25.384525,1.0
45,45,1,24.710646,1.0
46,46,1,19.474173,1.0
47,47,1,27.23839,1.0
48,48,1,41.19563,1.0
49,49,1,31.74613,1.0
50,50,1,19.921717,1.0
51,51,1,48.505104,1.0
52,52,1,21.927832,1.0
53,53,1,22.864227,1.0
54,54,1,67.1113,1.0
55,55,1,41.729286,1.0
56,56,1,34.102467,1.0
57,57,1,34.164116,1.0
58,58,1,23.573328,1.0
59,59,1,81.69517,1.0
60,60,1,17.643305,1.0
61,61,1,28.543385,1.0
62,62,1,33.99002,1.0
63,63,1,25.227129,1.0
64,64,1,35.361042,1.0
65,65,1,27.211185,1.0
66,66,1,25.909496,1.0
67,67,1,29.49197,1.0
68,68,1,22.49259,1.0
69,69,1,20.349108,1.0
70,70,1,109.097176,1.0
71,71,1,28.725733,1.0
72,72,1,33.835236,1.0
73,73,1,25.872507,1.0
74,74,1,24.923174,1.0
75,75,1,20.632158,1.0
76,76,1,22.04018,1.0
77,77,1,60.299614,1.0
78,78,1,22.86876,1.0
79,79,1,28.557344,1.0
80,80,1,27.256287,1.0
81,81,1,38.41757,1.0
82,82,1,88.35046,1.0
83,83,1,197.22939,1.0
84,84,1,31.253332,1.0
85,85,1,24.047459,1.0
86,86,1,29.792547,1.0
87,87,1,19.089073,1.0
88,88,1,29.687235,1.0
89,89,1,18.641424,1.0
90,90,1,18.462004,1.0
91,91,1,23.188833,1.0
92,92,1,31.735329,1.0
93,93,1,15.695528,1.0
94,94,1,29.751293,1.0
95,95,1,23.03291,1.0
96,96,1,27.65143,1.0
97,97,1,38.577435,1.0
98,98,1,21.469734,1.0
99,99,1,24.77643,1.0
100,100,1,28.963022,1.0
101,101,1,35.206696,1.0
102,102,1,65.201065,1.0
103,103,1,24.326572,1.0
104,104,1,29.150213,1.0
105,105,1,18.210777,1.0
106,106,1,38.456993,1.0
107,107,1,27.149359,1.0
108,108,1,16.362745,1.0
109,109,1,25.174496,1.0
110,110,1,22.33496,1.0
111,111,1,22.583517,1.0
112,112,1,30.828709,1.0
113,113,1,61.604717,1.0
114,114,1,22.340979,1.0
115,115,1,20.885235,1.0
116,116,1,25.564444,1.0
117,117,1,30.366245,1.0
118,118,1,19.495481,1.0
119,119,1,15.686037,1.0
120,120,1,19.564756,1.0
121,121,1,21.354273,1.0
122,122,1,72.82337,1.0
123,123,1,26.949371,1.0
124,124,1,24.25202,1.0
125,125,1,31.923344,1.0
126,126,1,18.76318,1.0
127,127,1,15.4551115,1.0
128,128,1,51.05752,1.0
129,129,1,16.95762,1.0
130,130,1,22.781124,1.0
131,131,1,31.353275,1.0
132,132,1,28.339287,1.0
133,133,1,26.117704,1.0
134,134,1,27.846703,1.0
135,135,1,15.941377,1.0
136,136,1,20.949888,1.0
137,137,1,27.801212,1.0
138,138,1,64.21684,1.0
139,139,1,20.328468,1.0
140,140,1,26.333649,1.0
141,141,1,22.686234,1.0
142,142,1,27.584087,1.0
143,143,1,40.42045,1.0
144,144,1,30.405882,1.0
145,145,1,30.21844,1.0
146,146,1,22.170092,1.0
147,147,1,24.474989,1.0
148,148,1,21.591488,1.0
149,149,1,25.846888,1.0
150,150,1,100.46569,1.0
151,151,1,21.399446,1.0
152,152,1,21.600891,1.0
153,153,1,20.304129,1.0
154,154,1,24.666855,1.0
155,155,1,25.05872,1.0
156,156,1,132.99454,1.0
157,157,1,14.216359,1.0
158,158,1,24.651075,1.0
159,159,1,29.60217,1.0
160,160,1,18.626198,1.0
161,161,1,23.977081,1.0
162,162,1,25.96825,1.0
163,163,1,18.966038,1.0
164,164,1,51.663124,1.0
165,165,1,19.05076,1.0
166,166,1,28.226357,1.0
167,167,1,45.828686,1.0
168,168,1,33.62711,1.0
169,169,1,14.611362,1.0
170,170,1,20.376598,1.0
171,171,1,28.96819,1.0
172,172,1,27.634584,1.0
173,173,1,25.610989,1.0
174,174,1,24.770687,1.0
175,175,1,21.863745,1.0
176,176,1,18.448465,1.0
177,177,1,22.215485,1.0
178,178,1,24.982143,1.0
179,179,1,43.789127,1.0
180,180,1,24.776243,1.0
181,181,1,30.955894,1.0
182,182,1,22.488012,1.0
183,183,1,26.834217,1.0
184,184,1,24.884602,1.0
185,185,1,20.31778,1.0
186,186,1,40.3081,1.0
187,187,1,31.414034,1.0
188,188,1,187.85353,1.0
189,189,1,14.877902,1.0
190,190,1,32.60287,1.0
191,191,1,29.362846,1.0
192,192,1,21.491255,1.0
193,193,1,26.34429,1.0
194,194,1,25.004885,1.0
195,195,1,13.661766,1.0
196,196,1,16.671663,1.0
197,197,1,40.809868,1.0
