,iteration,front_size,reward,simplicity
0,0,3,19.429052,0.81666666
1,0,3,26.3965,0.79999995
2,0,3,11.166559,0.8333333
3,1,4,19.429052,0.81666666
4,1,4,26.3965,0.79999995
5,1,4,16.3993,0.8333333
6,1,4,75.139885,0.7833333
7,2,4,19.429052,0.81666666
8,2,4,26.3965,0.79999995
9,2,4,16.3993,0.8333333
10,2,4,75.139885,0.7833333
11,3,4,26.3965,0.79999995
12,3,4,16.3993,0.8333333
13,3,4,75.139885,0.7833333
14,3,4,24.171387,0.81666666
15,4,4,26.3965,0.79999995
16,4,4,16.3993,0.8333333
17,4,4,75.139885,0.7833333
18,4,4,24.171387,0.81666666
19,5,4,26.3965,0.79999995
20,5,4,16.3993,0.8333333
21,5,4,75.139885,0.7833333
22,5,4,24.171387,0.81666666
23,6,4,26.3965,0.79999995
24,6,4,16.3993,0.8333333
25,6,4,75.139885,0.7833333
26,6,4,24.171387,0.81666666
27,7,4,75.139885,0.7833333
28,7,4,24.171387,0.81666666
29,7,4,27.275146,0.79999995
30,7,4,24.089752,0.8333333
31,8,4,24.171387,0.81666666
32,8,4,24.089752,0.8333333
33,8,4,75.549416,0.7833333
34,8,4,36.33998,0.79999995
35,9,5,24.171387,0.81666666
36,9,5,24.089752,0.8333333
37,9,5,75.549416,0.7833333
38,9,5,36.33998,0.79999995
39,9,5,99.82473,0.76666665
40,10,4,75.549416,0.7833333
41,10,4,99.82473,0.76666665
42,10,4,25.934763,0.8333333
43,10,4,53.54797,0.79999995
44,11,4,75.549416,0.7833333
45,11,4,99.82473,0.76666665
46,11,4,25.934763,0.8333333
47,11,4,53.54797,0.79999995
48,12,4,75.549416,0.7833333
49,12,4,99.82473,0.76666665
50,12,4,25.934763,0.8333333
51,12,4,53.54797,0.79999995
52,13,4,75.549416,0.7833333
53,13,4,99.82473,0.76666665
54,13,4,25.934763,0.8333333
55,13,4,53.54797,0.79999995
56,14,4,75.549416,0.7833333
57,14,4,99.82473,0.76666665
58,14,4,25.934763,0.8333333
59,14,4,53.54797,0.79999995
60,15,4,25.934763,0.8333333
61,15,4,53.54797,0.79999995
62,15,4,80.53591,0.7833333
63,15,4,100.8854,0.76666665
64,16,4,25.934763,0.8333333
65,16,4,53.54797,0.79999995
66,16,4,80.53591,0.7833333
67,16,4,100.8854,0.76666665
68,17,4,25.934763,0.8333333
69,17,4,53.54797,0.79999995
70,17,4,80.53591,0.7833333
71,17,4,100.8854,0.76666665
72,18,4,99.82473,0.76666665
73,18,4,25.934763,0.8333333
74,18,4,53.54797,0.79999995
75,18,4,80.53591,0.7833333
76,19,4,99.82473,0.76666665
77,19,4,25.934763,0.8333333
78,19,4,53.54797,0.79999995
79,19,4,80.53591,0.7833333
80,20,4,99.82473,0.76666665
