healthy,ctrl,forward,total,cumulative,cumulative_healthy,cumulative_ctrl,cumulative_forward
1.0,-0.0016825300408527255,-0.0010233947541564703,0.9972940683364868,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0022800243459641933,0.05223945528268814,1.049959421157837,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0021584630012512207,0.0073618534952402115,1.0052034854888916,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0023297914303839207,-0.03358861058950424,0.9640816450119019,578.9067,232.0,-0.6240843,347.53073
1.0,-0.002655213698744774,-0.0037237275391817093,0.9936210513114929,578.9067,232.0,-0.6240843,347.53073
1.0,-0.002705794060602784,-0.01182336825877428,0.9854708313941956,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0027109801303595304,-0.011928078718483448,0.9853609204292297,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0026494734920561314,-0.0033685488160699606,0.9939819574356079,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0025268979370594025,0.01675460860133171,1.0142277479171753,578.9067,232.0,-0.6240843,347.53073
1.0,-0.002469886327162385,0.022717144340276718,1.020247220993042,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0022764073219150305,0.036936402320861816,1.0346599817276,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0022716023959219456,-0.028379274532198906,0.9693491458892822,578.9067,232.0,-0.6240843,347.53073
1.0,-0.002799666952341795,-0.08270231634378433,0.914497971534729,578.9067,232.0,-0.6240843,347.53073
1.0,-0.002938596298918128,-0.07096628844738007,0.9260951280593872,578.9067,232.0,-0.6240843,347.53073
1.0,-0.002705944702029228,-0.025657804682850838,0.9716362357139587,578.9067,232.0,-0.6240843,347.53073
1.0,-0.00257166288793087,-0.04806813225150108,0.9493602514266968,578.9067,232.0,-0.6240843,347.53073
1.0,-0.002777232090011239,-0.08244922757148743,0.9147735834121704,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0027751196175813675,-0.0679435282945633,0.9292813539505005,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0027382674161344767,-0.05760715901851654,0.939654529094696,578.9067,232.0,-0.6240843,347.53073
1.0,-0.002732326742261648,-0.06688481569290161,0.9303828477859497,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0027558989822864532,-0.06796151399612427,0.9292826056480408,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0027817669324576855,-0.05557702109217644,0.9416412115097046,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0027494034729897976,-0.06459623575210571,0.9326543807983398,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0027720623183995485,-0.07023999840021133,0.9269879460334778,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0027841266710311174,-0.04894443228840828,0.9482714533805847,578.9067,232.0,-0.6240843,347.53073
1.0,-0.002758668502792716,-0.05360494554042816,0.9436363577842712,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0027798910159617662,-0.06953364610671997,0.9276864528656006,578.9067,232.0,-0.6240843,347.53073
1.0,-0.002778752474114299,-0.0512637160718441,0.9459575414657593,578.9067,232.0,-0.6240843,347.53073
1.0,-0.002843979513272643,-0.04336715117096901,0.9537888765335083,578.9067,232.0,-0.6240843,347.53073
1.0,-0.002766767982393503,-0.05521904304623604,0.9420141577720642,578.9067,232.0,-0.6240843,347.53073
1.0,-0.002789375837892294,-0.05860591307282448,0.9386047124862671,578.9067,232.0,-0.6240843,347.53073
1.0,-0.002797400811687112,-0.04764029011130333,0.9495623111724854,578.9067,232.0,-0.6240843,347.53073
1.0,-0.002776556182652712,-0.04692363739013672,0.9502997994422913,578.9067,232.0,-0.6240843,347.53073
1.0,-0.002778469119220972,-0.037343937903642654,0.959877610206604,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0028183250688016415,-0.03293878212571144,0.9642428755760193,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0027694173622876406,-0.03922276571393013,0.9580078125,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0027900279965251684,-0.047466713935136795,0.9497432708740234,578.9067,232.0,-0.6240843,347.53073
1.0,-0.002800482092425227,-0.015375901944935322,0.9818236231803894,578.9067,232.0,-0.6240843,347.53073
1.0,-0.002774397609755397,-0.0323198027908802,0.9649057984352112,578.9067,232.0,-0.6240843,347.53073
1.0,-0.002794815693050623,-0.0454152449965477,0.9517899751663208,578.9067,232.0,-0.6240843,347.53073
1.0,-0.002787151839584112,-0.02107233554124832,0.9761404991149902,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0028099094051867723,-0.021753132343292236,0.9754369854927063,578.9067,232.0,-0.6240843,347.53073
1.0,-0.002791321137920022,-0.032227251678705215,0.9649813771247864,578.9067,232.0,-0.6240843,347.53073
1.0,-0.002777679590508342,-0.025968996807932854,0.9712533354759216,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0028967992402613163,0.0035968839656561613,1.0007001161575317,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0028050271794199944,-0.020843463018536568,0.9763514995574951,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0027709214482456446,-0.024940701201558113,0.9722883701324463,578.9067,232.0,-0.6240843,347.53073
1.0,-0.002779922215268016,0.0005051260231994092,0.9977251887321472,578.9067,232.0,-0.6240843,347.53073
1.0,-0.002759393770247698,-0.008943606168031693,0.9882969856262207,578.9067,232.0,-0.6240843,347.53073
1.0,-0.002752829808741808,-0.018280230462551117,0.9789669513702393,578.9067,232.0,-0.6240843,347.53073
1.0,-0.002750078681856394,0.0014620599104091525,0.9987120032310486,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0028026150539517403,-0.08975748717784882,0.9074398875236511,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0027403496205806732,-0.19661009311676025,0.8006495833396912,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0028257614467293024,-0.18781410157680511,0.809360146522522,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0027199864853173494,-0.13451160490512848,0.8627684116363525,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0027287816628813744,-0.14919111132621765,0.8480800986289978,578.9067,232.0,-0.6240843,347.53073
1.0,-0.002732753986492753,-0.16504548490047455,0.8322217464447021,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0026948850136250257,-0.16801942884922028,0.8292856812477112,578.9067,232.0,-0.6240843,347.53073
1.0,-0.002722283359616995,-0.14458362758159637,0.8526940941810608,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0026735090650618076,-0.13884878158569336,0.8584777116775513,578.9067,232.0,-0.6240843,347.53073
1.0,-0.002657357370480895,-0.13758032023906708,0.8597623109817505,578.9067,232.0,-0.6240843,347.53073
1.0,-0.002647736109793186,-0.1357223242521286,0.8616299033164978,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0026325418148189783,-0.14450377225875854,0.8528636693954468,578.9067,232.0,-0.6240843,347.53073
1.0,-0.00262600090354681,0.081576868891716,1.0789508819580078,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0026263820473104715,0.5412201285362244,1.5385937690734863,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0035489178262650967,1.1427669525146484,2.1392180919647217,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0031014925334602594,1.6102826595306396,2.6071810722351074,578.9067,232.0,-0.6240843,347.53073
1.0,-0.003204080741852522,1.8845373392105103,2.881333112716675,578.9067,232.0,-0.6240843,347.53073
1.0,-0.00285447109490633,1.9626150131225586,2.9597604274749756,578.9067,232.0,-0.6240843,347.53073
1.0,-0.002620857208967209,1.8683714866638184,2.865750551223755,578.9067,232.0,-0.6240843,347.53073
1.0,-0.002596325008198619,1.8240463733673096,2.8214499950408936,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0031683987472206354,1.9504585266113281,2.9472901821136475,578.9067,232.0,-0.6240843,347.53073
1.0,-0.002184133743867278,2.1568357944488525,3.154651641845703,578.9067,232.0,-0.6240843,347.53073
1.0,-0.002291669137775898,2.309131383895874,3.30683970451355,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0016750708455219865,2.323650598526001,3.3219754695892334,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0018687039846554399,2.2786333560943604,3.2767646312713623,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0020079356618225574,2.2611019611358643,3.259093999862671,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0016332523664459586,2.265965461730957,3.2643322944641113,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0022071953862905502,2.1518356800079346,3.1496284008026123,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0028789963107556105,2.062696933746338,3.0598180294036865,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0029252429958432913,2.016151189804077,3.01322603225708,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0026359723415225744,2.070261001586914,3.067625045776367,578.9067,232.0,-0.6240843,347.53073
