iteration,fitness,time
0,215.1999969482422,1.23
1,211.8000030517578,1.17
2,228.1999969482422,1.32
3,218.60000610351562,1.21
4,223.40000915527344,1.21
5,235.60000610351562,1.22
6,240.60000610351562,1.36
7,226.40000915527344,1.27
8,240.8000030517578,1.23
9,219.8000030517578,1.27
10,237.8000030517578,1.19
11,234.1999969482422,1.30
12,255.1999969482422,1.23
13,241.0,1.30
14,235.60000610351562,1.17
15,244.8000030517578,1.24
16,226.0,1.28
17,265.6000061035156,1.25
18,400.8000183105469,1.40
19,232.1999969482422,1.33
20,243.0,1.23
21,329.3999938964844,1.27
22,267.0,1.26
23,359.8000183105469,1.29
24,463.20001220703125,1.22
25,395.8000183105469,1.29
26,467.0,1.26
27,453.3999938964844,1.39
28,500.0,1.33
29,500.0,1.37
30,500.0,1.27
31,500.0,1.26
32,500.0,1.25
33,500.0,1.34
34,500.0,1.36
35,500.0,1.24
36,500.0,1.35
37,500.0,1.16
38,500.0,1.31
39,500.0,1.26
40,500.0,1.25
41,500.0,1.37
42,500.0,1.21
43,500.0,1.33
44,500.0,1.23
45,500.0,1.28
46,500.0,1.30
47,500.0,1.34
48,500.0,1.27
49,500.0,1.25
