evaluation,fitness,time
0,1397.955810546875,182.94
0,2331.23095703125,103.43
100,2478.66552734375,103.43
200,2675.247314453125,103.43
300,2698.514892578125,103.43
400,2698.514892578125,103.43
500,2698.514892578125,103.43
600,2698.514892578125,103.43
700,4372.728515625,103.43
800,4372.728515625,103.43
900,4372.728515625,103.43
1000,4372.728515625,103.43
1100,4380.17822265625,103.43
1200,4380.17822265625,103.43
1300,4565.3564453125,103.43
1400,4565.3564453125,103.43
1500,4658.12841796875,103.43
1600,4658.12841796875,103.43
1700,4658.12841796875,103.43
1800,4658.12841796875,103.43
1900,4658.12841796875,103.43
2000,4658.12841796875,103.43
2100,4658.12841796875,103.43
2200,4658.12841796875,103.43
2300,4658.12841796875,103.43
2400,4658.12841796875,103.43
2500,4658.12841796875,103.43
2600,4658.12841796875,103.43
2700,5952.7236328125,103.43
2800,5952.7236328125,103.43
2900,5952.7236328125,103.43
3000,5952.7236328125,103.43
3100,5952.7236328125,103.43
3200,5952.7236328125,103.43
3300,5952.7236328125,103.43
3400,5952.7236328125,103.43
3500,5952.7236328125,103.43
3600,5952.7236328125,103.43
3700,5952.7236328125,103.43
3800,5952.7236328125,103.43
3900,5952.7236328125,103.43
4000,5952.7236328125,103.43
4100,5952.7236328125,103.43
4200,5952.7236328125,103.43
4300,5952.7236328125,103.43
4400,5952.7236328125,103.43
4500,5952.7236328125,103.43
4600,5952.7236328125,103.43
4700,5952.7236328125,103.43
4800,5952.7236328125,103.43
4900,5952.7236328125,103.43
5000,5952.7236328125,103.43
5100,5952.7236328125,103.43
5200,5952.7236328125,103.43
5300,5952.7236328125,103.43
5400,5952.7236328125,103.43
5500,5952.7236328125,103.43
5600,5952.7236328125,103.83
5700,5952.7236328125,103.83
5800,5952.7236328125,103.83
5900,5952.7236328125,103.83
6000,5952.7236328125,103.83
6100,5952.7236328125,103.83
6200,5952.7236328125,103.83
6300,5952.7236328125,103.83
6400,5952.7236328125,103.83
6500,5952.7236328125,103.83
6600,5952.7236328125,103.83
6700,5952.7236328125,103.83
6800,5952.7236328125,103.83
6900,5952.7236328125,103.83
7000,5952.7236328125,103.83
7100,5952.7236328125,103.83
7200,5952.7236328125,103.83
7300,5952.7236328125,103.83
7400,5952.7236328125,103.83
7500,5952.7236328125,103.83
7600,5952.7236328125,103.83
7700,5952.7236328125,103.83
7800,5952.7236328125,103.83
7900,5952.7236328125,103.83
8000,5952.7236328125,103.83
8100,5952.7236328125,103.83
8200,5952.7236328125,103.83
8300,5952.7236328125,103.83
8400,5952.7236328125,103.83
8500,5952.7236328125,103.83
8600,5952.7236328125,103.83
8700,5952.7236328125,103.83
8800,5952.7236328125,103.83
8900,5952.7236328125,103.83
9000,5952.7236328125,103.83
9100,5952.7236328125,103.83
9200,5952.7236328125,103.83
9300,5952.7236328125,103.83
9400,5952.7236328125,103.83
9500,5952.7236328125,103.83
9600,5952.7236328125,103.83
9700,5952.7236328125,103.83
9800,5952.7236328125,103.83
9900,5952.7236328125,103.83
10000,5952.7236328125,103.83
10100,5952.7236328125,103.83
10200,5952.7236328125,103.83
10300,5952.7236328125,103.83
10400,5952.7236328125,103.83
10500,5952.7236328125,103.83
10600,5952.7236328125,103.83
10700,5952.7236328125,103.83
10800,5952.7236328125,103.83
10900,5952.7236328125,103.83
11000,5952.7236328125,103.83
11100,5952.7236328125,103.83
11200,5952.7236328125,104.10
11300,5952.7236328125,104.10
11400,5952.7236328125,104.10
11500,5952.7236328125,104.10
11600,5952.7236328125,104.10
11700,5952.7236328125,104.10
11800,5952.7236328125,104.10
11900,5952.7236328125,104.10
12000,5952.7236328125,104.10
12100,5952.7236328125,104.10
12200,5952.7236328125,104.10
12300,5952.7236328125,104.10
12400,5952.7236328125,104.10
12500,5952.7236328125,104.10
12600,5952.7236328125,104.10
12700,5952.7236328125,104.10
12800,5952.7236328125,104.10
12900,5952.7236328125,104.10
13000,5952.7236328125,104.10
13100,5952.7236328125,104.10
13200,5952.7236328125,104.10
13300,5952.7236328125,104.10
13400,5952.7236328125,104.10
13500,5952.7236328125,104.10
13600,5952.7236328125,104.10
13700,5952.7236328125,104.10
13800,5952.7236328125,104.10
13900,5952.7236328125,104.10
14000,5952.7236328125,104.10
14100,5952.7236328125,104.10
14200,5952.7236328125,104.10
14300,5952.7236328125,104.10
14400,5952.7236328125,104.10
14500,5952.7236328125,104.10
14600,5952.7236328125,104.10
14700,5952.7236328125,104.10
14800,5952.7236328125,104.10
14900,5952.7236328125,104.10
15000,5952.7236328125,104.10
15100,5952.7236328125,104.10
15200,5952.7236328125,104.10
15300,5952.7236328125,104.10
15400,5952.7236328125,104.10
15500,5952.7236328125,104.10
15600,5952.7236328125,104.10
15700,5952.7236328125,104.10
15800,5952.7236328125,104.10
15900,5952.7236328125,104.10
16000,5952.7236328125,104.10
16100,5952.7236328125,104.10
16200,5952.7236328125,104.10
16300,5952.7236328125,104.10
16400,5952.7236328125,104.10
16500,5952.7236328125,104.10
16600,5952.7236328125,104.10
16700,5952.7236328125,104.10
16800,5952.7236328125,104.54
16900,5952.7236328125,104.54
17000,5952.7236328125,104.54
17100,5952.7236328125,104.54
17200,5952.7236328125,104.54
17300,5952.7236328125,104.54
17400,5952.7236328125,104.54
17500,5952.7236328125,104.54
17600,5952.7236328125,104.54
17700,5952.7236328125,104.54
17800,5952.7236328125,104.54
17900,5952.7236328125,104.54
18000,5952.7236328125,104.54
18100,5952.7236328125,104.54
18200,5952.7236328125,104.54
18300,5952.7236328125,104.54
18400,5952.7236328125,104.54
18500,5952.7236328125,104.54
18600,5952.7236328125,104.54
18700,5952.7236328125,104.54
18800,6469.515625,104.54
18900,6469.515625,104.54
19000,6469.515625,104.54
19100,6469.515625,104.54
19200,6469.515625,104.54
19300,6533.6796875,104.54
19400,6533.6796875,104.54
19500,6533.6796875,104.54
19600,6533.6796875,104.54
19700,6604.68603515625,104.54
19800,6604.68603515625,104.54
19900,6604.68603515625,104.54
20000,6604.68603515625,104.54
20100,6604.68603515625,104.54
20200,6604.68603515625,104.54
20300,6604.68603515625,104.54
20400,6604.68603515625,104.54
20500,6604.68603515625,104.54
20600,6604.68603515625,104.54
20700,6604.68603515625,104.54
20800,6604.68603515625,104.54
20900,6604.68603515625,104.54
21000,6604.68603515625,104.54
21100,6604.68603515625,104.54
21200,6604.68603515625,104.54
21300,6604.68603515625,104.54
21400,6604.68603515625,104.54
21500,6604.68603515625,104.54
21600,6604.68603515625,104.54
21700,6604.68603515625,104.54
21800,6604.68603515625,104.54
21900,6604.68603515625,104.54
22000,6604.68603515625,104.54
22100,6604.68603515625,104.54
22200,6673.8994140625,104.54
22300,6673.8994140625,104.54
22400,6673.8994140625,104.49
22500,6673.8994140625,104.49
