iteration,fitness,time
0,-125.80000305175781,6.63
0,-103.20000457763672,0.72
1,-103.20000457763672,0.72
2,-103.20000457763672,0.72
3,-103.20000457763672,0.72
4,-103.20000457763672,0.72
5,-103.20000457763672,0.72
6,-103.20000457763672,0.72
7,-103.20000457763672,0.72
8,-103.20000457763672,0.72
9,-103.20000457763672,0.72
10,-103.20000457763672,0.72
11,-103.20000457763672,0.72
12,-103.20000457763672,0.72
13,-103.20000457763672,0.72
14,-103.20000457763672,0.72
15,-102.80000305175781,0.72
16,-102.80000305175781,0.72
17,-102.80000305175781,0.72
18,-102.80000305175781,0.72
19,-102.80000305175781,0.72
20,-102.80000305175781,0.72
21,-102.80000305175781,0.72
22,-102.80000305175781,0.72
23,-102.80000305175781,0.72
24,-100.5999984741211,0.72
25,-100.5999984741211,0.72
26,-100.5999984741211,0.72
27,-100.5999984741211,0.72
28,-100.5999984741211,0.72
29,-100.5999984741211,0.72
30,-100.5999984741211,0.72
31,-100.5999984741211,0.72
32,-100.5999984741211,0.72
33,-100.5999984741211,0.72
34,-96.4000015258789,0.72
35,-96.4000015258789,0.72
36,-96.4000015258789,0.72
37,-96.4000015258789,0.72
38,-96.4000015258789,0.72
39,-96.4000015258789,0.72
40,-96.4000015258789,0.72
41,-96.4000015258789,0.72
42,-96.4000015258789,0.72
43,-96.4000015258789,0.72
44,-96.4000015258789,0.72
45,-96.4000015258789,0.72
46,-96.4000015258789,0.72
47,-96.4000015258789,0.72
48,-96.4000015258789,0.72
49,-96.4000015258789,0.72
50,-96.4000015258789,0.72
51,-96.4000015258789,0.72
52,-96.4000015258789,0.72
53,-96.4000015258789,0.72
54,-96.4000015258789,0.72
55,-96.4000015258789,0.72
56,-96.4000015258789,0.72
57,-96.4000015258789,0.72
58,-96.4000015258789,0.72
59,-96.4000015258789,0.72
60,-96.4000015258789,0.72
61,-96.4000015258789,0.72
62,-96.4000015258789,0.72
63,-96.4000015258789,0.72
64,-96.4000015258789,0.72
65,-96.4000015258789,0.72
66,-96.4000015258789,0.72
67,-96.4000015258789,0.72
68,-96.4000015258789,0.72
69,-96.4000015258789,0.72
70,-96.4000015258789,0.72
71,-96.4000015258789,0.72
72,-96.4000015258789,0.72
73,-96.4000015258789,0.72
74,-96.4000015258789,0.72
75,-96.4000015258789,0.72
76,-96.4000015258789,0.72
77,-96.4000015258789,0.72
78,-96.4000015258789,0.72
79,-96.4000015258789,0.72
80,-96.4000015258789,0.72
81,-96.4000015258789,0.72
82,-96.4000015258789,0.72
83,-96.4000015258789,0.72
84,-96.4000015258789,0.72
85,-96.4000015258789,0.72
86,-96.4000015258789,0.72
87,-96.4000015258789,0.72
88,-96.4000015258789,0.72
89,-96.4000015258789,0.72
90,-96.4000015258789,0.72
91,-96.4000015258789,0.72
92,-96.4000015258789,0.72
93,-96.4000015258789,0.72
94,-96.4000015258789,0.72
95,-96.4000015258789,0.72
96,-96.4000015258789,0.72
97,-96.4000015258789,0.72
98,-96.4000015258789,0.72
99,-96.4000015258789,0.72
100,-96.4000015258789,0.72
101,-96.4000015258789,0.72
102,-96.4000015258789,0.72
103,-96.4000015258789,0.72
104,-96.20000457763672,0.72
105,-96.20000457763672,0.72
106,-96.20000457763672,0.72
107,-96.20000457763672,0.72
108,-96.20000457763672,0.72
109,-96.20000457763672,0.72
110,-87.0,0.72
111,-87.0,0.72
112,-87.0,0.72
113,-87.0,0.72
114,-87.0,0.72
115,-87.0,0.72
116,-87.0,0.72
117,-87.0,0.72
118,-87.0,0.72
119,-87.0,0.72
120,-87.0,0.72
121,-87.0,0.72
122,-87.0,0.72
123,-87.0,0.72
124,-87.0,0.72
125,-87.0,0.72
126,-87.0,0.72
127,-87.0,0.72
128,-87.0,0.72
129,-87.0,0.72
130,-87.0,0.72
131,-87.0,0.72
132,-87.0,0.72
133,-87.0,0.72
134,-87.0,0.72
135,-87.0,0.72
136,-87.0,0.72
137,-87.0,0.72
138,-87.0,0.72
139,-87.0,0.72
140,-87.0,0.72
141,-87.0,0.72
142,-87.0,0.72
143,-87.0,0.72
144,-87.0,0.72
145,-87.0,0.72
146,-87.0,0.72
147,-87.0,0.72
148,-87.0,0.72
149,-87.0,0.72
150,-87.0,0.72
151,-87.0,0.72
152,-87.0,0.72
