evaluation,fitness,uniqueness,time
1000,-84.24626159667969,1.0,162.35
1990,-84.24626159667969,1.0,161.55
2980,-48.05537414550781,1.0,87.17
3970,-44.98539733886719,1.0,88.12
4960,-44.98539733886719,1.0,82.45
5950,-44.98539733886719,1.0,84.90
6940,-44.98539733886719,1.0,86.26
7930,-44.98539733886719,1.0,89.53
8920,-44.98539733886719,1.0,87.08
9910,-44.98539733886719,1.0,81.64
10900,-44.98539733886719,1.0,86.86
11890,-44.98539733886719,1.0,84.27
12880,-44.98539733886719,1.0,86.69
13870,-44.10426330566406,1.0,85.52
14860,-43.85872268676758,1.0,84.98
15850,-43.85872268676758,1.0,83.22
16840,-43.85872268676758,1.0,87.35
17830,-43.85872268676758,1.0,85.71
18820,-43.85872268676758,1.0,84.44
19810,-43.85872268676758,1.0,82.21
20800,-43.85872268676758,1.0,78.42
21790,-43.85872268676758,1.0,79.59
22780,-43.85872268676758,1.0,82.58
23770,-43.85872268676758,1.0,85.05
24760,-43.85872268676758,1.0,87.47
25750,-43.85872268676758,1.0,86.19
26740,-43.85872268676758,1.0,81.70
27730,-43.85872268676758,1.0,84.76
28720,-43.85872268676758,1.0,86.79
29710,-43.85872268676758,1.0,87.00
30700,-40.36850357055664,1.0,88.85
31690,-40.36850357055664,1.0,85.62
32680,-40.36850357055664,1.0,83.21
33670,-40.36850357055664,1.0,85.70
34660,-40.36850357055664,1.0,81.93
35650,-40.36850357055664,1.0,84.63
36640,-40.36850357055664,1.0,89.43
37630,-40.36850357055664,1.0,81.08
38620,-40.36850357055664,1.0,82.43
39610,-40.36850357055664,1.0,82.78
40600,-40.36850357055664,1.0,83.17
41590,-40.36850357055664,1.0,81.85
42580,-40.36850357055664,1.0,88.09
43570,-40.36850357055664,1.0,85.94
44560,-40.36850357055664,1.0,84.86
45550,-40.36850357055664,1.0,85.95
46540,-40.36850357055664,1.0,81.26
47530,-40.36850357055664,1.0,86.44
48520,-40.36850357055664,1.0,83.49
49510,-40.36850357055664,1.0,88.21
50500,-40.36850357055664,1.0,82.64
51490,-40.36850357055664,1.0,81.90
52480,-40.36850357055664,1.0,86.38
53470,-40.36850357055664,1.0,84.64
54460,-40.36850357055664,1.0,86.25
55450,-40.36850357055664,1.0,89.12
56440,-40.36850357055664,1.0,89.62
57430,-40.36850357055664,1.0,83.65
58420,-40.36850357055664,1.0,87.15
59410,-40.36850357055664,1.0,87.13
60400,-40.36850357055664,1.0,83.33
61390,-40.36850357055664,1.0,89.73
62380,-40.36850357055664,1.0,89.93
63370,-40.36850357055664,1.0,91.23
64360,-40.36850357055664,1.0,84.12
65350,-40.36850357055664,1.0,85.47
66340,-40.36850357055664,1.0,83.24
67330,-40.36850357055664,1.0,85.99
68320,-40.36850357055664,1.0,89.22
69310,-40.36850357055664,1.0,84.53
70300,-40.36850357055664,1.0,87.43
71290,-40.36850357055664,1.0,83.28
72280,-40.36850357055664,1.0,84.04
73270,-40.36850357055664,1.0,84.03
74260,-40.36850357055664,1.0,85.71
75250,-40.36850357055664,1.0,87.28
76240,-40.36850357055664,1.0,86.04
77230,-40.36850357055664,1.0,83.15
78220,-40.36850357055664,1.0,82.13
79210,-40.36850357055664,1.0,86.21
80200,-40.36850357055664,1.0,86.01
81190,-40.36850357055664,1.0,85.95
82180,-40.36850357055664,1.0,87.46
83170,-40.36850357055664,1.0,88.35
84160,-40.36850357055664,1.0,85.34
85150,-40.36850357055664,1.0,84.92
86140,-40.36850357055664,1.0,87.33
87130,-40.36850357055664,1.0,87.17
88120,-40.36850357055664,1.0,83.96
89110,-40.36850357055664,1.0,88.04
90100,-40.36850357055664,1.0,87.35
91090,-40.36850357055664,1.0,87.18
92080,-40.36850357055664,1.0,85.50
93070,-40.36850357055664,1.0,87.75
94060,-40.36850357055664,1.0,84.29
95050,-40.36850357055664,1.0,86.44
96040,-40.36850357055664,1.0,85.66
97030,-40.36850357055664,1.0,85.80
98020,-40.36850357055664,1.0,93.24
99010,-40.36850357055664,1.0,86.83
100000,-40.36850357055664,1.0,86.70
100990,-39.97787857055664,1.0,85.72
101980,-39.97787857055664,1.0,83.36
102970,-39.97787857055664,1.0,87.49
103960,-39.97787857055664,1.0,79.96
104950,-39.97787857055664,1.0,87.68
105940,-39.97787857055664,1.0,87.97
106930,-39.97787857055664,1.0,84.86
107920,-39.97787857055664,1.0,92.00
108910,-39.97787857055664,1.0,84.11
109900,-39.97787857055664,1.0,84.93
110890,-39.97787857055664,1.0,91.97
111880,-39.97787857055664,1.0,86.85
112870,-39.97787857055664,1.0,81.14
113860,-39.97787857055664,1.0,86.13
114850,-39.97787857055664,1.0,85.62
115840,-39.97787857055664,1.0,81.83
116830,-39.97787857055664,1.0,82.88
117820,-39.97787857055664,1.0,81.60
118810,-39.97787857055664,1.0,85.68
119800,-39.97787857055664,1.0,84.22
