evaluation,fitness,uniqueness,time
1000,49.970115661621094,1.0,271.99
1990,49.970115661621094,1.0,274.36
2980,167.4081573486328,1.0,199.28
3970,167.4081573486328,1.0,194.64
4960,225.81069946289062,1.0,199.12
5950,225.81069946289062,1.0,203.79
6940,246.12290954589844,1.0,202.92
7930,246.12290954589844,1.0,199.85
8920,246.12290954589844,1.0,206.26
9910,246.332275390625,1.0,204.79
10900,246.332275390625,1.0,200.66
11890,246.332275390625,1.0,202.58
12880,246.332275390625,1.0,196.42
13870,246.332275390625,1.0,197.58
14860,246.332275390625,1.0,204.21
15850,246.4591064453125,1.0,202.05
16840,246.4591064453125,1.0,201.43
17830,246.4591064453125,1.0,207.70
18820,246.4591064453125,1.0,199.33
19810,246.4591064453125,1.0,198.07
20800,246.4591064453125,1.0,204.14
21790,246.4591064453125,1.0,200.77
22780,246.4591064453125,1.0,204.02
23770,246.4591064453125,1.0,196.58
24760,246.4591064453125,1.0,202.68
25750,246.4591064453125,1.0,198.11
26740,246.4591064453125,1.0,198.62
27730,246.4591064453125,1.0,207.68
28720,246.4591064453125,1.0,205.06
29710,246.4591064453125,1.0,209.91
30700,246.4591064453125,1.0,201.96
31690,246.93426513671875,1.0,196.76
32680,246.93426513671875,1.0,204.22
33670,246.93426513671875,1.0,199.76
34660,246.93426513671875,1.0,206.13
35650,246.93426513671875,1.0,210.04
36640,246.93426513671875,1.0,197.83
37630,246.93426513671875,1.0,197.34
38620,246.93426513671875,1.0,201.18
39610,246.93426513671875,1.0,203.64
40600,246.93426513671875,1.0,198.55
41590,246.93426513671875,1.0,200.59
42580,246.93426513671875,1.0,197.57
43570,246.93426513671875,1.0,205.71
44560,246.93426513671875,1.0,202.88
45550,246.93426513671875,1.0,204.43
46540,246.93426513671875,1.0,210.22
47530,246.93426513671875,1.0,203.80
48520,246.93426513671875,1.0,208.10
49510,246.93426513671875,1.0,205.68
50500,246.93426513671875,1.0,200.30
51490,246.93426513671875,1.0,209.83
52480,246.93426513671875,1.0,206.08
53470,246.93426513671875,1.0,204.00
54460,246.93426513671875,1.0,208.12
55450,246.93426513671875,1.0,203.55
56440,246.93426513671875,1.0,202.18
57430,246.93426513671875,1.0,207.90
58420,246.93426513671875,1.0,200.62
59410,246.93426513671875,1.0,206.01
60400,246.93426513671875,1.0,209.51
61390,253.5929718017578,1.0,188.47
62380,253.5929718017578,1.0,213.43
63370,253.93386840820312,1.0,206.60
64360,254.9128875732422,1.0,206.08
65350,254.9128875732422,1.0,197.94
66340,254.9128875732422,1.0,206.52
67330,254.93115234375,1.0,210.15
68320,255.33192443847656,1.0,209.39
69310,255.8168182373047,1.0,200.01
70300,255.8168182373047,1.0,199.71
71290,255.86917114257812,1.0,208.95
72280,255.86917114257812,1.0,209.87
73270,255.86917114257812,1.0,202.57
74260,255.86917114257812,1.0,199.58
75250,257.54083251953125,1.0,202.85
76240,257.54083251953125,1.0,202.81
77230,257.54083251953125,1.0,203.52
78220,257.54083251953125,1.0,199.19
79210,257.54083251953125,1.0,196.98
80200,261.7479248046875,1.0,211.43
81190,261.7479248046875,1.0,209.50
82180,261.7479248046875,1.0,206.61
83170,262.5422058105469,1.0,197.56
84160,262.72247314453125,1.0,201.57
85150,262.72247314453125,1.0,204.45
86140,262.72247314453125,1.0,195.81
87130,262.72247314453125,1.0,202.97
88120,263.50152587890625,1.0,203.29
89110,263.7624816894531,1.0,208.85
90100,263.7624816894531,1.0,209.94
91090,263.7624816894531,1.0,195.33
92080,263.7624816894531,1.0,202.94
93070,263.7624816894531,1.0,206.53
94060,263.7624816894531,1.0,202.26
95050,264.5891418457031,1.0,199.49
96040,264.5891418457031,1.0,195.32
97030,264.5891418457031,1.0,199.34
98020,264.5891418457031,1.0,200.03
99010,264.5891418457031,1.0,194.75
100000,264.5891418457031,1.0,201.74
100990,264.5891418457031,1.0,208.69
101980,266.43267822265625,1.0,201.88
102970,266.43267822265625,1.0,212.14
103960,266.43267822265625,1.0,211.20
104950,266.43267822265625,1.0,207.22
105940,266.6316833496094,1.0,206.02
