evaluation,fitness,uniqueness,time
100,509.9532165527344,1.0,37.47
190,509.9532165527344,1.0,35.87
280,1005.1777954101562,1.0,13.16
370,1005.1777954101562,1.0,12.87
460,1011.1485595703125,1.0,13.08
550,1031.8074951171875,1.0,12.98
640,1031.8074951171875,1.0,13.04
730,1031.8074951171875,1.0,13.10
820,1031.8074951171875,1.0,12.92
910,1031.8074951171875,1.0,12.88
1000,1031.8074951171875,1.0,13.01
1090,1031.8074951171875,1.0,12.92
1180,1031.8074951171875,1.0,13.40
1270,1031.8074951171875,1.0,13.16
1360,1031.8074951171875,1.0,13.23
1450,1031.8074951171875,1.0,13.00
1540,1031.8074951171875,1.0,13.06
1630,1031.8074951171875,1.0,13.44
1720,1031.8074951171875,1.0,13.03
1810,1031.8074951171875,1.0,13.27
1900,1031.8074951171875,1.0,12.85
1990,1031.8074951171875,1.0,13.03
2080,1031.8074951171875,1.0,13.10
2170,1031.8074951171875,1.0,13.26
2260,1031.8074951171875,1.0,13.24
2350,1031.8074951171875,1.0,13.20
2440,1031.8074951171875,1.0,13.27
2530,1031.8074951171875,1.0,13.00
2620,1031.8074951171875,1.0,13.04
2710,1031.8074951171875,1.0,13.15
2800,1031.8074951171875,1.0,13.09
2890,1031.8074951171875,1.0,13.15
2980,1031.8074951171875,1.0,13.14
3070,1031.8074951171875,1.0,13.07
3160,1031.8074951171875,1.0,13.17
3250,1031.8074951171875,1.0,12.89
3340,1031.8074951171875,1.0,13.18
3430,1031.8074951171875,1.0,13.39
3520,1031.8074951171875,1.0,13.28
3610,1031.8074951171875,1.0,13.09
3700,1032.1556396484375,1.0,12.98
3790,1032.1556396484375,1.0,13.23
3880,1032.1556396484375,1.0,12.82
3970,1032.1556396484375,1.0,13.16
4060,1032.1556396484375,1.0,12.85
4150,1032.1556396484375,1.0,12.85
4240,1037.4317626953125,1.0,12.96
4330,1037.4317626953125,1.0,12.85
4420,1062.5540771484375,1.0,13.14
4510,1075.849609375,1.0,13.02
4600,1089.017333984375,1.0,13.06
4690,1089.017333984375,1.0,13.23
4780,1110.314453125,1.0,13.01
4870,1110.314453125,1.0,13.33
4960,1110.314453125,1.0,12.98
5050,1138.9019775390625,1.0,13.09
5140,1138.9019775390625,1.0,12.94
