evaluation,fitness,uniqueness,time
1000,6461.4169921875,1.0,984.90
1990,6461.4169921875,1.0,973.55
2980,6850.1962890625,1.0,874.62
3970,6850.1962890625,1.0,882.59
4960,6861.51220703125,1.0,881.07
5950,6927.24853515625,1.0,880.79
6940,6927.24853515625,1.0,846.08
7930,6927.24853515625,1.0,842.32
8920,6927.24853515625,1.0,832.13
9910,6936.1552734375,1.0,825.40
10900,6962.57421875,1.0,824.79
11890,6962.57421875,1.0,824.92
12880,6962.57421875,1.0,872.01
13870,7033.62060546875,1.0,899.07
14860,7033.62060546875,1.0,923.43
15850,7033.62060546875,1.0,920.43
16840,7033.62060546875,1.0,920.85
17830,7033.62060546875,1.0,921.56
18820,7033.62060546875,1.0,920.87
19810,7047.87158203125,1.0,939.79
20800,7169.49072265625,1.0,960.47
21790,7169.49072265625,1.0,955.16
22780,7169.49072265625,1.0,964.24
23770,7169.49072265625,1.0,964.31
24760,7169.49072265625,1.0,963.67
25750,7169.49072265625,1.0,963.66
26740,7169.49072265625,1.0,952.89
27730,7169.49072265625,1.0,963.80
28720,7169.49072265625,1.0,958.02
29710,7169.49072265625,1.0,947.72
30700,7169.49072265625,1.0,963.94
31690,7169.49072265625,1.0,945.27
32680,7169.49072265625,1.0,930.45
33670,7169.49072265625,1.0,947.07
34660,7169.49072265625,1.0,968.44
35650,7169.49072265625,1.0,946.53
36640,7169.49072265625,1.0,940.74
37630,7169.49072265625,1.0,965.64
38620,7169.49072265625,1.0,967.19
39610,7169.49072265625,1.0,967.87
40600,7169.49072265625,1.0,964.55
41590,7169.49072265625,1.0,958.21
42580,7169.49072265625,1.0,967.36
43570,7169.49072265625,1.0,966.56
44560,7169.49072265625,1.0,959.99
45550,7169.49072265625,1.0,966.62
46540,7169.49072265625,1.0,959.27
47530,7169.49072265625,1.0,965.11
48520,7169.49072265625,1.0,977.26
49510,7169.49072265625,1.0,990.69
50500,7169.49072265625,1.0,991.68
51490,7169.49072265625,1.0,978.14
52480,7169.49072265625,1.0,990.17
53470,7169.49072265625,1.0,983.21
54460,7169.49072265625,1.0,967.54
55450,7169.49072265625,1.0,969.50
56440,7169.49072265625,1.0,969.39
57430,7169.49072265625,1.0,969.20
58420,7169.49072265625,1.0,969.64
59410,7169.49072265625,1.0,969.90
60400,7169.49072265625,1.0,968.93
61390,7169.49072265625,1.0,969.68
62380,7169.49072265625,1.0,964.19
63370,7169.49072265625,1.0,976.23
64360,7169.49072265625,1.0,992.64
65350,7169.49072265625,1.0,1009.93
66340,7169.49072265625,1.0,1009.96
67330,7169.49072265625,1.0,1010.16
68320,7169.49072265625,1.0,1004.23
69310,7169.49072265625,1.0,1007.64
70300,7169.49072265625,1.0,1002.42
71290,7169.49072265625,1.0,999.63
72280,7169.49072265625,1.0,997.96
73270,7169.49072265625,1.0,981.26
74260,7169.49072265625,1.0,966.94
75250,7169.49072265625,1.0,966.09
76240,7169.49072265625,1.0,928.19
77230,7169.49072265625,1.0,916.66
78220,7169.49072265625,1.0,868.22
79210,7169.49072265625,1.0,872.24
80200,7169.49072265625,1.0,871.98
81190,7169.49072265625,1.0,871.45
82180,7169.49072265625,1.0,868.76
83170,7169.49072265625,1.0,850.85
84160,7169.49072265625,1.0,879.74
85150,7169.49072265625,1.0,903.24
86140,7169.49072265625,1.0,930.19
87130,7169.49072265625,1.0,947.01
88120,7169.49072265625,1.0,955.31
89110,7169.49072265625,1.0,973.07
90100,7169.49072265625,1.0,997.89
91090,7169.49072265625,1.0,1026.77
92080,7169.49072265625,1.0,1027.30
93070,7169.49072265625,1.0,1027.21
94060,7169.49072265625,1.0,1027.43
95050,7169.49072265625,1.0,1027.22
96040,7169.49072265625,1.0,1027.91
97030,7169.49072265625,1.0,1032.60
98020,7169.49072265625,1.0,1051.80
99010,7169.49072265625,1.0,1052.23
100000,7169.49072265625,1.0,1004.01
