evaluation,fitness,uniqueness,time
1000,1048.924560546875,1.0,213.48
1990,1048.924560546875,1.0,211.25
2980,1104.855224609375,1.0,162.86
3970,1104.855224609375,1.0,164.89
4960,1104.855224609375,1.0,167.23
5950,1116.979736328125,1.0,166.92
6940,1116.979736328125,1.0,168.99
7930,1116.979736328125,1.0,166.92
8920,1116.979736328125,1.0,166.38
9910,1116.979736328125,1.0,165.75
10900,1123.363525390625,1.0,166.39
11890,1123.363525390625,1.0,166.41
12880,1123.363525390625,1.0,166.51
13870,1123.363525390625,1.0,166.85
14860,1123.363525390625,1.0,166.88
15850,1123.363525390625,1.0,166.88
16840,1123.363525390625,1.0,166.62
17830,1123.363525390625,1.0,166.80
18820,1123.363525390625,1.0,166.74
19810,1123.776123046875,1.0,166.68
20800,1123.776123046875,1.0,166.64
21790,1123.776123046875,1.0,167.42
22780,1123.776123046875,1.0,169.12
23770,1123.776123046875,1.0,167.33
24760,1134.1787109375,1.0,167.02
25750,1135.8092041015625,1.0,168.58
26740,1135.8092041015625,1.0,168.81
27730,1138.74365234375,1.0,171.29
28720,1138.74365234375,1.0,171.89
29710,1138.74365234375,1.0,168.46
30700,1138.74365234375,1.0,170.50
31690,1138.74365234375,1.0,168.18
32680,1145.1536865234375,1.0,170.32
33670,1145.1536865234375,1.0,169.94
34660,1145.1536865234375,1.0,166.95
35650,1145.1536865234375,1.0,170.32
36640,1145.1536865234375,1.0,170.03
37630,1145.1536865234375,1.0,170.22
38620,1145.1536865234375,1.0,170.15
39610,1145.1536865234375,1.0,170.02
40600,1145.1536865234375,1.0,170.13
41590,1145.1536865234375,1.0,169.45
42580,1145.1536865234375,1.0,169.86
43570,1145.1536865234375,1.0,167.49
44560,1145.1536865234375,1.0,170.05
45550,1145.1536865234375,1.0,167.48
46540,1145.1536865234375,1.0,169.50
47530,1145.1536865234375,1.0,169.99
48520,1145.1536865234375,1.0,170.03
49510,1145.1536865234375,1.0,170.33
50500,1145.1536865234375,1.0,170.27
51490,1145.1536865234375,1.0,169.35
52480,1145.1536865234375,1.0,169.23
53470,1145.1536865234375,1.0,167.83
54460,1145.1536865234375,1.0,170.03
55450,1145.1536865234375,1.0,168.10
56440,1145.1536865234375,1.0,169.76
57430,1145.1536865234375,1.0,167.31
58420,1145.1536865234375,1.0,168.41
59410,1145.1536865234375,1.0,167.22
60400,1145.1536865234375,1.0,169.35
61390,1145.1536865234375,1.0,169.66
62380,1145.1536865234375,1.0,169.77
63370,1145.1536865234375,1.0,169.07
64360,1145.1536865234375,1.0,169.85
65350,1145.1536865234375,1.0,167.54
66340,1145.1536865234375,1.0,168.55
67330,1145.1536865234375,1.0,169.62
68320,1145.1536865234375,1.0,169.74
69310,1145.1536865234375,1.0,169.70
70300,1145.1536865234375,1.0,169.45
71290,1145.1536865234375,1.0,169.09
72280,1145.1536865234375,1.0,168.78
73270,1145.1536865234375,1.0,166.29
74260,1145.1536865234375,1.0,167.84
75250,1145.1536865234375,1.0,168.42
76240,1145.1536865234375,1.0,168.11
77230,1145.1536865234375,1.0,169.37
78220,1145.1536865234375,1.0,169.12
79210,1145.1536865234375,1.0,166.86
80200,1145.1536865234375,1.0,166.55
81190,1145.1536865234375,1.0,166.20
82180,1145.1536865234375,1.0,169.34
83170,1145.1536865234375,1.0,169.84
84160,1145.1536865234375,1.0,169.74
85150,1145.1536865234375,1.0,169.43
86140,1156.744873046875,1.0,169.76
87130,1156.744873046875,1.0,169.66
88120,1156.744873046875,1.0,169.60
89110,1156.744873046875,1.0,169.17
90100,1156.744873046875,1.0,169.48
91090,1156.744873046875,1.0,169.66
92080,1156.744873046875,1.0,169.59
93070,1156.744873046875,1.0,169.26
94060,1156.744873046875,1.0,169.58
95050,1156.744873046875,1.0,168.44
96040,1156.744873046875,1.0,167.51
97030,1156.744873046875,1.0,167.35
98020,1156.744873046875,1.0,167.73
99010,1156.744873046875,1.0,167.30
100000,1156.744873046875,1.0,167.67
100990,1156.744873046875,1.0,165.43
101980,1156.744873046875,1.0,163.55
102970,1156.744873046875,1.0,164.87
103960,1156.744873046875,1.0,165.52
104950,1156.744873046875,1.0,165.60
105940,1156.744873046875,1.0,165.53
