evaluation,fitness,uniqueness,time
0,2585.2216796875,1.0,152.34
100,2585.2216796875,1.0,152.34
200,2585.2216796875,1.0,152.34
300,2703.773681640625,1.0,152.34
400,2703.773681640625,1.0,152.34
500,2994.81689453125,1.0,152.34
600,3009.43994140625,1.0,152.34
700,3051.465087890625,1.0,152.34
800,3244.815673828125,1.0,152.34
900,3244.815673828125,1.0,152.34
1000,3403.463623046875,1.0,152.34
1100,5754.8232421875,1.0,152.34
1200,5754.8232421875,1.0,152.34
1300,5754.8232421875,1.0,152.34
1400,5754.8232421875,1.0,152.34
1500,5789.8740234375,1.0,152.34
1600,5789.8740234375,1.0,152.34
1700,5868.40673828125,1.0,152.34
1800,5868.40673828125,1.0,152.34
1900,5868.40673828125,1.0,152.34
2000,5868.40673828125,1.0,152.34
2100,5868.40673828125,1.0,152.34
2200,5868.40673828125,1.0,152.34
2300,5868.40673828125,1.0,152.34
2400,5868.40673828125,1.0,152.34
2500,5868.40673828125,1.0,152.34
2600,5868.40673828125,1.0,152.34
2700,5877.71484375,1.0,152.34
2800,5877.71484375,1.0,152.34
2900,5877.71484375,1.0,152.34
3000,5877.71484375,1.0,152.34
3100,5877.71484375,1.0,152.34
3200,5877.71484375,1.0,152.34
3300,5877.71484375,1.0,152.34
3400,5877.71484375,1.0,152.34
3500,5877.71484375,1.0,152.34
3600,5877.71484375,1.0,152.34
3700,5877.71484375,1.0,152.34
3800,5879.90771484375,1.0,152.34
3900,5879.90771484375,1.0,152.34
4000,5879.90771484375,1.0,152.34
4100,5879.90771484375,1.0,152.34
4200,5898.0234375,1.0,152.34
4300,5898.0234375,1.0,152.34
4400,5898.0234375,1.0,152.34
4500,5898.0234375,1.0,152.34
4600,5898.0234375,1.0,152.34
4700,5898.0234375,1.0,152.34
4800,5898.0234375,1.0,152.34
4900,5898.0234375,1.0,152.34
5000,5898.0234375,1.0,152.34
5100,5898.0234375,1.0,152.34
5200,5898.0234375,1.0,152.34
5300,5898.0234375,1.0,152.34
5400,5898.0234375,1.0,152.34
5500,5898.0234375,1.0,152.34
5600,5898.0234375,1.0,152.34
5700,5898.0234375,1.0,152.34
5800,5898.0234375,1.0,152.34
5900,5898.0234375,1.0,152.34
6000,5898.0234375,1.0,152.34
6100,5898.0234375,1.0,152.34
6200,5898.0234375,1.0,152.34
6300,5898.0234375,1.0,152.34
6400,5898.0234375,1.0,152.34
6500,5898.0234375,1.0,152.34
6600,5898.0234375,1.0,152.34
6700,5898.0234375,1.0,152.34
6800,5898.0234375,1.0,152.34
6900,5948.4130859375,1.0,152.34
7000,5948.4130859375,1.0,152.34
7100,6321.31005859375,1.0,152.34
7200,6321.31005859375,1.0,152.34
7300,6321.31005859375,1.0,152.34
7400,6321.31005859375,1.0,152.34
7500,6321.31005859375,1.0,152.34
7600,6321.31005859375,1.0,152.34
7700,6321.31005859375,1.0,152.34
7800,6325.13330078125,1.0,152.34
7900,6325.13330078125,1.0,152.34
8000,6325.13330078125,1.0,152.34
8100,6325.13330078125,1.0,152.34
8200,6325.13330078125,1.0,152.34
8300,6325.13330078125,1.0,152.34
8400,6325.13330078125,1.0,152.34
8500,6325.13330078125,1.0,152.34
8600,6325.13330078125,1.0,152.34
8700,6325.13330078125,1.0,152.34
8800,6325.13330078125,1.0,152.34
8900,6325.13330078125,1.0,152.34
9000,6325.13330078125,1.0,152.34
9100,6325.13330078125,1.0,152.34
9200,6325.13330078125,1.0,152.34
9300,6516.2666015625,1.0,152.34
9400,6516.2666015625,1.0,152.34
9500,6516.2666015625,1.0,152.34
9600,6516.2666015625,1.0,152.34
9700,6516.2666015625,1.0,152.34
9800,6516.2666015625,1.0,152.34
9900,6516.2666015625,1.0,152.34
10000,6536.1650390625,1.0,152.34
10100,6536.1650390625,1.0,152.34
10200,6776.912109375,1.0,152.34
10300,6776.912109375,1.0,152.34
10400,6776.912109375,1.0,152.34
10500,6776.912109375,1.0,152.34
10600,6776.912109375,1.0,152.34
10700,6776.912109375,1.0,152.34
10800,6776.912109375,1.0,152.34
10900,6776.912109375,1.0,152.34
11000,6776.912109375,1.0,152.34
11100,6776.912109375,1.0,152.34
11200,6776.912109375,1.0,152.34
11300,6776.912109375,1.0,152.34
11400,6776.912109375,1.0,152.34
11500,6776.912109375,1.0,152.34
11600,6776.912109375,1.0,152.34
11700,6776.912109375,1.0,152.34
11800,6776.912109375,1.0,152.34
11900,6776.912109375,1.0,152.34
12000,6776.912109375,1.0,152.34
12100,6776.912109375,1.0,152.34
12200,6776.912109375,1.0,152.34
12300,6776.912109375,1.0,152.34
12400,6776.912109375,1.0,152.34
12500,6776.912109375,1.0,152.34
12600,6776.912109375,1.0,152.34
12700,6776.912109375,1.0,152.34
12800,6776.912109375,1.0,152.34
12900,6776.912109375,1.0,152.34
13000,6776.912109375,1.0,152.34
13100,6776.912109375,1.0,152.34
13200,6776.912109375,1.0,152.34
13300,6776.912109375,1.0,152.34
13400,6776.912109375,1.0,152.34
13500,6776.912109375,1.0,152.34
13600,6776.912109375,1.0,152.34
13700,6776.912109375,1.0,152.34
13800,6776.912109375,1.0,152.34
13900,6776.912109375,1.0,152.34
14000,6776.912109375,1.0,152.34
14100,6776.912109375,1.0,152.34
14200,6776.912109375,1.0,152.34
14300,6776.912109375,1.0,152.34
14400,6776.912109375,1.0,152.34
14500,6776.912109375,1.0,152.34
14600,6776.912109375,1.0,152.34
14700,6776.912109375,1.0,152.34
14800,6776.912109375,1.0,152.34
14900,6776.912109375,1.0,152.34
15000,6776.912109375,1.0,152.34
15100,6776.912109375,1.0,152.34
15200,6776.912109375,1.0,152.34
15300,6776.912109375,1.0,152.34
15400,6776.912109375,1.0,152.34
15500,6776.912109375,1.0,152.34
15600,6776.912109375,1.0,152.34
15700,6776.912109375,1.0,152.34
15800,6776.912109375,1.0,152.34
15900,6776.912109375,1.0,152.34
16000,6776.912109375,1.0,152.34
16100,6776.912109375,1.0,152.34
16200,6776.912109375,1.0,152.34
16300,6776.912109375,1.0,152.34
16400,6776.912109375,1.0,152.34
16500,6776.912109375,1.0,152.34
16600,6790.880859375,1.0,152.34
16700,6790.880859375,1.0,152.34
16800,6790.880859375,1.0,152.34
16900,6790.880859375,1.0,152.34
17000,6790.880859375,1.0,152.34
17100,6790.880859375,1.0,152.34
17200,6790.880859375,1.0,152.34
17300,6790.880859375,1.0,152.34
17400,6790.880859375,1.0,152.34
17500,6804.5634765625,1.0,152.34
17600,6804.5634765625,1.0,152.34
17700,6804.5634765625,1.0,152.34
17800,6804.5634765625,1.0,152.34
17900,6804.5634765625,1.0,152.34
18000,6804.5634765625,1.0,152.34
18100,6804.5634765625,1.0,152.34
18200,6804.5634765625,1.0,152.34
18300,6804.5634765625,1.0,152.34
18400,6804.5634765625,1.0,152.34
18500,6804.5634765625,1.0,152.34
18600,6804.5634765625,1.0,152.34
18700,6804.5634765625,1.0,152.34
18800,6804.5634765625,1.0,152.34
18900,6804.5634765625,1.0,152.34
19000,6804.5634765625,1.0,152.34
19100,6804.5634765625,1.0,152.34
19200,6804.5634765625,1.0,152.34
19300,6804.5634765625,1.0,152.34
19400,6804.5634765625,1.0,152.34
19500,6804.5634765625,1.0,152.34
19600,6804.5634765625,1.0,152.34
19700,6804.5634765625,1.0,152.34
19800,6804.5634765625,1.0,152.34
19900,6804.5634765625,1.0,152.34
20000,6804.5634765625,1.0,152.34
20100,6804.5634765625,1.0,152.34
20200,6804.5634765625,1.0,152.34
