evaluation,fitness,uniqueness,time
0,219.5133819580078,1.0,17.02
100,248.19483947753906,1.0,17.02
200,307.078125,1.0,17.02
300,307.078125,1.0,17.02
400,307.67340087890625,1.0,17.02
500,726.396240234375,1.0,17.02
600,726.396240234375,1.0,17.02
700,726.396240234375,1.0,17.02
800,726.396240234375,1.0,17.02
900,1007.312255859375,1.0,17.02
1000,1010.3765258789062,1.0,17.02
1100,1013.2228393554688,1.0,17.02
1200,1013.2228393554688,1.0,17.02
1300,1013.2228393554688,1.0,17.02
1400,1013.2228393554688,1.0,17.02
1500,1013.2228393554688,1.0,17.02
1600,1013.2228393554688,1.0,17.02
1700,1013.2228393554688,1.0,17.02
1800,1013.2228393554688,1.0,17.02
1900,1013.2228393554688,1.0,17.02
2000,1013.2228393554688,1.0,17.02
2100,1013.2228393554688,1.0,17.02
2200,1013.2228393554688,1.0,17.02
2300,1013.2228393554688,1.0,17.02
2400,1013.2228393554688,1.0,17.02
2500,1013.2228393554688,1.0,17.02
2600,1013.2228393554688,1.0,17.02
2700,1013.2228393554688,1.0,17.02
2800,1013.2228393554688,1.0,17.02
2900,1014.4736938476562,1.0,17.02
3000,1014.4736938476562,1.0,17.02
3100,1014.4736938476562,1.0,17.02
3200,1014.4736938476562,1.0,17.02
3300,1014.4736938476562,1.0,17.02
3400,1014.4736938476562,1.0,17.02
3500,1014.4736938476562,1.0,17.02
3600,1014.4736938476562,1.0,17.02
3700,1014.4736938476562,1.0,17.02
3800,1014.4736938476562,1.0,17.02
3900,1017.6744384765625,1.0,17.02
4000,1017.6744384765625,1.0,17.02
4100,1017.6744384765625,1.0,17.02
4200,1017.6744384765625,1.0,17.02
4300,1017.6744384765625,1.0,17.02
4400,1017.6744384765625,1.0,17.02
4500,1017.6744384765625,1.0,17.02
4600,1017.6744384765625,1.0,17.02
4700,1017.6744384765625,1.0,17.02
4800,1017.6744384765625,1.0,17.02
4900,1017.6744384765625,1.0,17.02
5000,1017.6744384765625,1.0,17.02
5100,1017.6744384765625,1.0,17.02
5200,1017.6744384765625,1.0,17.02
5300,1017.6744384765625,1.0,17.02
5400,1017.6744384765625,1.0,17.02
5500,1017.6744384765625,1.0,17.02
5600,1017.6744384765625,1.0,17.02
5700,1017.6744384765625,1.0,17.02
5800,1017.6744384765625,1.0,17.02
5900,1017.6744384765625,1.0,17.02
6000,1017.6744384765625,1.0,17.02
6100,1017.6744384765625,1.0,17.02
6200,1017.6744384765625,1.0,17.02
6300,1017.6744384765625,1.0,17.02
6400,1017.6744384765625,1.0,17.02
6500,1017.6744384765625,1.0,17.02
6600,1017.6744384765625,1.0,17.02
6700,1017.6744384765625,1.0,17.02
6800,1017.6744384765625,1.0,17.02
6900,1017.6744384765625,1.0,17.02
7000,1017.6744384765625,1.0,17.02
7100,1017.6744384765625,1.0,17.02
7200,1017.6744384765625,1.0,17.02
7300,1017.6744384765625,1.0,17.02
7400,1017.6744384765625,1.0,17.02
7500,1017.6744384765625,1.0,17.02
7600,1017.6744384765625,1.0,17.02
7700,1017.6744384765625,1.0,17.02
7800,1017.6744384765625,1.0,17.02
7900,1017.6744384765625,1.0,17.02
8000,1017.6744384765625,1.0,17.02
8100,1017.6744384765625,1.0,17.02
8200,1017.6744384765625,1.0,17.02
8300,1017.6744384765625,1.0,17.02
8400,1017.6744384765625,1.0,17.02
8500,1017.6744384765625,1.0,17.02
8600,1017.6744384765625,1.0,17.02
8700,1017.6744384765625,1.0,17.02
8800,1017.6744384765625,1.0,17.02
8900,1017.6744384765625,1.0,17.02
9000,1017.6744384765625,1.0,17.02
9100,1017.6744384765625,1.0,17.02
9200,1017.6744384765625,1.0,17.02
9300,1017.6744384765625,1.0,17.02
9400,1017.6744384765625,1.0,17.02
9500,1017.6744384765625,1.0,17.02
9600,1017.6744384765625,1.0,17.02
9700,1017.6744384765625,1.0,17.02
9800,1017.6744384765625,1.0,17.02
9900,1017.6744384765625,1.0,17.02
10000,1017.6744384765625,1.0,17.02
10100,1017.6744384765625,1.0,17.02
10200,1017.6744384765625,1.0,17.02
10300,1017.6744384765625,1.0,17.02
10400,1017.6744384765625,1.0,17.02
10500,1017.6744384765625,1.0,17.02
10600,1017.6744384765625,1.0,17.02
10700,1017.6744384765625,1.0,17.02
10800,1017.6744384765625,1.0,17.02
10900,1017.6744384765625,1.0,17.02
11000,1019.0125732421875,1.0,17.02
11100,1019.0125732421875,1.0,17.02
11200,1019.0125732421875,1.0,17.02
11300,1019.0125732421875,1.0,17.02
11400,1019.0125732421875,1.0,17.02
11500,1019.0125732421875,1.0,17.02
11600,1019.0125732421875,1.0,17.02
11700,1019.0125732421875,1.0,17.02
11800,1019.0125732421875,1.0,17.02
11900,1019.0125732421875,1.0,17.02
12000,1019.0125732421875,1.0,17.02
12100,1019.0125732421875,1.0,17.02
12200,1019.0125732421875,1.0,17.02
12300,1019.0125732421875,1.0,17.02
12400,1019.0125732421875,1.0,17.02
12500,1019.0125732421875,1.0,17.02
12600,1019.0125732421875,1.0,17.02
12700,1019.0125732421875,1.0,17.02
12800,1019.0125732421875,1.0,17.02
12900,1019.0125732421875,1.0,17.02
13000,1019.0125732421875,1.0,17.02
13100,1019.0125732421875,1.0,17.02
13200,1019.0125732421875,1.0,17.02
13300,1019.0125732421875,1.0,17.02
13400,1019.0125732421875,1.0,17.02
13500,1019.0125732421875,1.0,17.02
13600,1019.0125732421875,1.0,17.02
13700,1019.0125732421875,1.0,17.02
13800,1019.0125732421875,1.0,17.02
13900,1019.0125732421875,1.0,17.02
14000,1019.0125732421875,1.0,17.02
14100,1019.0125732421875,1.0,17.02
14200,1019.0125732421875,1.0,17.02
14300,1019.0125732421875,1.0,17.02
14400,1019.0125732421875,1.0,17.02
14500,1019.0125732421875,1.0,17.02
14600,1019.0125732421875,1.0,17.02
14700,1019.0125732421875,1.0,17.02
14800,1019.0125732421875,1.0,17.02
14900,1019.0125732421875,1.0,17.02
15000,1019.0125732421875,1.0,17.02
15100,1019.0125732421875,1.0,17.02
15200,1019.0125732421875,1.0,17.02
15300,1019.0125732421875,1.0,17.02
15400,1019.0125732421875,1.0,17.02
15500,1019.0125732421875,1.0,17.02
15600,1019.0125732421875,1.0,17.02
15700,1019.0125732421875,1.0,17.02
15800,1019.0125732421875,1.0,17.02
15900,1019.0125732421875,1.0,17.02
16000,1019.0125732421875,1.0,17.02
16100,1019.0125732421875,1.0,17.02
16200,1019.0125732421875,1.0,17.02
16300,1019.0125732421875,1.0,17.02
16400,1019.0125732421875,1.0,17.02
16500,1019.0125732421875,1.0,17.02
16600,1019.0125732421875,1.0,17.02
16700,1019.0125732421875,1.0,17.02
16800,1019.0125732421875,1.0,17.02
16900,1019.0125732421875,1.0,17.02
17000,1019.0125732421875,1.0,17.02
17100,1019.0125732421875,1.0,17.02
17200,1019.0125732421875,1.0,17.02
17300,1019.0125732421875,1.0,17.02
17400,1019.0125732421875,1.0,17.02
17500,1019.0125732421875,1.0,17.02
17600,1019.0125732421875,1.0,17.02
17700,1019.0125732421875,1.0,17.02
17800,1019.0125732421875,1.0,17.02
17900,1019.0125732421875,1.0,17.02
18000,1019.0125732421875,1.0,17.02
18100,1019.0125732421875,1.0,17.02
18200,1019.0125732421875,1.0,17.02
18300,1019.0125732421875,1.0,17.02
18400,1019.0125732421875,1.0,17.02
18500,1019.0125732421875,1.0,17.02
18600,1019.0125732421875,1.0,17.02
18700,1019.0125732421875,1.0,17.02
18800,1019.0125732421875,1.0,17.02
18900,1019.0125732421875,1.0,17.02
19000,1019.0125732421875,1.0,17.02
19100,1019.0125732421875,1.0,17.02
19200,1019.0125732421875,1.0,17.02
19300,1019.0125732421875,1.0,17.02
19400,1019.0125732421875,1.0,17.02
19500,1019.0125732421875,1.0,17.02
19600,1019.0125732421875,1.0,17.02
19700,1019.0125732421875,1.0,17.02
19800,1019.0125732421875,1.0,17.02
19900,1019.0125732421875,1.0,17.02
20000,1019.0125732421875,1.0,17.02
20100,1019.0125732421875,1.0,17.02
20200,1019.0125732421875,1.0,17.02
20300,1019.0125732421875,1.0,17.02
20400,1019.0125732421875,1.0,17.02
20500,1019.0125732421875,1.0,17.02
20600,1019.0125732421875,1.0,17.02
20700,1019.0125732421875,1.0,17.02
20800,1019.0125732421875,1.0,17.02
20900,1019.0125732421875,1.0,17.02
21000,1019.0125732421875,1.0,17.02
21100,1019.0125732421875,1.0,17.02
21200,1019.0125732421875,1.0,17.02
21300,1019.0125732421875,1.0,17.02
21400,1019.0125732421875,1.0,17.02
21500,1019.0125732421875,1.0,17.02
21600,1019.0125732421875,1.0,17.02
21700,1019.0125732421875,1.0,17.02
21800,1019.0125732421875,1.0,17.02
21900,1019.0125732421875,1.0,17.02
22000,1022.5804443359375,1.0,17.02
22100,1022.5804443359375,1.0,17.02
