evaluation,fitness,uniqueness,time
0,996.4227905273438,1.0,179.07
1000,996.4227905273438,1.0,179.07
2000,997.0895385742188,1.0,179.07
3000,1002.4967041015625,1.0,179.07
4000,1002.4967041015625,1.0,179.07
5000,1002.4967041015625,1.0,179.07
6000,1002.4967041015625,1.0,179.07
7000,1002.4967041015625,1.0,179.07
8000,1002.4967041015625,1.0,179.07
9000,1002.4967041015625,1.0,179.07
10000,1002.6591186523438,1.0,179.07
11000,1003.9678344726562,1.0,179.07
12000,1003.9678344726562,1.0,179.07
13000,1003.9678344726562,1.0,179.07
14000,1005.6135864257812,1.0,179.07
15000,1005.6135864257812,1.0,179.07
16000,1005.6135864257812,1.0,179.07
17000,1008.9736328125,1.0,179.07
18000,1008.9736328125,1.0,179.07
19000,1008.9736328125,1.0,179.07
20000,1008.9736328125,1.0,179.07
21000,1008.9736328125,1.0,179.07
22000,1016.7213134765625,1.0,179.07
23000,1016.7213134765625,1.0,179.07
24000,1016.7213134765625,1.0,179.07
25000,1016.7213134765625,1.0,179.07
26000,1016.7213134765625,1.0,179.07
27000,1016.7213134765625,1.0,179.07
28000,1016.7213134765625,1.0,179.07
29000,1016.7213134765625,1.0,179.07
30000,1016.7213134765625,1.0,179.07
31000,1016.7213134765625,1.0,179.07
32000,1016.7213134765625,1.0,179.07
33000,1016.7213134765625,1.0,179.07
34000,1016.7213134765625,1.0,179.07
35000,1016.7213134765625,1.0,179.07
36000,1020.3013305664062,1.0,179.07
37000,1020.3013305664062,1.0,179.07
38000,1020.3013305664062,1.0,179.07
39000,1020.3013305664062,1.0,179.07
40000,1020.3013305664062,1.0,179.07
41000,1020.3013305664062,1.0,179.07
42000,1020.3013305664062,1.0,179.07
43000,1020.3013305664062,1.0,179.07
44000,1020.3013305664062,1.0,179.07
45000,1020.3013305664062,1.0,179.07
46000,1020.3013305664062,1.0,179.07
47000,1020.3013305664062,1.0,179.07
48000,1020.3013305664062,1.0,179.07
49000,1020.3013305664062,1.0,179.07
50000,1020.3013305664062,1.0,179.07
51000,1020.3013305664062,1.0,179.07
52000,1020.3013305664062,1.0,179.07
53041,1020.3013305664062,1.0,183.91
54041,1020.3013305664062,1.0,183.91
55041,1020.3013305664062,1.0,183.91
56041,1020.3013305664062,1.0,183.91
57041,1020.3013305664062,1.0,183.91
58041,1020.3013305664062,1.0,183.91
59041,1020.3013305664062,1.0,183.91
60041,1020.3013305664062,1.0,183.91
61041,1020.3013305664062,1.0,183.91
62041,1020.3013305664062,1.0,183.91
63041,1020.3013305664062,1.0,183.91
64041,1020.3013305664062,1.0,183.91
65041,1020.3013305664062,1.0,183.91
66041,1020.3013305664062,1.0,183.91
67041,1020.3013305664062,1.0,183.91
68041,1020.3013305664062,1.0,183.91
69041,1020.3013305664062,1.0,183.91
70041,1020.3013305664062,1.0,183.91
71041,1020.3013305664062,1.0,183.91
72041,1020.3013305664062,1.0,183.91
73041,1020.3013305664062,1.0,183.91
74041,1020.3013305664062,1.0,183.91
75041,1020.3013305664062,1.0,183.91
76041,1020.3013305664062,1.0,183.91
77041,1020.3013305664062,1.0,183.91
78041,1020.3013305664062,1.0,183.91
79041,1020.3013305664062,1.0,183.91
80041,1020.3013305664062,1.0,183.91
81041,1020.3013305664062,1.0,183.91
82041,1020.3013305664062,1.0,183.91
83041,1020.3013305664062,1.0,183.91
84041,1020.3013305664062,1.0,183.91
85041,1020.3013305664062,1.0,183.91
86041,1020.3013305664062,1.0,183.91
87041,1020.3013305664062,1.0,183.91
88041,1020.3013305664062,1.0,183.91
89041,1020.3013305664062,1.0,183.91
