evaluation,fitness,uniqueness,time
0,841.48486328125,1.0,146.38
1000,841.48486328125,1.0,146.38
2000,841.48486328125,1.0,146.38
3000,841.48486328125,1.0,146.38
4000,841.48486328125,1.0,146.38
5000,841.48486328125,1.0,146.38
6000,919.0206909179688,1.0,146.38
7000,919.0206909179688,1.0,146.38
8000,919.0206909179688,1.0,146.38
9000,919.0206909179688,1.0,146.38
10000,919.0206909179688,1.0,146.38
11000,919.0206909179688,1.0,146.38
12000,946.1677856445312,1.0,146.38
13000,946.1677856445312,1.0,146.38
14000,946.1677856445312,1.0,146.38
15000,946.1677856445312,1.0,146.38
16000,946.1677856445312,1.0,146.38
17000,946.1677856445312,1.0,146.38
18000,946.1677856445312,1.0,146.38
19000,946.1677856445312,1.0,146.38
20000,946.1677856445312,1.0,146.38
21000,946.1677856445312,1.0,146.38
22000,946.1677856445312,1.0,146.38
23000,946.1677856445312,1.0,146.38
24000,946.1677856445312,1.0,146.38
25000,946.1677856445312,1.0,146.38
26000,946.1677856445312,1.0,146.38
27000,946.1677856445312,1.0,146.38
28000,946.1677856445312,1.0,146.38
29000,946.1677856445312,1.0,146.38
30000,946.1677856445312,1.0,146.38
31000,946.1677856445312,1.0,146.38
32000,946.1677856445312,1.0,146.38
33000,946.1677856445312,1.0,146.38
34000,946.1677856445312,1.0,146.38
35000,946.1677856445312,1.0,146.38
36000,946.1677856445312,1.0,146.38
37000,946.1677856445312,1.0,146.38
38000,946.1677856445312,1.0,146.38
39000,946.1677856445312,1.0,146.38
40000,946.1677856445312,1.0,146.38
41000,946.1677856445312,1.0,146.38
42000,946.1677856445312,1.0,146.38
43000,946.1677856445312,1.0,146.38
44000,946.1677856445312,1.0,146.38
45000,946.1677856445312,1.0,146.38
46000,946.1677856445312,1.0,146.38
47000,946.1677856445312,1.0,146.38
48000,946.1677856445312,1.0,146.38
49000,946.1677856445312,1.0,146.38
50000,946.1677856445312,1.0,146.38
51000,946.1677856445312,1.0,146.38
52000,946.1677856445312,1.0,146.38
53000,946.1677856445312,1.0,146.38
54000,946.1677856445312,1.0,146.38
55000,946.1677856445312,1.0,146.38
56000,946.1677856445312,1.0,146.38
57000,946.1677856445312,1.0,146.38
58000,946.1677856445312,1.0,146.38
59000,946.1677856445312,1.0,146.38
60000,946.1677856445312,1.0,146.38
61000,946.1677856445312,1.0,146.38
62000,946.1677856445312,1.0,146.38
63000,946.1677856445312,1.0,146.38
64000,946.1677856445312,1.0,146.38
65000,946.1677856445312,1.0,146.38
66000,946.1677856445312,1.0,146.38
67000,946.1677856445312,1.0,146.38
68000,946.1677856445312,1.0,146.38
69000,946.1677856445312,1.0,146.38
70000,946.1677856445312,1.0,146.38
71000,946.1677856445312,1.0,146.38
72000,966.9390869140625,1.0,146.38
73000,966.9390869140625,1.0,146.38
74000,966.9390869140625,1.0,146.38
75000,966.9390869140625,1.0,146.38
76000,966.9390869140625,1.0,146.38
77000,966.9390869140625,1.0,146.38
78000,966.9390869140625,1.0,146.38
