evaluation,fitness,uniqueness,time
0,-100.2136001586914,1.0,6.63
100,-100.2136001586914,1.0,6.63
200,-100.2136001586914,1.0,6.63
300,-100.2136001586914,1.0,6.63
400,-100.2136001586914,1.0,6.63
500,-100.2136001586914,1.0,6.63
600,-100.2136001586914,1.0,6.63
700,-100.2136001586914,1.0,6.63
800,-100.2136001586914,1.0,6.63
900,-100.2136001586914,1.0,6.63
1000,-100.2136001586914,1.0,6.63
1100,-100.2136001586914,1.0,6.63
1200,-100.2136001586914,1.0,6.63
1300,-100.2136001586914,1.0,6.63
1400,-100.2136001586914,1.0,6.63
1500,-100.2136001586914,1.0,6.63
1600,-100.2136001586914,1.0,6.63
1700,-100.2136001586914,1.0,6.63
1800,-100.2136001586914,1.0,6.63
1900,-100.2136001586914,1.0,6.63
2000,-100.2136001586914,1.0,6.63
2100,-100.2136001586914,1.0,6.63
2200,-100.2136001586914,1.0,6.63
2300,-100.2136001586914,1.0,6.63
2400,-100.2136001586914,1.0,6.63
2500,-100.2136001586914,1.0,6.63
2600,-100.2136001586914,1.0,6.63
2700,-100.2136001586914,1.0,6.63
2800,-100.2136001586914,1.0,6.63
2900,-100.2136001586914,1.0,6.63
3000,-100.2136001586914,1.0,6.63
3100,-100.2136001586914,1.0,6.63
3200,-100.2136001586914,1.0,6.63
3300,-60.760009765625,1.0,6.63
3400,-60.760009765625,1.0,6.63
3500,-60.760009765625,1.0,6.63
3600,-60.760009765625,1.0,6.63
3700,-60.760009765625,1.0,6.63
3800,-60.760009765625,1.0,6.63
3900,-60.760009765625,1.0,6.63
4000,-60.760009765625,1.0,6.63
4100,-60.760009765625,1.0,6.63
4200,-60.760009765625,1.0,6.63
4300,-60.760009765625,1.0,6.63
4400,-60.760009765625,1.0,6.63
4500,-59.39132308959961,1.0,6.63
4600,-59.39132308959961,1.0,6.63
4700,-59.39132308959961,1.0,6.63
4800,-59.39132308959961,1.0,6.63
4900,-59.39132308959961,1.0,6.63
5000,-59.39132308959961,1.0,6.63
5100,-59.39132308959961,1.0,6.63
5200,-59.39132308959961,1.0,6.63
5300,-59.39132308959961,1.0,6.63
5400,-59.39132308959961,1.0,6.63
5500,-59.39132308959961,1.0,6.63
5600,-59.39132308959961,1.0,6.63
5700,-59.39132308959961,1.0,6.63
5800,-59.39132308959961,1.0,6.63
5900,-59.39132308959961,1.0,6.63
6000,-59.39132308959961,1.0,6.63
6100,-59.39132308959961,1.0,6.63
6200,-59.39132308959961,1.0,6.63
6300,-59.39132308959961,1.0,6.63
6400,-59.39132308959961,1.0,6.63
6500,-59.39132308959961,1.0,6.63
6600,-59.39132308959961,1.0,6.63
6700,-59.39132308959961,1.0,6.63
6800,-59.39132308959961,1.0,6.63
6900,-59.39132308959961,1.0,6.63
7000,-59.39132308959961,1.0,6.63
7100,-59.39132308959961,1.0,6.63
7200,-59.39132308959961,1.0,6.63
7300,-59.39132308959961,1.0,6.63
7400,-59.39132308959961,1.0,6.63
7500,-59.39132308959961,1.0,6.63
7600,-59.39132308959961,1.0,6.63
7700,-59.39132308959961,1.0,6.63
7800,-59.39132308959961,1.0,6.63
7900,-59.39132308959961,1.0,6.63
8000,-59.39132308959961,1.0,6.63
8100,-59.39132308959961,1.0,6.63
8200,-59.39132308959961,1.0,6.63
8300,-59.39132308959961,1.0,6.63
8400,-59.39132308959961,1.0,6.63
8500,-59.39132308959961,1.0,6.63
8600,-59.39132308959961,1.0,6.63
8700,-59.39132308959961,1.0,6.63
8800,-59.39132308959961,1.0,6.63
8900,-59.39132308959961,1.0,6.63
9000,-59.39132308959961,1.0,6.63
9100,-59.39132308959961,1.0,6.63
9200,-59.39132308959961,1.0,6.63
9300,-59.39132308959961,1.0,6.63
9400,-59.39132308959961,1.0,6.63
9500,-59.39132308959961,1.0,6.63
9600,-59.39132308959961,1.0,6.63
9700,-59.39132308959961,1.0,6.63
9800,-59.39132308959961,1.0,6.63
9900,-59.39132308959961,1.0,6.63
10000,-59.39132308959961,1.0,6.63
10100,-59.39132308959961,1.0,6.63
10200,-59.39132308959961,1.0,6.63
10300,-59.39132308959961,1.0,6.63
10400,-59.39132308959961,1.0,6.63
10500,-59.39132308959961,1.0,6.63
10600,-59.39132308959961,1.0,6.63
10700,-59.39132308959961,1.0,6.63
10800,-59.39132308959961,1.0,6.63
10900,-59.39132308959961,1.0,6.63
11000,-59.39132308959961,1.0,6.63
11100,-59.39132308959961,1.0,6.63
11200,-59.39132308959961,1.0,6.63
11300,-59.39132308959961,1.0,6.63
11400,-59.39132308959961,1.0,6.63
11500,-59.39132308959961,1.0,6.63
11600,-59.39132308959961,1.0,6.63
11700,-59.39132308959961,1.0,6.63
11800,-59.39132308959961,1.0,6.63
11900,-59.39132308959961,1.0,6.63
12000,-59.39132308959961,1.0,6.63
12100,-59.39132308959961,1.0,6.63
12200,-59.39132308959961,1.0,6.63
12300,-53.64988327026367,1.0,6.63
12400,-53.64988327026367,1.0,6.63
12500,-53.64988327026367,1.0,6.63
12600,-53.64988327026367,1.0,6.63
12700,-53.64988327026367,1.0,6.63
12800,-53.64988327026367,1.0,6.63
12900,-53.64988327026367,1.0,6.63
13000,-53.64988327026367,1.0,6.63
13100,-53.64988327026367,1.0,6.63
13200,-53.64988327026367,1.0,6.63
13300,-53.64988327026367,1.0,6.63
13400,-53.64988327026367,1.0,6.63
13500,-53.64988327026367,1.0,6.63
13600,-53.64988327026367,1.0,6.63
13700,-53.64988327026367,1.0,6.63
13800,-53.64988327026367,1.0,6.63
13900,-53.64988327026367,1.0,6.63
14000,-53.64988327026367,1.0,6.63
14100,-53.64988327026367,1.0,6.63
14200,-53.64988327026367,1.0,6.63
14300,-53.64988327026367,1.0,6.63
14400,-53.64988327026367,1.0,6.63
14500,-53.64988327026367,1.0,6.63
14600,-53.64988327026367,1.0,6.63
14700,-53.64988327026367,1.0,6.63
14800,-53.64988327026367,1.0,6.63
14900,-53.64988327026367,1.0,6.63
15000,-53.64988327026367,1.0,6.63
15100,-53.64988327026367,1.0,6.63
15200,-53.64988327026367,1.0,6.63
15300,-53.64988327026367,1.0,6.63
15400,-53.64988327026367,1.0,6.63
15500,-53.64988327026367,1.0,6.63
15600,-53.64988327026367,1.0,6.63
15700,-53.64988327026367,1.0,6.63
15800,-53.64988327026367,1.0,6.63
15900,-53.64988327026367,1.0,6.63
16000,-53.64988327026367,1.0,6.63
16100,-53.64988327026367,1.0,6.63
16200,-53.64988327026367,1.0,6.63
16300,-53.64988327026367,1.0,6.63
16400,-53.64988327026367,1.0,6.63
16500,-53.64988327026367,1.0,6.63
16600,-53.64988327026367,1.0,6.63
16700,-53.64988327026367,1.0,6.63
16800,-53.64988327026367,1.0,6.63
16900,-53.64988327026367,1.0,6.63
17000,-53.64988327026367,1.0,6.63
17100,-53.64988327026367,1.0,6.63
17200,-53.64988327026367,1.0,6.63
17300,-53.64988327026367,1.0,6.63
17400,-53.64988327026367,1.0,6.63
17500,-53.64988327026367,1.0,6.63
17600,-53.64988327026367,1.0,6.63
17700,-53.64988327026367,1.0,6.63
17800,-53.64988327026367,1.0,6.63
17900,-53.64988327026367,1.0,6.63
18000,-53.64988327026367,1.0,6.63
18100,-53.64988327026367,1.0,6.63
18200,-53.64988327026367,1.0,6.63
18300,-53.64988327026367,1.0,6.63
18400,-53.64988327026367,1.0,6.63
18500,-53.64988327026367,1.0,6.63
18600,-53.64988327026367,1.0,6.63
18700,-53.64988327026367,1.0,6.63
18800,-53.64988327026367,1.0,6.63
18900,-53.64988327026367,1.0,6.63
19000,-53.64988327026367,1.0,6.63
19100,-53.64988327026367,1.0,6.63
19200,-53.64988327026367,1.0,6.63
19300,-53.64988327026367,1.0,6.63
19400,-53.64988327026367,1.0,6.63
19500,-53.64988327026367,1.0,6.63
19600,-53.64988327026367,1.0,6.63
19700,-53.64988327026367,1.0,6.63
19800,-53.64988327026367,1.0,6.63
19900,-53.64988327026367,1.0,6.63
20000,-53.64988327026367,1.0,6.63
20100,-53.64988327026367,1.0,6.63
20200,-53.64988327026367,1.0,6.63
20300,-53.64988327026367,1.0,6.63
20400,-53.64988327026367,1.0,6.63
20500,-53.64988327026367,1.0,6.63
20600,-53.64988327026367,1.0,6.63
20700,-53.64988327026367,1.0,6.63
20800,-53.64988327026367,1.0,6.63
20900,-53.64988327026367,1.0,6.63
21000,-53.64988327026367,1.0,6.63
21100,-53.64988327026367,1.0,6.63
21200,-53.64988327026367,1.0,6.63
21300,-53.64988327026367,1.0,6.63
21400,-53.64988327026367,1.0,6.63
21500,-53.64988327026367,1.0,6.63
21600,-53.64988327026367,1.0,6.63
21700,-53.64988327026367,1.0,6.63
21800,-53.64988327026367,1.0,6.63
21900,-53.64988327026367,1.0,6.63
22000,-53.64988327026367,1.0,6.63
22100,-53.64988327026367,1.0,6.63
22200,-53.64988327026367,1.0,6.63
22300,-53.64988327026367,1.0,6.63
22400,-53.64988327026367,1.0,6.63
22500,-53.64988327026367,1.0,6.63
22600,-53.64988327026367,1.0,6.63
22700,-53.64988327026367,1.0,6.63
22800,-53.64988327026367,1.0,6.63
22900,-53.64988327026367,1.0,6.63
23000,-53.64988327026367,1.0,6.63
23100,-53.64988327026367,1.0,6.63
23200,-53.64988327026367,1.0,6.63
