evaluation,fitness,uniqueness,time
0,-93.63973999023438,1.0,71.06
1000,-93.63973999023438,1.0,71.06
2000,-64.4130859375,1.0,71.06
3000,-64.4130859375,1.0,71.06
4000,-64.4130859375,1.0,71.06
5000,-64.4130859375,1.0,71.06
6000,-64.4130859375,1.0,71.06
7000,-64.4130859375,1.0,71.06
8000,-64.4130859375,1.0,71.06
9000,-64.4130859375,1.0,71.06
10000,-64.4130859375,1.0,71.06
11000,-64.4130859375,1.0,71.06
12000,-64.4130859375,1.0,71.06
13000,-64.4130859375,1.0,71.06
14000,-64.4130859375,1.0,71.06
15000,-58.369930267333984,1.0,71.06
16000,-58.369930267333984,1.0,71.06
17000,-58.369930267333984,1.0,71.06
18000,-58.369930267333984,1.0,71.06
19000,-58.369930267333984,1.0,71.06
20000,-58.369930267333984,1.0,71.06
21000,-58.369930267333984,1.0,71.06
22000,-58.369930267333984,1.0,71.06
23000,-58.369930267333984,1.0,71.06
24000,-58.369930267333984,1.0,71.06
25000,-58.369930267333984,1.0,71.06
26000,-58.369930267333984,1.0,71.06
27000,-58.369930267333984,1.0,71.06
28000,-58.369930267333984,1.0,71.06
29000,-58.369930267333984,1.0,71.06
30000,-58.369930267333984,1.0,71.06
31000,-58.369930267333984,1.0,71.06
32000,-57.501502990722656,1.0,71.06
33000,-57.501502990722656,1.0,71.06
34000,-57.501502990722656,1.0,71.06
35000,-57.501502990722656,1.0,71.06
36000,-57.501502990722656,1.0,71.06
37000,-57.501502990722656,1.0,71.06
38000,-50.15973663330078,1.0,71.06
39000,-50.15973663330078,1.0,71.06
40000,-50.15973663330078,1.0,71.06
41000,-50.15973663330078,1.0,71.06
42000,-50.15973663330078,1.0,71.06
43000,-50.15973663330078,1.0,71.06
44000,-40.77885437011719,1.0,71.06
45000,-40.77885437011719,1.0,71.06
46000,-40.77885437011719,1.0,71.06
47000,-40.77885437011719,1.0,71.06
48000,-40.77885437011719,1.0,71.06
49000,-40.77885437011719,1.0,71.06
50000,-40.77885437011719,1.0,71.06
51000,-40.77885437011719,1.0,71.06
52000,-40.77885437011719,1.0,71.06
53000,-40.77885437011719,1.0,71.06
54000,-25.016267776489258,1.0,71.06
55000,-25.016267776489258,1.0,71.06
56000,-25.016267776489258,1.0,71.06
57000,-25.016267776489258,1.0,71.06
58000,-25.016267776489258,1.0,71.06
59000,-25.016267776489258,1.0,71.06
60000,-25.016267776489258,1.0,71.06
61000,-25.016267776489258,1.0,71.06
62000,-25.016267776489258,1.0,71.06
63000,-25.016267776489258,1.0,71.06
64000,-25.016267776489258,1.0,71.06
65000,-25.016267776489258,1.0,71.06
66000,-25.016267776489258,1.0,71.06
67000,-25.016267776489258,1.0,71.06
68000,-25.016267776489258,1.0,71.06
69000,-25.016267776489258,1.0,71.06
70000,-25.016267776489258,1.0,71.06
71000,-25.016267776489258,1.0,71.06
72000,-25.016267776489258,1.0,71.06
73000,-25.016267776489258,1.0,71.06
74000,-25.016267776489258,1.0,71.06
75000,-25.016267776489258,1.0,71.06
76000,-25.016267776489258,1.0,71.06
77000,-25.016267776489258,1.0,71.06
78000,-25.016267776489258,1.0,71.06
79000,-25.016267776489258,1.0,71.06
80000,-25.016267776489258,1.0,71.06
81000,-25.016267776489258,1.0,71.06
82000,-25.016267776489258,1.0,71.06
83000,-25.016267776489258,1.0,71.06
84000,-25.016267776489258,1.0,71.06
85000,-25.016267776489258,1.0,71.06
86000,-25.016267776489258,1.0,71.06
87000,-25.016267776489258,1.0,71.06
88000,-25.016267776489258,1.0,71.06
89000,-25.016267776489258,1.0,71.06
90000,-25.016267776489258,1.0,71.06
91000,-25.016267776489258,1.0,71.06
92000,-25.016267776489258,1.0,71.06
93000,-25.016267776489258,1.0,71.06
94000,-25.016267776489258,1.0,71.06
95000,-25.016267776489258,1.0,71.06
96000,-25.016267776489258,1.0,71.06
97000,-25.016267776489258,1.0,71.06
98000,-25.016267776489258,1.0,71.06
99000,-25.016267776489258,1.0,71.06
100000,-25.016267776489258,1.0,71.06
101000,-25.016267776489258,1.0,71.06
102000,-25.016267776489258,1.0,71.06
103000,-25.016267776489258,1.0,71.06
104000,-25.016267776489258,1.0,71.06
105000,-25.016267776489258,1.0,71.06
106000,-25.016267776489258,1.0,71.06
107000,-25.016267776489258,1.0,71.06
108000,-25.016267776489258,1.0,71.06
109000,-25.016267776489258,1.0,71.06
