evaluation,fitness,uniqueness,time
0,-115.68131256103516,1.0,6.57
100,-115.68131256103516,1.0,6.57
200,-115.68131256103516,1.0,6.57
300,-115.68131256103516,1.0,6.57
400,-115.68131256103516,1.0,6.57
500,-115.68131256103516,1.0,6.57
600,-115.68131256103516,1.0,6.57
700,-115.68131256103516,1.0,6.57
800,-115.68131256103516,1.0,6.57
900,-115.68131256103516,1.0,6.57
1000,-115.68131256103516,1.0,6.57
1100,-115.68131256103516,1.0,6.57
1200,-115.68131256103516,1.0,6.57
1300,-115.68131256103516,1.0,6.57
1400,-115.68131256103516,1.0,6.57
1500,-115.68131256103516,1.0,6.57
1600,-115.68131256103516,1.0,6.57
1700,-115.68131256103516,1.0,6.57
1800,-115.68131256103516,1.0,6.57
1900,-115.68131256103516,1.0,6.57
2000,-115.68131256103516,1.0,6.57
2100,-115.68131256103516,1.0,6.57
2200,-115.68131256103516,1.0,6.57
2300,-115.68131256103516,1.0,6.57
2400,-115.68131256103516,1.0,6.57
2500,-115.68131256103516,1.0,6.57
2600,-115.68131256103516,1.0,6.57
2700,-115.68131256103516,1.0,6.57
2800,-115.68131256103516,1.0,6.57
2900,-115.68131256103516,1.0,6.57
3000,-115.68131256103516,1.0,6.57
3100,-115.68131256103516,1.0,6.57
3200,-115.68131256103516,1.0,6.57
3300,-115.68131256103516,1.0,6.57
3400,-115.68131256103516,1.0,6.57
3500,-115.68131256103516,1.0,6.57
3600,-115.68131256103516,1.0,6.57
3700,-115.68131256103516,1.0,6.57
3800,-115.68131256103516,1.0,6.57
3900,-115.68131256103516,1.0,6.57
4000,-115.68131256103516,1.0,6.57
4100,-115.68131256103516,1.0,6.57
4200,-115.68131256103516,1.0,6.57
4300,-115.68131256103516,1.0,6.57
4400,-115.68131256103516,1.0,6.57
4500,-115.68131256103516,1.0,6.57
4600,-115.68131256103516,1.0,6.57
4700,-115.68131256103516,1.0,6.57
4800,-115.68131256103516,1.0,6.57
4900,-115.68131256103516,1.0,6.57
5000,-115.68131256103516,1.0,6.57
5100,-115.68131256103516,1.0,6.57
5200,-115.68131256103516,1.0,6.57
5300,-115.68131256103516,1.0,6.57
5400,-115.68131256103516,1.0,6.57
5500,-97.17086029052734,1.0,6.57
5600,-97.17086029052734,1.0,6.57
5700,-97.17086029052734,1.0,6.57
5800,-97.17086029052734,1.0,6.57
5900,-97.17086029052734,1.0,6.57
6000,-97.17086029052734,1.0,6.57
6100,-97.17086029052734,1.0,6.57
6200,-97.17086029052734,1.0,6.57
6300,-97.17086029052734,1.0,6.57
6400,-97.17086029052734,1.0,6.57
6500,-97.17086029052734,1.0,6.57
6600,-97.17086029052734,1.0,6.57
6700,-97.17086029052734,1.0,6.57
6800,-97.17086029052734,1.0,6.57
6900,-97.17086029052734,1.0,6.57
