evaluation,fitness,uniqueness,time
0,25.92961883544922,1.0,15.48
100,25.92961883544922,1.0,15.48
200,58.63105392456055,1.0,15.48
300,58.63105392456055,1.0,15.48
400,58.63105392456055,1.0,15.48
500,58.63105392456055,1.0,15.48
600,62.6814079284668,1.0,15.48
700,62.6814079284668,1.0,15.48
800,62.6814079284668,1.0,15.48
900,62.6814079284668,1.0,15.48
1000,62.6814079284668,1.0,15.48
1100,62.6814079284668,1.0,15.48
1200,62.6814079284668,1.0,15.48
1300,62.6814079284668,1.0,15.48
1400,62.6814079284668,1.0,15.48
1500,62.6814079284668,1.0,15.48
1600,62.6814079284668,1.0,15.48
1700,62.6814079284668,1.0,15.48
1800,62.6814079284668,1.0,15.48
1900,62.6814079284668,1.0,15.48
2000,62.6814079284668,1.0,15.48
2100,62.6814079284668,1.0,15.48
2200,62.6814079284668,1.0,15.48
2300,62.6814079284668,1.0,15.48
2400,62.6814079284668,1.0,15.48
2500,62.6814079284668,1.0,15.48
2600,62.6814079284668,1.0,15.48
2700,62.6814079284668,1.0,15.48
2800,62.6814079284668,1.0,15.48
2900,62.6814079284668,1.0,15.48
3000,62.6814079284668,1.0,15.48
3100,62.6814079284668,1.0,15.48
3200,62.6814079284668,1.0,15.48
3300,62.6814079284668,1.0,15.48
3400,62.6814079284668,1.0,15.48
3500,62.6814079284668,1.0,15.48
3600,62.6814079284668,1.0,15.48
3700,62.6814079284668,1.0,15.48
3800,62.6814079284668,1.0,15.48
3900,62.6814079284668,1.0,15.48
4000,62.6814079284668,1.0,15.48
4100,62.6814079284668,1.0,15.48
4200,62.6814079284668,1.0,15.48
4300,62.6814079284668,1.0,15.48
4400,62.6814079284668,1.0,15.48
4500,62.6814079284668,1.0,15.48
4600,62.6814079284668,1.0,15.48
4700,62.6814079284668,1.0,15.48
4800,62.6814079284668,1.0,15.48
4900,62.6814079284668,1.0,15.48
5000,62.6814079284668,1.0,15.48
5100,62.6814079284668,1.0,15.48
5200,62.6814079284668,1.0,15.48
5300,62.6814079284668,1.0,15.48
5400,62.6814079284668,1.0,15.48
5500,62.6814079284668,1.0,15.48
5600,62.6814079284668,1.0,15.48
5700,62.6814079284668,1.0,15.48
5800,62.6814079284668,1.0,15.48
5900,62.6814079284668,1.0,15.48
6000,62.6814079284668,1.0,15.48
6100,62.6814079284668,1.0,15.48
6200,62.6814079284668,1.0,15.48
6300,62.9818000793457,1.0,15.48
6400,62.9818000793457,1.0,15.48
6500,62.9818000793457,1.0,15.48
6600,62.9818000793457,1.0,15.48
6700,62.9818000793457,1.0,15.48
6800,62.9818000793457,1.0,15.48
6900,62.9818000793457,1.0,15.48
7000,62.9818000793457,1.0,15.48
7100,62.9818000793457,1.0,15.48
7200,62.9818000793457,1.0,15.48
7300,62.9818000793457,1.0,15.48
7400,62.9818000793457,1.0,15.48
7500,62.9818000793457,1.0,15.48
7600,62.9818000793457,1.0,15.48
7700,62.9818000793457,1.0,15.48
7800,62.9818000793457,1.0,15.48
7900,62.9818000793457,1.0,15.48
8000,62.9818000793457,1.0,15.48
8100,74.71976470947266,1.0,15.48
8200,82.10112762451172,1.0,15.48
8300,82.10112762451172,1.0,15.48
8400,82.10112762451172,1.0,15.48
8500,82.10112762451172,1.0,15.48
8600,82.10112762451172,1.0,15.48
8700,82.10112762451172,1.0,15.48
8800,82.10112762451172,1.0,15.48
8900,82.10112762451172,1.0,15.48
9000,82.10112762451172,1.0,15.48
9100,88.65156555175781,1.0,15.48
9200,88.65156555175781,1.0,15.48
9300,88.65156555175781,1.0,15.48
9400,88.65156555175781,1.0,15.48
9500,88.65156555175781,1.0,15.48
9600,88.65156555175781,1.0,15.48
9700,88.65156555175781,1.0,15.48
9800,88.65156555175781,1.0,15.48
9900,88.65156555175781,1.0,15.48
10000,88.65156555175781,1.0,15.48
10100,110.35130310058594,1.0,15.48
10200,110.35130310058594,1.0,15.48
10300,110.35130310058594,1.0,15.48
10400,110.35130310058594,1.0,15.48
10500,110.35130310058594,1.0,15.48
10600,110.35130310058594,1.0,15.48
10700,110.35130310058594,1.0,15.48
10800,110.35130310058594,1.0,15.48
10900,110.35130310058594,1.0,15.48
11000,110.35130310058594,1.0,15.48
11100,110.35130310058594,1.0,15.48
11200,110.35130310058594,1.0,15.48
11300,110.35130310058594,1.0,15.48
11400,110.35130310058594,1.0,15.48
11500,110.35130310058594,1.0,15.48
11600,110.35130310058594,1.0,15.48
11700,110.35130310058594,1.0,15.48
11800,110.35130310058594,1.0,15.48
11900,110.35130310058594,1.0,15.48
12000,110.35130310058594,1.0,15.48
12100,110.35130310058594,1.0,15.48
12200,110.35130310058594,1.0,15.48
12300,110.35130310058594,1.0,15.48
12400,110.35130310058594,1.0,15.48
12500,110.35130310058594,1.0,15.48
12600,110.35130310058594,1.0,15.48
12700,110.35130310058594,1.0,15.48
12800,110.35130310058594,1.0,15.48
12900,110.35130310058594,1.0,15.48
13000,110.35130310058594,1.0,15.48
13100,110.35130310058594,1.0,15.48
13200,110.35130310058594,1.0,15.48
13300,110.35130310058594,1.0,15.48
13400,110.35130310058594,1.0,15.48
13500,110.35130310058594,1.0,15.48
13600,112.39647674560547,1.0,15.48
13700,134.4634246826172,1.0,15.48
13800,134.4634246826172,1.0,15.48
13900,134.4634246826172,1.0,15.48
14000,134.4634246826172,1.0,15.48
14100,134.4634246826172,1.0,15.48
14200,134.4634246826172,1.0,15.48
14300,134.4634246826172,1.0,15.48
14400,134.4634246826172,1.0,15.48
14500,134.4634246826172,1.0,15.48
14600,134.4634246826172,1.0,15.48
14700,134.4634246826172,1.0,15.48
14800,134.4634246826172,1.0,15.48
14900,134.4634246826172,1.0,15.48
15000,134.4634246826172,1.0,15.48
15100,134.4634246826172,1.0,15.48
15200,134.4634246826172,1.0,15.48
15300,134.4634246826172,1.0,15.48
15400,134.4634246826172,1.0,15.48
15500,134.4634246826172,1.0,15.48
15600,134.4634246826172,1.0,15.48
15700,134.4634246826172,1.0,15.48
15800,134.4634246826172,1.0,15.48
15900,134.4634246826172,1.0,15.48
16000,134.4634246826172,1.0,15.48
16100,134.4634246826172,1.0,15.48
16200,134.4634246826172,1.0,15.48
16300,134.4634246826172,1.0,15.48
16400,134.4634246826172,1.0,15.48
16500,134.4634246826172,1.0,15.48
16600,134.4634246826172,1.0,15.48
16700,134.4634246826172,1.0,15.48
16800,134.4634246826172,1.0,15.48
16900,134.4634246826172,1.0,15.48
17000,134.4634246826172,1.0,15.48
17100,134.4634246826172,1.0,15.48
17200,134.4634246826172,1.0,15.48
17300,134.4634246826172,1.0,15.48
17400,134.4634246826172,1.0,15.48
17500,134.4634246826172,1.0,15.48
17600,134.4634246826172,1.0,15.48
17700,134.4634246826172,1.0,15.48
17800,134.4634246826172,1.0,15.48
17900,138.22265625,1.0,15.48
18000,138.22265625,1.0,15.48
18100,138.22265625,1.0,15.48
18200,138.22265625,1.0,15.48
18300,140.52146911621094,1.0,15.48
18400,149.01339721679688,1.0,15.48
18500,149.01339721679688,1.0,15.48
18600,149.01339721679688,1.0,15.48
18700,149.01339721679688,1.0,15.48
18800,149.01339721679688,1.0,15.48
18900,149.01339721679688,1.0,15.48
19000,149.01339721679688,1.0,15.48
19100,149.01339721679688,1.0,15.48
19200,149.01339721679688,1.0,15.48
19300,149.01339721679688,1.0,15.48
19400,149.01339721679688,1.0,15.48
19500,149.01339721679688,1.0,15.48
19600,149.01339721679688,1.0,15.48
19700,149.01339721679688,1.0,15.48
19800,149.01339721679688,1.0,15.48
19900,149.01339721679688,1.0,15.48
20000,149.01339721679688,1.0,15.48
20100,149.01339721679688,1.0,15.48
20200,149.01339721679688,1.0,15.48
20300,149.01339721679688,1.0,15.48
20400,149.01339721679688,1.0,15.48
20500,151.38247680664062,1.0,15.48
20600,151.38247680664062,1.0,15.48
20700,151.38247680664062,1.0,15.48
20800,151.38247680664062,1.0,15.48
20900,151.38247680664062,1.0,15.48
21000,151.38247680664062,1.0,15.48
21100,151.38247680664062,1.0,15.48
21200,151.38247680664062,1.0,15.48
21300,151.38247680664062,1.0,15.48
21400,151.38247680664062,1.0,15.48
21500,151.38247680664062,1.0,15.48
21600,151.38247680664062,1.0,15.48
21700,151.38247680664062,1.0,15.48
21800,151.38247680664062,1.0,15.48
21900,151.38247680664062,1.0,15.48
22000,151.38247680664062,1.0,15.48
22100,151.38247680664062,1.0,15.48
22200,151.38247680664062,1.0,15.48
22300,151.38247680664062,1.0,15.48
22400,151.38247680664062,1.0,15.48
22500,151.38247680664062,1.0,15.48
22600,151.38247680664062,1.0,15.48
22700,151.38247680664062,1.0,15.48
22800,151.38247680664062,1.0,15.48
22900,151.38247680664062,1.0,15.48
23000,151.38247680664062,1.0,15.48
23100,151.38247680664062,1.0,15.48
23200,152.91456604003906,1.0,15.48
23300,152.91456604003906,1.0,15.48
23400,152.91456604003906,1.0,15.48
23500,152.91456604003906,1.0,15.48
23600,152.91456604003906,1.0,15.48
23700,152.91456604003906,1.0,15.48
23800,152.91456604003906,1.0,15.48
23900,152.91456604003906,1.0,15.48
24000,152.91456604003906,1.0,15.48
24100,152.91456604003906,1.0,15.48
24200,152.91456604003906,1.0,15.48
24300,152.91456604003906,1.0,15.48
