evaluation,fitness,uniqueness,time
0,81.77960968017578,1.0,16.06
100,81.77960968017578,1.0,16.06
200,128.95240783691406,1.0,16.06
300,128.95240783691406,1.0,16.06
400,128.95240783691406,1.0,16.06
500,139.2738800048828,1.0,16.06
600,139.2738800048828,1.0,16.06
700,139.2738800048828,1.0,16.06
800,142.9232177734375,1.0,16.06
900,142.9232177734375,1.0,16.06
1000,142.9232177734375,1.0,16.06
1100,142.9232177734375,1.0,16.06
1200,153.77566528320312,1.0,16.06
1300,153.77566528320312,1.0,16.06
1400,153.77566528320312,1.0,16.06
1500,153.77566528320312,1.0,16.06
1600,153.77566528320312,1.0,16.06
1700,167.5795440673828,1.0,16.06
1800,167.5795440673828,1.0,16.06
1900,167.5795440673828,1.0,16.06
2000,167.5795440673828,1.0,16.06
2100,167.5795440673828,1.0,16.06
2200,167.5795440673828,1.0,16.06
2300,167.5795440673828,1.0,16.06
2400,167.5795440673828,1.0,16.06
2500,167.5795440673828,1.0,16.06
2600,167.5795440673828,1.0,16.06
2700,167.5795440673828,1.0,16.06
2800,167.5795440673828,1.0,16.06
2900,167.5795440673828,1.0,16.06
3000,167.5795440673828,1.0,16.06
3100,206.9401092529297,1.0,16.06
3200,212.19691467285156,1.0,16.06
3300,213.43885803222656,1.0,16.06
3400,218.52073669433594,1.0,16.06
3500,218.52073669433594,1.0,16.06
3600,218.52073669433594,1.0,16.06
3700,218.52073669433594,1.0,16.06
3800,218.52073669433594,1.0,16.06
3900,220.2769012451172,1.0,16.06
4000,220.2769012451172,1.0,16.06
4100,220.2769012451172,1.0,16.06
4200,220.2769012451172,1.0,16.06
4300,220.2769012451172,1.0,16.06
4400,220.2769012451172,1.0,16.06
4500,220.2769012451172,1.0,16.06
4600,220.2769012451172,1.0,16.06
4700,220.2769012451172,1.0,16.06
4800,220.2769012451172,1.0,16.06
4900,220.2769012451172,1.0,16.06
5000,220.2769012451172,1.0,16.06
5100,220.2769012451172,1.0,16.06
5200,220.2769012451172,1.0,16.06
5300,220.2769012451172,1.0,16.06
5400,220.2769012451172,1.0,16.06
5500,220.2769012451172,1.0,16.06
5600,220.2769012451172,1.0,16.06
5700,220.2769012451172,1.0,16.06
5800,220.2769012451172,1.0,16.06
5900,220.2769012451172,1.0,16.06
6000,220.2769012451172,1.0,16.06
6100,220.2769012451172,1.0,16.06
6200,220.2769012451172,1.0,16.06
6300,220.2769012451172,1.0,16.06
6400,220.2769012451172,1.0,16.06
6500,220.2769012451172,1.0,16.06
6600,220.2769012451172,1.0,16.06
6700,220.2769012451172,1.0,16.06
6800,220.2769012451172,1.0,16.06
6900,220.2769012451172,1.0,16.06
7000,220.2769012451172,1.0,16.06
7100,220.2769012451172,1.0,16.06
7200,220.2769012451172,1.0,16.06
7300,220.2769012451172,1.0,16.06
7400,220.2769012451172,1.0,16.06
7500,220.2769012451172,1.0,16.06
7600,220.2769012451172,1.0,16.06
7700,220.2769012451172,1.0,16.06
7800,220.2769012451172,1.0,16.06
7900,220.2769012451172,1.0,16.06
8000,220.2769012451172,1.0,16.06
8100,220.2769012451172,1.0,16.06
8200,220.2769012451172,1.0,16.06
8300,220.2769012451172,1.0,16.06
8400,220.2769012451172,1.0,16.06
8500,220.2769012451172,1.0,16.06
8600,220.2769012451172,1.0,16.06
8700,220.2769012451172,1.0,16.06
8800,220.2769012451172,1.0,16.06
8900,220.2769012451172,1.0,16.06
9000,220.2769012451172,1.0,16.06
9100,220.2769012451172,1.0,16.06
9200,220.2769012451172,1.0,16.06
9300,220.2769012451172,1.0,16.06
9400,220.2769012451172,1.0,16.06
9500,220.2769012451172,1.0,16.06
9600,220.2769012451172,1.0,16.06
9700,220.2769012451172,1.0,16.06
9800,220.83897399902344,1.0,16.06
9900,220.83897399902344,1.0,16.06
10000,220.83897399902344,1.0,16.06
10100,220.83897399902344,1.0,16.06
10200,225.87782287597656,1.0,16.06
10300,225.87782287597656,1.0,16.06
10400,225.87782287597656,1.0,16.06
10500,225.87782287597656,1.0,16.06
10600,227.33798217773438,1.0,16.06
10700,227.33798217773438,1.0,16.06
10800,227.33798217773438,1.0,16.06
10900,227.33798217773438,1.0,16.06
11000,227.33798217773438,1.0,16.06
11100,227.33798217773438,1.0,16.06
11200,227.33798217773438,1.0,16.06
11300,227.33798217773438,1.0,16.06
11400,227.33798217773438,1.0,16.06
11500,227.33798217773438,1.0,16.06
11600,227.33798217773438,1.0,16.06
11700,227.33798217773438,1.0,16.06
11800,227.33798217773438,1.0,16.06
11900,227.33798217773438,1.0,16.06
12000,227.33798217773438,1.0,16.06
12100,227.33798217773438,1.0,16.06
12200,227.33798217773438,1.0,16.06
12300,227.33798217773438,1.0,16.06
12400,227.33798217773438,1.0,16.06
12500,227.33798217773438,1.0,16.06
12600,227.33798217773438,1.0,16.06
12700,227.33798217773438,1.0,16.06
12800,227.33798217773438,1.0,16.06
12900,227.33798217773438,1.0,16.06
13000,227.33798217773438,1.0,16.06
13100,227.33798217773438,1.0,16.06
13200,227.33798217773438,1.0,16.06
13300,227.33798217773438,1.0,16.06
13400,227.33798217773438,1.0,16.06
13500,227.33798217773438,1.0,16.06
13600,227.33798217773438,1.0,16.06
13700,227.33798217773438,1.0,16.06
13800,228.6306610107422,1.0,16.06
13900,228.6306610107422,1.0,16.06
14000,228.6306610107422,1.0,16.06
14100,228.6306610107422,1.0,16.06
14200,228.6306610107422,1.0,16.06
14300,228.6306610107422,1.0,16.06
14400,228.6306610107422,1.0,16.06
14500,228.6306610107422,1.0,16.06
14600,237.1590118408203,1.0,16.06
14700,237.1590118408203,1.0,16.06
14800,237.1590118408203,1.0,16.06
14900,237.1590118408203,1.0,16.06
15000,237.1590118408203,1.0,16.06
15100,237.1590118408203,1.0,16.06
15200,237.1590118408203,1.0,16.06
15300,237.1590118408203,1.0,16.06
15400,237.1590118408203,1.0,16.06
15500,238.83982849121094,1.0,16.06
15600,238.83982849121094,1.0,16.06
15700,238.83982849121094,1.0,16.06
15800,238.83982849121094,1.0,16.06
15900,238.83982849121094,1.0,16.06
16000,238.83982849121094,1.0,16.06
16100,238.83982849121094,1.0,16.06
16200,238.83982849121094,1.0,16.06
16300,238.83982849121094,1.0,16.06
16400,238.83982849121094,1.0,16.06
16500,238.83982849121094,1.0,16.06
16600,238.83982849121094,1.0,16.06
16700,238.83982849121094,1.0,16.06
16800,238.83982849121094,1.0,16.06
16900,238.83982849121094,1.0,16.06
17000,238.83982849121094,1.0,16.06
17100,238.83982849121094,1.0,16.06
17200,238.83982849121094,1.0,16.06
17300,238.83982849121094,1.0,16.06
17400,238.83982849121094,1.0,16.06
17500,238.83982849121094,1.0,16.06
17600,238.83982849121094,1.0,16.06
17700,238.83982849121094,1.0,16.06
17800,238.83982849121094,1.0,16.06
17900,238.83982849121094,1.0,16.06
18000,238.83982849121094,1.0,16.06
18100,238.83982849121094,1.0,16.06
18200,238.83982849121094,1.0,16.06
18300,238.90110778808594,1.0,16.06
18400,238.90110778808594,1.0,16.06
18500,238.90110778808594,1.0,16.06
18600,238.90110778808594,1.0,16.06
18700,238.90110778808594,1.0,16.06
