evaluation,fitness,uniqueness,time
0,808.5408935546875,1.0,107.25
1000,836.7924194335938,1.0,107.25
2000,836.7924194335938,1.0,107.25
3000,836.7924194335938,1.0,107.25
4000,842.0037231445312,1.0,107.25
5000,842.0037231445312,1.0,107.25
6000,842.0037231445312,1.0,107.25
7000,859.7616577148438,1.0,107.25
8000,859.7616577148438,1.0,107.25
9000,859.7616577148438,1.0,107.25
10000,918.748046875,1.0,107.25
11000,918.748046875,1.0,107.25
12000,918.748046875,1.0,107.25
13000,918.9401245117188,1.0,107.25
14000,918.9401245117188,1.0,107.25
15000,918.9401245117188,1.0,107.25
16000,1094.4801025390625,1.0,107.25
17000,1094.4801025390625,1.0,107.25
18000,1094.4801025390625,1.0,107.25
19000,1094.4801025390625,1.0,107.25
20000,1094.4801025390625,1.0,107.25
21000,1094.4801025390625,1.0,107.25
22000,1094.4801025390625,1.0,107.25
23000,1094.4801025390625,1.0,107.25
24000,1094.4801025390625,1.0,107.25
25000,1094.4801025390625,1.0,107.25
26000,1094.4801025390625,1.0,107.25
27000,1094.4801025390625,1.0,107.25
28000,1094.4801025390625,1.0,107.25
29000,1104.990478515625,1.0,107.25
30000,1104.990478515625,1.0,107.25
31000,1104.990478515625,1.0,107.25
32000,1104.990478515625,1.0,107.25
33000,1104.990478515625,1.0,107.25
34000,1104.990478515625,1.0,107.25
35000,1104.990478515625,1.0,107.25
36000,1104.990478515625,1.0,107.25
37000,1104.990478515625,1.0,107.25
38000,1104.990478515625,1.0,107.25
39000,1104.990478515625,1.0,107.25
40000,1104.990478515625,1.0,107.25
41000,1104.990478515625,1.0,107.25
42000,1104.990478515625,1.0,107.25
43000,1104.990478515625,1.0,107.25
44000,1104.990478515625,1.0,107.25
45000,1104.990478515625,1.0,107.25
46000,1104.990478515625,1.0,107.25
47000,1104.990478515625,1.0,107.25
48000,1104.990478515625,1.0,107.25
49000,1104.990478515625,1.0,107.25
50000,1104.990478515625,1.0,107.25
51000,1104.990478515625,1.0,107.25
52000,1104.990478515625,1.0,107.25
53000,1104.990478515625,1.0,107.25
54000,1104.990478515625,1.0,107.25
55000,1104.990478515625,1.0,107.25
56000,1104.990478515625,1.0,107.25
57000,1104.990478515625,1.0,107.25
58000,1104.990478515625,1.0,107.25
59000,1104.990478515625,1.0,107.25
60000,1222.6610107421875,1.0,107.25
61000,1222.6610107421875,1.0,107.25
62000,1222.6610107421875,1.0,107.25
63000,1222.6610107421875,1.0,107.25
64000,1222.6610107421875,1.0,107.25
65000,1222.6610107421875,1.0,107.25
66000,1222.6610107421875,1.0,107.25
67000,1222.6610107421875,1.0,107.25
68000,1222.6610107421875,1.0,107.25
69000,1222.6610107421875,1.0,107.25
70000,1222.6610107421875,1.0,107.25
71000,1222.6610107421875,1.0,107.25
72000,1222.6610107421875,1.0,107.25
73000,1222.6610107421875,1.0,107.25
74000,1222.6610107421875,1.0,107.25
75000,1222.6610107421875,1.0,107.25
76000,1222.6610107421875,1.0,107.25
77000,1222.6610107421875,1.0,107.25
78000,1222.6610107421875,1.0,107.25
79000,1222.6610107421875,1.0,107.25
80000,1222.6610107421875,1.0,107.25
81000,1222.6610107421875,1.0,107.25
82000,1222.6610107421875,1.0,107.25
83000,1222.6610107421875,1.0,107.25
84000,1222.6610107421875,1.0,107.25
85000,1222.6610107421875,1.0,107.25
86000,1222.6610107421875,1.0,107.25
87000,1222.6610107421875,1.0,107.25
88000,1222.6610107421875,1.0,107.25
89000,1222.6610107421875,1.0,107.25
90000,1222.6610107421875,1.0,107.25
91000,1222.6610107421875,1.0,107.25
92000,1222.6610107421875,1.0,107.25
93000,1222.6610107421875,1.0,107.25
94000,1222.6610107421875,1.0,107.25
95000,1222.6610107421875,1.0,107.25
96000,1222.6610107421875,1.0,107.25
97000,1222.6610107421875,1.0,107.25
98000,1222.6610107421875,1.0,107.25
99000,1222.6610107421875,1.0,107.25
100000,1222.6610107421875,1.0,107.25
101000,1222.6610107421875,1.0,107.25
102000,1222.6610107421875,1.0,107.25
103000,1222.6610107421875,1.0,107.25
104000,1222.6610107421875,1.0,107.25
105000,1222.6610107421875,1.0,107.25
106000,1222.6610107421875,1.0,107.25
107000,1222.6610107421875,1.0,107.25
108000,1222.6610107421875,1.0,107.25
109000,1222.6610107421875,1.0,107.25
110000,1222.6610107421875,1.0,107.25
111000,1222.6610107421875,1.0,107.25
112000,1222.6610107421875,1.0,107.25
113000,1222.6610107421875,1.0,107.25
114000,1222.6610107421875,1.0,107.25
115000,1222.6610107421875,1.0,107.25
116000,1222.6610107421875,1.0,107.25
117000,1222.6610107421875,1.0,107.25
118000,1222.6610107421875,1.0,107.25
119000,1222.6610107421875,1.0,107.25
120000,1222.6610107421875,1.0,107.25
121000,1222.6610107421875,1.0,107.25
122000,1222.6610107421875,1.0,107.25
123000,1222.6610107421875,1.0,107.25
124000,1222.6610107421875,1.0,107.25
125000,1222.6610107421875,1.0,107.25
126000,1222.6610107421875,1.0,107.25
127000,1222.6610107421875,1.0,107.25
128000,1222.6610107421875,1.0,107.25
129000,1222.6610107421875,1.0,107.25
130000,1222.6610107421875,1.0,107.25
131000,1222.6610107421875,1.0,107.25
132000,1222.6610107421875,1.0,107.25
133000,1222.6610107421875,1.0,107.25
134000,1222.6610107421875,1.0,107.25
135000,1222.6610107421875,1.0,107.25
136000,1222.6610107421875,1.0,107.25
137000,1222.6610107421875,1.0,107.25
138000,1222.6610107421875,1.0,107.25
139000,1222.6610107421875,1.0,107.25
140000,1222.6610107421875,1.0,107.25
141000,1222.6610107421875,1.0,107.25
142000,1222.6610107421875,1.0,107.25
143000,1222.6610107421875,1.0,107.25
144000,1222.6610107421875,1.0,107.25
145000,1222.6610107421875,1.0,107.25
146000,1222.6610107421875,1.0,107.25
147000,1222.6610107421875,1.0,107.25
148000,1222.6610107421875,1.0,107.25
149000,1222.6610107421875,1.0,107.25
150000,1222.6610107421875,1.0,107.25
151000,1222.6610107421875,1.0,107.25
152000,1222.6610107421875,1.0,107.25
153000,1222.6610107421875,1.0,107.25
154000,1222.6610107421875,1.0,107.25
155000,1222.6610107421875,1.0,107.25
156000,1222.6610107421875,1.0,107.25
157000,1222.6610107421875,1.0,107.25
158000,1222.6610107421875,1.0,107.25
159000,1222.6610107421875,1.0,107.25
160000,1222.6610107421875,1.0,107.25
161000,1222.6610107421875,1.0,107.25
162000,1222.6610107421875,1.0,107.25
163000,1222.6610107421875,1.0,107.25
164000,1222.6610107421875,1.0,107.25
165000,1222.6610107421875,1.0,107.25
166000,1222.6610107421875,1.0,107.25
167000,1222.6610107421875,1.0,107.25
168000,1222.6610107421875,1.0,107.25
169000,1222.6610107421875,1.0,107.25
170000,1222.6610107421875,1.0,107.25
171000,1222.6610107421875,1.0,107.25
172000,1222.6610107421875,1.0,107.25
173000,1222.6610107421875,1.0,107.25
174000,1222.6610107421875,1.0,107.25
175000,1222.6610107421875,1.0,107.25
176000,1222.6610107421875,1.0,107.25
177000,1222.6610107421875,1.0,107.25
178000,1222.6610107421875,1.0,107.25
179000,1222.6610107421875,1.0,107.25
180000,1222.6610107421875,1.0,107.25
181000,1222.6610107421875,1.0,107.25
182000,1222.6610107421875,1.0,107.25
183000,1222.6610107421875,1.0,107.25
184000,1222.6610107421875,1.0,107.25
185000,1222.6610107421875,1.0,107.25
186000,1222.6610107421875,1.0,107.25
187000,1222.6610107421875,1.0,107.25
188000,1222.6610107421875,1.0,107.25
189000,1250.472412109375,1.0,107.25
190000,1250.472412109375,1.0,107.25
191000,1250.472412109375,1.0,107.25
192000,1250.472412109375,1.0,107.25
193000,1250.472412109375,1.0,107.25
194000,1250.472412109375,1.0,107.25
195000,1250.472412109375,1.0,107.25
196000,1250.472412109375,1.0,107.25
197000,1250.472412109375,1.0,107.25
