evaluation,fitness,uniqueness,time
0,-127.10115051269531,1.0,4.71
100,-127.10115051269531,1.0,4.71
200,-127.10115051269531,1.0,4.71
300,-127.10115051269531,1.0,4.71
400,-127.10115051269531,1.0,4.71
500,-127.10115051269531,1.0,4.71
600,-127.10115051269531,1.0,4.71
700,-127.10115051269531,1.0,4.71
800,-120.21524047851562,1.0,4.71
900,-120.21524047851562,1.0,4.71
1000,-120.21524047851562,1.0,4.71
1100,-120.21524047851562,1.0,4.71
1200,-120.21524047851562,1.0,4.71
1300,-120.21524047851562,1.0,4.71
1400,-120.21524047851562,1.0,4.71
1500,-120.21524047851562,1.0,4.71
1600,-120.21524047851562,1.0,4.71
1700,-120.21524047851562,1.0,4.71
1800,-120.21524047851562,1.0,4.71
1900,-120.21524047851562,1.0,4.71
2000,-120.21524047851562,1.0,4.71
2100,-111.84370422363281,1.0,4.71
2200,-111.84370422363281,1.0,4.71
2300,-111.84370422363281,1.0,4.71
2400,-111.84370422363281,1.0,4.71
2500,-111.84370422363281,1.0,4.71
2600,-111.84370422363281,1.0,4.71
2700,-111.84370422363281,1.0,4.71
2800,-111.84370422363281,1.0,4.71
2900,-111.84370422363281,1.0,4.71
3000,-111.84370422363281,1.0,4.71
3100,-111.84370422363281,1.0,4.71
3200,-111.84370422363281,1.0,4.71
3300,-111.84370422363281,1.0,4.71
3400,-111.84370422363281,1.0,4.71
3500,-111.84370422363281,1.0,4.71
3600,-111.84370422363281,1.0,4.71
3700,-111.84370422363281,1.0,4.71
3800,-111.84370422363281,1.0,4.71
3900,-82.37742614746094,1.0,4.71
4000,-82.37742614746094,1.0,4.71
4100,-82.37742614746094,1.0,4.71
4200,-82.37742614746094,1.0,4.71
4300,-82.37742614746094,1.0,4.71
4400,-82.37742614746094,1.0,4.71
4500,-82.37742614746094,1.0,4.71
4600,-82.37742614746094,1.0,4.71
4700,-82.37742614746094,1.0,4.71
4800,-82.37742614746094,1.0,4.71
4900,-82.37742614746094,1.0,4.71
5000,-82.37742614746094,1.0,4.71
5100,-82.37742614746094,1.0,4.71
5200,-82.37742614746094,1.0,4.71
5300,-82.37742614746094,1.0,4.71
5400,-82.37742614746094,1.0,4.71
5500,-82.37742614746094,1.0,4.71
5600,-82.37742614746094,1.0,4.71
5700,-82.37742614746094,1.0,4.71
5800,-82.37742614746094,1.0,4.71
5900,-82.37742614746094,1.0,4.71
6000,-82.37742614746094,1.0,4.71
6100,-82.37742614746094,1.0,4.71
6200,-82.37742614746094,1.0,4.71
6300,-82.37742614746094,1.0,4.71
6400,-82.37742614746094,1.0,4.71
6500,-82.37742614746094,1.0,4.71
6600,-82.37742614746094,1.0,4.71
6700,-82.37742614746094,1.0,4.71
6800,-82.37742614746094,1.0,4.71
6900,-82.37742614746094,1.0,4.71
7000,-82.37742614746094,1.0,4.71
7100,-82.37742614746094,1.0,4.71
7200,-82.37742614746094,1.0,4.71
7300,-82.37742614746094,1.0,4.71
7400,-59.797725677490234,1.0,4.71
7500,-59.797725677490234,1.0,4.71
7600,-59.797725677490234,1.0,4.71
7700,-59.797725677490234,1.0,4.71
7800,-59.797725677490234,1.0,4.71
7900,-59.797725677490234,1.0,4.71
8000,-59.797725677490234,1.0,4.71
8100,-59.797725677490234,1.0,4.71
8200,-59.797725677490234,1.0,4.71
8300,-59.797725677490234,1.0,4.71
8400,-59.797725677490234,1.0,4.71
8500,-59.797725677490234,1.0,4.71
8600,-59.797725677490234,1.0,4.71
8700,-59.797725677490234,1.0,4.71
8800,-59.797725677490234,1.0,4.71
8900,-59.797725677490234,1.0,4.71
9000,-59.797725677490234,1.0,4.71
9100,-59.797725677490234,1.0,4.71
9200,-51.655208587646484,1.0,4.71
9300,-51.655208587646484,1.0,4.71
9400,-51.655208587646484,1.0,4.71
9500,-51.655208587646484,1.0,4.71
9600,-51.655208587646484,1.0,4.71
9700,-51.655208587646484,1.0,4.71
9800,-51.655208587646484,1.0,4.71
9900,-51.655208587646484,1.0,4.71
10000,-51.655208587646484,1.0,4.71
10100,-51.655208587646484,1.0,4.71
10200,-51.655208587646484,1.0,4.71
10300,-51.655208587646484,1.0,4.71
10400,-51.655208587646484,1.0,4.71
10500,-51.655208587646484,1.0,4.71
10600,-51.655208587646484,1.0,4.71
10700,-51.655208587646484,1.0,4.71
10800,-49.634559631347656,1.0,4.71
10900,-49.634559631347656,1.0,4.71
11000,-49.634559631347656,1.0,4.71
11100,-49.634559631347656,1.0,4.71
11200,-49.634559631347656,1.0,4.71
11300,-49.634559631347656,1.0,4.71
11400,-49.634559631347656,1.0,4.71
11500,-49.634559631347656,1.0,4.71
11600,-49.634559631347656,1.0,4.71
11700,-49.634559631347656,1.0,4.71
11800,-49.634559631347656,1.0,4.71
11900,-49.634559631347656,1.0,4.71
12000,-49.634559631347656,1.0,4.71
12100,-49.634559631347656,1.0,4.71
12200,-49.634559631347656,1.0,4.71
12300,-49.634559631347656,1.0,4.71
12400,-49.634559631347656,1.0,4.71
12500,-49.634559631347656,1.0,4.71
12600,-49.634559631347656,1.0,4.71
12700,-49.634559631347656,1.0,4.71
12800,-49.634559631347656,1.0,4.71
12900,-49.634559631347656,1.0,4.71
13000,-49.634559631347656,1.0,4.71
13100,-49.634559631347656,1.0,4.71
13200,-49.634559631347656,1.0,4.71
13300,-49.634559631347656,1.0,4.71
13400,-49.634559631347656,1.0,4.71
13500,-49.634559631347656,1.0,4.71
13600,-49.634559631347656,1.0,4.71
13700,-49.634559631347656,1.0,4.71
13800,-49.634559631347656,1.0,4.71
13900,-49.634559631347656,1.0,4.71
14000,-49.634559631347656,1.0,4.71
14100,-49.634559631347656,1.0,4.71
14200,-49.634559631347656,1.0,4.71
14300,-49.634559631347656,1.0,4.71
14400,-49.634559631347656,1.0,4.71
14500,-49.634559631347656,1.0,4.71
14600,-49.634559631347656,1.0,4.71
14700,-49.634559631347656,1.0,4.71
14800,-49.634559631347656,1.0,4.71
14900,-49.634559631347656,1.0,4.71
15000,-49.634559631347656,1.0,4.71
15100,-49.634559631347656,1.0,4.71
15200,-49.634559631347656,1.0,4.71
15300,-49.634559631347656,1.0,4.71
15400,-49.634559631347656,1.0,4.71
15500,-49.634559631347656,1.0,4.71
15600,-49.634559631347656,1.0,4.71
15700,-49.634559631347656,1.0,4.71
15800,-49.634559631347656,1.0,4.71
15900,-49.634559631347656,1.0,4.71
16000,-49.634559631347656,1.0,4.71
16100,-49.634559631347656,1.0,4.71
16200,-49.634559631347656,1.0,4.71
16300,-49.634559631347656,1.0,4.71
16400,-49.634559631347656,1.0,4.71
16500,-49.634559631347656,1.0,4.71
16600,-49.634559631347656,1.0,4.71
16700,-49.634559631347656,1.0,4.71
16800,-49.634559631347656,1.0,4.71
16900,-49.634559631347656,1.0,4.71
17000,-49.634559631347656,1.0,4.71
17100,-49.634559631347656,1.0,4.71
17200,-49.634559631347656,1.0,4.71
17300,-49.634559631347656,1.0,4.71
17400,-49.634559631347656,1.0,4.71
17500,-49.634559631347656,1.0,4.71
17600,-49.634559631347656,1.0,4.71
17700,-49.634559631347656,1.0,4.71
17800,-49.634559631347656,1.0,4.71
17900,-49.634559631347656,1.0,4.71
18000,-49.634559631347656,1.0,4.71
18100,-49.634559631347656,1.0,4.71
18200,-49.634559631347656,1.0,4.71
18300,-49.634559631347656,1.0,4.71
18400,-49.634559631347656,1.0,4.71
18500,-49.634559631347656,1.0,4.71
18600,-49.634559631347656,1.0,4.71
18700,-49.634559631347656,1.0,4.71
18800,-49.634559631347656,1.0,4.71
18900,-49.634559631347656,1.0,4.71
19000,-49.634559631347656,1.0,4.71
19100,-49.634559631347656,1.0,4.71
19200,-49.634559631347656,1.0,4.71
19300,-49.634559631347656,1.0,4.71
19400,-49.634559631347656,1.0,4.71
19500,-49.634559631347656,1.0,4.71
19600,-49.634559631347656,1.0,4.71
19700,-49.634559631347656,1.0,4.71
19800,-49.634559631347656,1.0,4.71
19900,-49.634559631347656,1.0,4.71
20000,-49.634559631347656,1.0,4.71
20100,-49.634559631347656,1.0,4.71
20200,-49.634559631347656,1.0,4.71
20300,-49.634559631347656,1.0,4.71
20400,-49.634559631347656,1.0,4.71
20500,-49.634559631347656,1.0,4.71
20600,-49.634559631347656,1.0,4.71
20700,-49.634559631347656,1.0,4.71
20800,-49.634559631347656,1.0,4.71
20900,-49.634559631347656,1.0,4.71
21000,-47.206260681152344,1.0,4.71
21100,-47.206260681152344,1.0,4.71
21200,-47.206260681152344,1.0,4.71
21300,-47.206260681152344,1.0,4.71
21400,-47.206260681152344,1.0,4.71
21500,-47.206260681152344,1.0,4.71
21600,-47.206260681152344,1.0,4.71
21700,-47.206260681152344,1.0,4.71
21800,-47.206260681152344,1.0,4.71
21900,-44.54165267944336,1.0,4.71
22000,-44.54165267944336,1.0,4.71
22100,-44.54165267944336,1.0,4.71
22200,-44.54165267944336,1.0,4.71
22300,-44.54165267944336,1.0,4.71
22400,-44.54165267944336,1.0,4.71
22500,-44.54165267944336,1.0,4.71
22600,-44.54165267944336,1.0,4.71
22700,-44.54165267944336,1.0,4.71
22800,-44.54165267944336,1.0,4.71
