evaluation,fitness,time
100,774.6738891601562,36.03
200,719.8114624023438,10.45
300,875.5743408203125,10.49
400,828.6201782226562,10.58
500,871.1727294921875,10.45
600,900.2098388671875,10.42
700,928.0792236328125,10.49
800,871.4475708007812,10.53
900,917.6027221679688,10.38
1000,909.7922973632812,10.46
1100,824.17919921875,10.45
1200,880.7899169921875,10.40
1300,859.176513671875,10.36
1400,843.1072387695312,10.44
1500,900.2734375,10.40
1600,823.711181640625,10.28
1700,881.4712524414062,10.32
1800,870.0960083007812,10.30
1900,862.258544921875,10.39
2000,815.0540161132812,10.37
2100,898.4170532226562,10.47
2200,857.389404296875,10.46
2300,876.6749267578125,10.62
2400,871.8467407226562,10.58
2500,842.6674194335938,10.60
2600,824.0712890625,10.64
2700,804.8096313476562,10.60
2800,859.3683471679688,10.55
2900,868.027099609375,10.58
3000,888.2960815429688,10.61
3100,831.8685302734375,10.64
3200,887.0862426757812,10.61
3300,842.9051513671875,10.65
3400,847.046630859375,10.56
3500,852.690185546875,10.63
3600,840.357666015625,10.58
3700,871.7293090820312,10.65
3800,828.3526000976562,10.57
3900,876.931396484375,10.57
4000,886.944580078125,10.56
4100,865.9444580078125,10.58
4200,889.3135986328125,10.60
4300,850.300048828125,10.60
4400,852.9505615234375,10.61
4500,900.175537109375,10.58
4600,861.8587646484375,10.61
4700,833.0514526367188,10.63
4800,785.8609008789062,10.61
4900,852.3645629882812,10.61
5000,878.1322021484375,10.60
5100,823.9420776367188,10.61
5200,861.512939453125,10.61
5300,794.3148803710938,10.61
5400,852.882568359375,10.58
5500,871.4740600585938,10.55
5600,868.8020629882812,10.60
5700,838.4420776367188,10.60
5800,918.6048583984375,10.61
5900,831.9097290039062,10.61
6000,836.8385009765625,10.61
6100,850.8090209960938,10.61
6200,850.267822265625,10.60
6300,861.4969482421875,10.63
6400,830.814697265625,10.57
6500,852.4799194335938,10.60
6600,869.115966796875,10.56
6700,790.249755859375,10.64
6800,875.3761596679688,10.61
6900,852.5244750976562,10.59
7000,904.71240234375,10.64
7100,814.3710327148438,10.56
7200,843.3863525390625,10.58
7300,933.03564453125,10.55
7400,843.3211059570312,10.58
7500,861.8466796875,10.61
7600,876.665283203125,10.57
7700,843.5214233398438,10.59
7800,843.1234741210938,10.61
7900,814.56884765625,10.58
