evaluation,fitness,time
0,3410.026611328125,140.85
0,3410.026611328125,88.79
100,3410.026611328125,88.79
200,3728.3203125,88.79
300,5135.26318359375,88.79
400,5135.26318359375,88.79
500,5135.26318359375,88.79
600,5135.26318359375,88.79
700,5135.26318359375,88.79
800,5227.18603515625,88.79
900,5342.20751953125,88.79
1000,5342.20751953125,88.79
1100,5342.20751953125,88.79
1200,5342.20751953125,88.79
1300,5342.20751953125,88.79
1400,5342.20751953125,88.79
1500,5342.20751953125,88.79
1600,5342.20751953125,88.79
1700,5342.20751953125,88.79
1800,5342.20751953125,88.79
1900,5342.20751953125,88.79
2000,5342.20751953125,88.79
2100,5342.20751953125,88.79
2200,5342.20751953125,88.79
2300,5342.20751953125,88.79
2400,5342.20751953125,88.79
2500,5342.20751953125,88.79
2600,5342.20751953125,88.79
2700,5342.20751953125,88.79
2800,5342.20751953125,88.79
2900,5342.20751953125,88.79
3000,5342.20751953125,88.79
3100,5342.20751953125,88.79
3200,5342.20751953125,88.79
3300,5342.20751953125,88.79
3400,5342.20751953125,88.79
3500,5342.20751953125,88.79
3600,5342.20751953125,88.79
3700,5342.20751953125,88.79
3800,5342.20751953125,88.79
3900,5342.20751953125,88.79
4000,5342.20751953125,88.79
4100,5342.20751953125,88.79
4200,5342.20751953125,88.79
4300,5342.20751953125,88.79
4400,5342.20751953125,88.79
4500,5342.20751953125,88.79
4600,5342.20751953125,88.79
4700,5342.20751953125,88.79
4800,5342.20751953125,88.79
4900,5342.20751953125,88.79
5000,5342.20751953125,88.79
5100,5342.20751953125,88.79
5200,5342.20751953125,88.79
5300,5342.20751953125,88.79
5400,5342.20751953125,88.79
5500,5342.20751953125,88.79
5600,5342.20751953125,88.79
5700,5342.20751953125,88.79
5800,5342.20751953125,88.79
5900,5342.20751953125,88.79
6000,5342.20751953125,88.79
6100,5342.20751953125,88.79
6200,5342.20751953125,88.79
6300,5342.20751953125,88.79
6400,5342.20751953125,88.79
6500,5342.20751953125,88.79
6600,5342.20751953125,88.79
6700,5342.20751953125,88.79
6800,5342.20751953125,88.79
6900,5342.20751953125,88.79
7000,5342.20751953125,88.79
7100,5342.20751953125,88.79
7200,5342.20751953125,88.79
7300,5450.35107421875,88.79
7400,5450.35107421875,88.79
7500,5450.35107421875,88.79
7600,5450.35107421875,88.79
7700,5553.11474609375,88.79
7800,5553.11474609375,88.79
7900,5553.11474609375,88.79
8000,5553.11474609375,88.79
8100,5553.11474609375,88.79
8200,5553.11474609375,88.79
8300,5807.3662109375,88.79
8400,5807.3662109375,88.79
8500,5807.3662109375,88.79
8600,5807.3662109375,88.79
8700,5807.3662109375,88.79
8800,5807.3662109375,88.79
8900,5807.3662109375,88.79
9000,5807.3662109375,88.79
9100,5807.3662109375,88.79
9200,5807.3662109375,88.79
9300,5807.3662109375,88.79
9400,5807.3662109375,88.79
9500,5807.3662109375,88.79
9600,5807.3662109375,88.79
9700,6535.01318359375,88.79
9800,6740.31494140625,88.79
9900,6814.80908203125,88.79
10000,6814.80908203125,88.79
10100,6814.80908203125,88.79
10200,6814.80908203125,88.79
10300,6814.80908203125,88.79
10400,6814.80908203125,88.79
10500,6814.80908203125,88.79
10600,6814.80908203125,88.79
10700,6814.80908203125,88.79
10800,6814.80908203125,88.79
