evaluation,fitness,time
0,3410.026611328125,138.05
0,3410.026611328125,88.28
100,4591.2216796875,88.28
200,4591.2216796875,88.28
300,4591.2216796875,88.28
400,4591.2216796875,88.28
500,4591.2216796875,88.28
600,4591.2216796875,88.28
700,5199.5947265625,88.28
800,5199.5947265625,88.28
900,5199.5947265625,88.28
1000,5199.5947265625,88.28
1100,5199.5947265625,88.28
1200,5199.5947265625,88.28
1300,5199.5947265625,88.28
1400,5199.5947265625,88.28
1500,5199.5947265625,88.28
1600,5199.5947265625,88.28
1700,5199.5947265625,88.28
1800,5225.86181640625,88.28
1900,5225.86181640625,88.28
2000,5225.86181640625,88.28
2100,5225.86181640625,88.28
2200,5225.86181640625,88.28
2300,5225.86181640625,88.28
2400,5253.86572265625,88.28
2500,5253.86572265625,88.28
2600,5310.55859375,88.28
2700,5310.55859375,88.28
2800,5310.55859375,88.28
2900,5310.55859375,88.28
3000,5310.55859375,88.28
3100,5310.55859375,88.28
3200,5310.55859375,88.28
3300,5310.55859375,88.28
3400,5310.55859375,88.28
3500,5310.55859375,88.28
3600,5434.0078125,88.28
3700,5434.0078125,88.28
3800,5434.0078125,88.28
3900,5434.0078125,88.28
4000,5434.0078125,88.28
4100,5434.0078125,88.28
4200,5434.0078125,88.28
4300,5434.0078125,88.28
4400,5434.0078125,88.28
4500,5434.0078125,88.28
4600,5434.0078125,88.28
4700,5434.0078125,88.28
4800,5434.0078125,88.28
4900,5530.15185546875,88.28
5000,5530.15185546875,88.28
5100,5530.15185546875,88.28
5200,5530.15185546875,88.28
5300,5530.15185546875,88.28
5400,5530.15185546875,88.28
5500,5530.15185546875,88.28
5618,5530.15185546875,88.22
5718,5530.15185546875,88.22
5818,5530.15185546875,88.22
5918,5530.15185546875,88.22
6018,5530.15185546875,88.22
6118,5530.15185546875,88.22
6218,5530.15185546875,88.22
6318,5530.15185546875,88.22
6418,5530.15185546875,88.22
6518,5530.15185546875,88.22
6618,5530.15185546875,88.22
6718,5530.15185546875,88.22
6818,5530.15185546875,88.22
6918,5530.15185546875,88.22
7018,5530.15185546875,88.22
