evaluation,fitness,uniqueness,time
0,691.224609375,0.99,11.82
100,860.8091430664062,0.99,11.82
200,965.5670166015625,0.99,11.82
300,965.5670166015625,1.0,11.82
400,965.5670166015625,1.0,11.82
500,965.5670166015625,1.0,11.82
600,965.5670166015625,1.0,11.82
700,965.5670166015625,1.0,11.82
800,965.5670166015625,1.0,11.82
900,965.5670166015625,1.0,11.82
1000,965.5670166015625,1.0,11.82
1100,965.5670166015625,1.0,11.82
1200,965.5670166015625,1.0,11.82
1300,965.5670166015625,1.0,11.82
1400,965.5670166015625,1.0,11.82
1500,965.5670166015625,1.0,11.82
1600,965.5670166015625,1.0,11.82
1700,965.5670166015625,1.0,11.82
1800,965.5670166015625,1.0,11.82
1900,965.5670166015625,1.0,11.82
2000,965.5670166015625,1.0,11.82
2100,983.9758911132812,1.0,11.82
2200,983.9758911132812,1.0,11.82
2300,983.9758911132812,1.0,11.82
2400,983.9758911132812,1.0,11.82
2500,983.9758911132812,1.0,11.82
2600,983.9758911132812,1.0,11.82
2700,983.9758911132812,1.0,11.82
2800,983.9758911132812,1.0,11.82
2900,983.9758911132812,1.0,11.82
3000,983.9758911132812,1.0,11.82
3100,983.9758911132812,1.0,11.82
3200,994.7189331054688,1.0,11.82
3300,994.7189331054688,1.0,11.82
3400,994.7189331054688,1.0,11.82
3500,994.7189331054688,1.0,11.82
3600,994.7189331054688,1.0,11.82
3700,994.7189331054688,1.0,11.82
3800,994.7189331054688,1.0,11.82
3900,994.7189331054688,1.0,11.82
4000,994.7189331054688,1.0,11.82
4100,994.7189331054688,1.0,11.82
4200,994.7189331054688,1.0,11.82
4300,994.7189331054688,1.0,11.82
4400,994.7189331054688,1.0,11.82
4500,994.7189331054688,1.0,11.82
4600,994.7189331054688,1.0,11.82
4700,994.7189331054688,1.0,11.82
4800,994.7189331054688,1.0,11.82
4900,994.7189331054688,1.0,11.82
5000,1629.939208984375,1.0,11.82
5100,1629.939208984375,1.0,11.33
5200,1629.939208984375,1.0,11.33
5300,1629.939208984375,1.0,11.33
5400,1629.939208984375,0.99,11.33
5500,1629.939208984375,0.99,11.33
5600,1629.939208984375,0.99,11.33
5700,1629.939208984375,0.99,11.33
5800,1629.939208984375,0.99,11.33
5900,1629.939208984375,0.99,11.33
6000,1629.939208984375,0.99,11.33
6100,1629.939208984375,0.99,11.33
6200,1629.939208984375,0.99,11.33
6300,1629.939208984375,0.99,11.33
6400,1629.939208984375,0.99,11.33
6500,1629.939208984375,0.99,11.33
6600,1629.939208984375,0.98,11.33
6700,1629.939208984375,0.99,11.33
6800,1629.939208984375,0.99,11.33
6900,1629.939208984375,0.99,11.33
7000,1629.939208984375,0.99,11.33
7100,1629.939208984375,0.99,11.33
7200,1629.939208984375,0.99,11.33
7300,1629.939208984375,0.99,11.33
7400,1629.939208984375,0.99,11.33
7500,1629.939208984375,1.0,11.33
7600,1629.939208984375,1.0,11.33
7700,1629.939208984375,1.0,11.33
7800,1629.939208984375,1.0,11.33
7900,1629.939208984375,1.0,11.33
8000,1629.939208984375,1.0,11.33
8100,1629.939208984375,1.0,11.33
8200,1629.939208984375,1.0,11.33
8300,1629.939208984375,1.0,11.33
8400,1629.939208984375,1.0,11.33
8500,1629.939208984375,1.0,11.33
8600,1629.939208984375,1.0,11.33
8700,1629.939208984375,1.0,11.33
8800,1629.939208984375,1.0,11.33
8900,1629.939208984375,1.0,11.33
9000,1629.939208984375,1.0,11.33
9100,1629.939208984375,1.0,11.33
9200,1629.939208984375,1.0,11.33
9300,1629.939208984375,1.0,11.33
9400,1629.939208984375,1.0,11.33
9500,1629.939208984375,1.0,11.33
9600,1629.939208984375,1.0,11.33
9700,1629.939208984375,1.0,11.33
9800,1629.939208984375,1.0,11.33
9900,1629.939208984375,1.0,11.33
10000,1629.939208984375,1.0,11.33
10100,1629.939208984375,1.0,11.33
11704,2269.880615234375,0.4,11.33
11704,2954.34033203125,0.39,11.30
11804,2954.34033203125,0.39,11.30
11904,2954.34033203125,0.39,11.30
12004,2954.34033203125,0.39,11.30
12104,3315.200927734375,0.4,11.30
12204,3315.200927734375,0.4,11.30
12304,3315.200927734375,0.4,11.30
12404,3315.200927734375,0.4,11.30
12504,3315.200927734375,0.4,11.30
12604,3315.200927734375,0.4,11.30
12704,3315.200927734375,0.39,11.30
12804,3315.200927734375,0.37,11.30
12904,3315.200927734375,0.37,11.30
13004,3315.200927734375,0.37,11.30
13104,3315.200927734375,0.37,11.30
13204,3315.200927734375,0.36,11.30
13304,6896.630859375,0.39,11.30
13404,6896.630859375,0.38,11.30
13504,6896.630859375,0.37,11.30
13604,8586.7177734375,0.37,11.30
13704,8586.7177734375,0.36,11.30
13804,8586.7177734375,0.36,11.30
13904,8586.7177734375,0.35,11.30
14004,8586.7177734375,0.35,11.30
14104,8586.7177734375,0.35,11.30
14204,8586.7177734375,0.35,11.30
14304,8586.7177734375,0.35,11.30
14404,8586.7177734375,0.33,11.30
14504,8586.7177734375,0.32,11.30
14604,8586.7177734375,0.31,11.30
14704,8586.7177734375,0.31,11.30
14804,8586.7177734375,0.31,11.30
14904,8586.7177734375,0.3,11.30
15004,8586.7177734375,0.31,11.30
15104,8586.7177734375,0.31,11.30
15204,8586.7177734375,0.3,11.30
15304,8586.7177734375,0.29,11.30
15404,8586.7177734375,0.29,11.30
15504,8586.7177734375,0.29,11.30
15604,8586.7177734375,0.31,11.30
15704,8586.7177734375,0.31,11.30
15804,8586.7177734375,0.31,11.30
15904,8586.7177734375,0.3,11.30
16004,8586.7177734375,0.3,11.30
16104,8586.7177734375,0.3,11.30
16204,8586.7177734375,0.3,11.30
16304,8586.7177734375,0.31,11.30
16404,8586.7177734375,0.31,11.30
16504,8586.7177734375,0.31,11.30
16604,8586.7177734375,0.31,11.30
16704,8586.7177734375,0.3,11.30
16961,9018.5849609375,0.31,10.96
