evaluation,fitness,uniqueness,time
0,795.068115234375,1.0,11.43
100,795.068115234375,1.0,11.43
200,795.068115234375,1.0,11.43
300,800.8823852539062,1.0,11.43
400,800.8823852539062,1.0,11.43
500,818.5082397460938,1.0,11.43
600,818.5082397460938,1.0,11.43
700,818.5082397460938,1.0,11.43
800,818.5082397460938,1.0,11.43
900,818.5082397460938,1.0,11.43
1000,818.5082397460938,1.0,11.43
1100,871.5120239257812,1.0,11.43
1200,871.5120239257812,1.0,11.43
1300,871.5120239257812,1.0,11.43
1400,871.5120239257812,1.0,11.43
1500,871.5120239257812,1.0,11.43
1600,871.5120239257812,1.0,11.43
1700,871.5120239257812,1.0,11.43
1800,871.5120239257812,1.0,11.43
1900,871.5120239257812,1.0,11.43
2000,900.2421264648438,1.0,11.43
2100,900.2421264648438,1.0,11.43
2200,900.2421264648438,1.0,11.43
2300,900.2421264648438,1.0,11.43
2400,900.2421264648438,1.0,11.43
2500,934.2695922851562,1.0,11.43
2600,934.2695922851562,1.0,11.43
2700,934.2695922851562,1.0,11.43
2800,934.2695922851562,1.0,11.43
2900,934.2695922851562,1.0,11.43
3000,934.2695922851562,1.0,11.43
3100,934.2695922851562,1.0,11.43
3200,934.2695922851562,1.0,11.43
3300,934.2695922851562,1.0,11.43
3400,934.2695922851562,1.0,11.43
3500,934.2695922851562,1.0,11.43
3600,934.2695922851562,1.0,11.43
3700,934.2695922851562,1.0,11.43
3800,934.2695922851562,1.0,11.43
3900,934.2695922851562,1.0,11.43
4000,983.6430053710938,1.0,11.43
4100,983.6430053710938,1.0,11.43
4200,983.6430053710938,1.0,11.43
4300,983.6430053710938,1.0,11.43
4400,983.6430053710938,1.0,11.43
4500,983.6430053710938,1.0,11.43
4600,983.6430053710938,1.0,11.43
4700,983.6430053710938,1.0,11.43
4800,983.6430053710938,1.0,11.43
4900,983.6430053710938,1.0,11.43
5000,983.6430053710938,1.0,11.43
5100,983.6430053710938,1.0,11.43
5200,983.6430053710938,1.0,11.43
5300,983.6430053710938,1.0,11.43
5400,983.6430053710938,1.0,11.43
5500,983.6430053710938,1.0,11.43
5600,983.6430053710938,1.0,11.43
5700,983.6430053710938,1.0,11.43
5800,983.6430053710938,1.0,11.43
5900,983.6430053710938,1.0,11.43
6000,983.6430053710938,1.0,11.43
6100,983.6430053710938,1.0,11.43
6200,983.6430053710938,1.0,11.43
6300,983.6430053710938,1.0,11.43
6400,983.6430053710938,1.0,11.43
6500,983.6430053710938,1.0,11.43
6600,983.6430053710938,1.0,11.43
6700,983.6430053710938,1.0,11.43
6800,983.6430053710938,1.0,11.43
6900,983.6430053710938,1.0,11.43
7000,983.6430053710938,1.0,11.43
7100,983.6430053710938,1.0,11.43
7200,983.6430053710938,1.0,11.43
7300,983.6430053710938,1.0,11.43
7400,983.6430053710938,1.0,11.43
7500,983.6430053710938,1.0,11.43
7600,983.6430053710938,1.0,11.43
7700,983.6430053710938,1.0,11.43
7800,983.6430053710938,1.0,11.43
7900,983.6430053710938,1.0,11.43
8000,983.6430053710938,1.0,11.43
8100,983.6430053710938,1.0,11.43
8200,983.6430053710938,1.0,11.43
8300,983.6430053710938,1.0,11.43
8400,983.6430053710938,1.0,11.43
8500,983.6430053710938,1.0,11.43
8600,983.6430053710938,1.0,11.43
8700,983.6430053710938,1.0,11.43
8800,983.6430053710938,1.0,11.43
8900,983.6430053710938,1.0,11.43
9000,983.6430053710938,1.0,11.43
9100,983.6430053710938,1.0,11.43
9200,983.6430053710938,1.0,11.43
9300,983.6430053710938,1.0,11.43
9400,983.6430053710938,1.0,11.43
9500,983.6430053710938,1.0,11.43
9600,983.6430053710938,1.0,11.43
9700,983.6430053710938,1.0,11.43
9800,983.6430053710938,1.0,11.43
9900,983.6430053710938,1.0,11.43
10000,983.6430053710938,1.0,11.43
10100,983.6430053710938,1.0,11.43
10200,983.6430053710938,1.0,11.43
10300,983.6430053710938,1.0,11.43
10400,983.6430053710938,1.0,11.43
10500,983.6430053710938,1.0,11.43
10600,983.6430053710938,1.0,11.43
10700,983.6430053710938,1.0,11.43
10800,983.6430053710938,1.0,11.43
10900,983.6430053710938,1.0,11.43
11000,983.6430053710938,1.0,11.43
11100,983.6430053710938,1.0,11.43
11200,983.6430053710938,1.0,11.43
11300,983.6430053710938,1.0,11.43
11400,983.6430053710938,1.0,11.43
11500,983.6430053710938,1.0,11.43
11600,983.6430053710938,1.0,11.43
11700,983.6430053710938,1.0,11.43
11800,983.6430053710938,1.0,11.43
11900,983.6430053710938,1.0,11.43
12000,983.6430053710938,1.0,11.43
12100,983.6430053710938,1.0,11.43
12200,983.6430053710938,1.0,11.43
12300,983.6430053710938,1.0,11.43
12400,983.6430053710938,1.0,11.43
12500,983.6430053710938,1.0,11.43
12600,983.6430053710938,1.0,11.43
12700,983.6430053710938,1.0,11.43
12800,983.6430053710938,1.0,11.43
12900,983.6430053710938,1.0,11.43
13000,983.6430053710938,1.0,11.43
13100,983.6430053710938,1.0,11.43
13200,983.6430053710938,1.0,11.43
13300,983.6430053710938,1.0,11.43
13400,983.6430053710938,1.0,11.43
13500,983.6430053710938,1.0,11.43
13600,983.6430053710938,1.0,11.43
13700,983.6430053710938,1.0,11.43
13800,983.6430053710938,1.0,11.43
13900,983.6430053710938,1.0,11.43
14000,983.6430053710938,1.0,11.43
14100,983.6430053710938,1.0,11.43
14200,983.6430053710938,1.0,11.43
14300,983.6430053710938,1.0,11.43
14400,983.6430053710938,1.0,11.43
14500,983.6430053710938,1.0,11.43
14600,983.6430053710938,1.0,11.43
14700,983.6430053710938,1.0,11.43
14800,983.6430053710938,1.0,11.43
14900,983.6430053710938,1.0,11.43
15000,983.6430053710938,1.0,11.43
15100,983.6430053710938,1.0,11.43
15200,983.6430053710938,1.0,11.43
15300,983.6430053710938,1.0,11.43
15400,983.6430053710938,1.0,11.43
15500,983.6430053710938,1.0,11.43
15600,983.6430053710938,1.0,11.43
15700,983.6430053710938,1.0,11.43
15800,983.6430053710938,1.0,11.43
15900,983.6430053710938,1.0,11.43
16000,983.6430053710938,1.0,11.43
16100,983.6430053710938,1.0,11.43
16200,983.6430053710938,1.0,11.43
16300,983.6430053710938,1.0,11.43
16400,983.6430053710938,1.0,11.43
16500,983.6430053710938,1.0,11.43
16600,983.6430053710938,1.0,11.43
16700,983.6430053710938,1.0,11.43
16800,983.6430053710938,1.0,11.43
16900,983.6430053710938,1.0,11.43
17000,983.6430053710938,1.0,11.43
17100,983.6430053710938,1.0,11.43
17200,983.6430053710938,1.0,11.43
17300,983.6430053710938,1.0,11.43
17400,983.6430053710938,1.0,11.43
17500,983.6430053710938,1.0,11.43
17600,983.6430053710938,1.0,11.43
17700,983.6430053710938,1.0,11.43
17800,983.6430053710938,1.0,11.43
17900,983.6430053710938,1.0,11.43
18000,983.6430053710938,1.0,11.43
18100,983.6430053710938,1.0,11.43
18200,983.6430053710938,1.0,11.43
18300,983.6430053710938,1.0,11.43
18400,983.6430053710938,1.0,11.43
18500,983.6430053710938,1.0,11.43
18600,983.6430053710938,1.0,11.43
18700,983.6430053710938,1.0,11.43
18800,983.6430053710938,1.0,11.43
18900,983.6430053710938,1.0,11.43
19000,983.6430053710938,1.0,11.43
19100,983.6430053710938,1.0,11.43
19200,983.6430053710938,1.0,11.43
19300,983.6430053710938,1.0,11.43
19400,983.6430053710938,1.0,11.43
19500,983.6430053710938,1.0,11.43
19600,983.6430053710938,1.0,11.43
19700,983.6430053710938,1.0,11.43
19800,983.6430053710938,1.0,11.43
19900,983.6430053710938,1.0,11.43
20000,983.6430053710938,1.0,11.43
20100,983.6430053710938,1.0,11.43
20200,983.6430053710938,1.0,11.43
20300,983.6430053710938,1.0,11.43
20400,983.6430053710938,1.0,11.43
20500,983.6430053710938,1.0,11.43
20600,983.6430053710938,1.0,11.43
20700,983.6430053710938,1.0,11.43
20800,983.6430053710938,1.0,11.43
20900,983.6430053710938,1.0,11.43
21000,983.6430053710938,1.0,11.43
21100,983.6430053710938,1.0,11.43
21200,983.6430053710938,1.0,11.43
21300,983.6430053710938,1.0,11.43
21400,983.6430053710938,1.0,11.43
21500,983.6430053710938,1.0,11.43
21600,983.6430053710938,1.0,11.43
21700,983.6430053710938,1.0,11.43
21800,983.6430053710938,1.0,11.43
21900,983.6430053710938,1.0,11.43
22000,983.6430053710938,1.0,11.43
22100,983.6430053710938,1.0,11.43
22200,983.6430053710938,1.0,11.43
22300,983.6430053710938,1.0,11.43
22400,983.6430053710938,1.0,11.43
22500,983.6430053710938,1.0,11.43
22600,983.6430053710938,1.0,11.43
22700,983.6430053710938,1.0,11.43
22800,983.6430053710938,1.0,11.43
22900,983.6430053710938,1.0,11.43
23000,983.6430053710938,1.0,11.43
23100,983.6430053710938,1.0,11.43
23200,983.6430053710938,1.0,11.43
23300,983.6430053710938,1.0,11.43
23400,983.6430053710938,1.0,11.43
23500,983.6430053710938,1.0,11.43
23600,983.6430053710938,1.0,11.43
23700,983.6430053710938,1.0,11.43
23800,983.6430053710938,1.0,11.43
23900,983.6430053710938,1.0,11.43
24000,983.6430053710938,1.0,11.43
24100,983.6430053710938,1.0,11.43
24200,983.6430053710938,1.0,11.43
24300,983.6430053710938,1.0,11.43
24400,983.6430053710938,1.0,11.43
24500,983.6430053710938,1.0,11.43
24600,983.6430053710938,1.0,11.43
24700,983.6430053710938,1.0,11.43
24800,983.6430053710938,1.0,11.43
24900,983.6430053710938,1.0,11.43
25000,983.6430053710938,1.0,11.43
25100,983.6430053710938,1.0,11.43
25200,983.6430053710938,1.0,11.43
25300,983.6430053710938,1.0,11.43
25400,983.6430053710938,1.0,11.43
25500,983.6430053710938,1.0,11.43
25600,983.6430053710938,1.0,11.43
25700,983.6430053710938,1.0,11.43
25800,983.6430053710938,1.0,11.43
25900,983.6430053710938,1.0,11.43
26000,983.6430053710938,1.0,11.43
26100,983.6430053710938,1.0,11.43
26200,983.6430053710938,1.0,11.43
26300,983.6430053710938,1.0,11.43
26400,983.6430053710938,1.0,11.43
26500,983.6430053710938,1.0,11.43
26600,983.6430053710938,1.0,11.43
26700,983.6430053710938,1.0,11.43
26800,983.6430053710938,1.0,11.43
26900,983.6430053710938,1.0,11.43
