evaluation,fitness,uniqueness,time
0,-138.72157287597656,1.0,5.60
100,-110.95572662353516,1.0,5.60
200,-91.1556625366211,1.0,5.60
300,-91.1556625366211,1.0,5.60
400,-84.29346466064453,1.0,5.60
500,-82.90586853027344,1.0,5.60
600,-82.90586853027344,1.0,5.60
700,-82.90586853027344,1.0,5.60
800,-82.90586853027344,1.0,5.60
900,-82.90586853027344,1.0,5.60
1000,-82.90586853027344,1.0,5.60
1100,-82.90586853027344,1.0,5.60
1200,-82.90586853027344,1.0,5.60
1300,-82.90586853027344,1.0,5.60
1400,-82.90586853027344,1.0,5.60
1500,-82.90586853027344,1.0,5.60
1600,-82.90586853027344,1.0,5.60
1700,-72.59983825683594,1.0,5.60
1800,-72.59983825683594,1.0,5.60
1900,-72.59983825683594,1.0,5.60
2000,-63.83415222167969,1.0,5.60
2100,-63.83415222167969,1.0,5.60
2200,-63.83415222167969,1.0,5.60
2300,-63.83415222167969,1.0,5.60
2400,-63.83415222167969,1.0,5.60
2500,-63.83415222167969,1.0,5.60
2600,-63.83415222167969,1.0,5.60
2700,-63.83415222167969,1.0,5.60
2800,-63.83415222167969,1.0,5.60
2900,-63.83415222167969,1.0,5.60
3000,-63.83415222167969,1.0,5.60
3100,-63.83415222167969,1.0,5.60
3200,-63.83415222167969,1.0,5.60
3300,-63.83415222167969,1.0,5.60
3400,-63.83415222167969,1.0,5.60
3500,-63.83415222167969,1.0,5.60
3600,-63.83415222167969,1.0,5.60
3700,-63.83415222167969,1.0,5.60
3800,-63.83415222167969,1.0,5.60
3900,-63.83415222167969,1.0,5.60
4000,-63.83415222167969,1.0,5.60
4100,-63.83415222167969,1.0,5.60
4200,-63.83415222167969,1.0,5.60
4300,-63.83415222167969,1.0,5.60
4400,-63.83415222167969,1.0,5.60
4500,-63.83415222167969,1.0,5.60
4600,-63.83415222167969,1.0,5.60
4700,-63.83415222167969,1.0,5.60
4800,-63.83415222167969,1.0,5.60
4900,-63.83415222167969,1.0,5.60
5000,-63.83415222167969,1.0,5.60
5100,-63.83415222167969,1.0,5.60
5200,-63.83415222167969,1.0,5.60
5300,-57.47282791137695,1.0,5.60
5400,-57.47282791137695,1.0,5.60
5500,-57.47282791137695,1.0,5.60
5600,-57.47282791137695,1.0,5.60
5700,-57.47282791137695,1.0,5.60
5800,-57.47282791137695,1.0,5.60
5900,-57.47282791137695,1.0,5.60
6000,-57.47282791137695,1.0,5.60
6100,-57.47282791137695,1.0,5.60
6200,-57.47282791137695,1.0,5.60
6300,-57.47282791137695,1.0,5.60
6400,-57.47282791137695,1.0,5.60
6500,-57.47282791137695,1.0,5.60
6600,-57.47282791137695,1.0,5.60
6700,-57.47282791137695,1.0,5.60
6800,-57.47282791137695,1.0,5.60
6900,-57.47282791137695,1.0,5.60
7000,-57.47282791137695,1.0,5.60
7100,-57.47282791137695,1.0,5.60
7200,-57.47282791137695,1.0,5.60
7300,-57.47282791137695,1.0,5.60
7400,-57.47282791137695,1.0,5.60
7500,-57.47282791137695,1.0,5.60
7600,-57.47282791137695,1.0,5.60
7700,-57.47282791137695,1.0,5.60
7800,-57.47282791137695,1.0,5.60
7900,-57.47282791137695,1.0,5.60
8000,-57.47282791137695,1.0,5.60
8100,-57.47282791137695,1.0,5.60
8200,-57.47282791137695,1.0,5.60
8300,-57.47282791137695,1.0,5.60
8400,-57.47282791137695,1.0,5.60
8500,-57.47282791137695,1.0,5.60
8600,-57.47282791137695,1.0,5.60
8700,-57.47282791137695,1.0,5.60
8800,-57.47282791137695,1.0,5.60
8900,-57.47282791137695,1.0,5.60
9000,-57.47282791137695,1.0,5.60
9100,-57.47282791137695,1.0,5.60
9200,-57.47282791137695,1.0,5.60
9300,-57.47282791137695,1.0,5.60
9400,-57.47282791137695,1.0,5.60
9500,-57.47282791137695,1.0,5.60
9600,-57.47282791137695,1.0,5.60
9700,-57.47282791137695,1.0,5.60
9800,-57.47282791137695,1.0,5.60
9900,-57.47282791137695,1.0,5.60
10000,-57.47282791137695,1.0,5.60
10100,-57.47282791137695,1.0,5.60
10200,-57.47282791137695,1.0,5.60
10300,-57.47282791137695,1.0,5.60
10400,-57.47282791137695,1.0,5.60
10500,-57.47282791137695,1.0,5.60
10600,-57.47282791137695,1.0,5.60
10700,-57.47282791137695,1.0,5.60
10800,-57.47282791137695,1.0,5.60
10900,-57.47282791137695,1.0,5.60
11000,-57.47282791137695,1.0,5.60
