evaluation,fitness,time
0,-151.7840118408203,30.99
0,-151.7840118408203,5.42
100,-126.16870880126953,5.42
200,-126.16870880126953,5.42
300,-119.45545959472656,5.42
400,-119.45545959472656,5.42
500,-119.45545959472656,5.42
600,-95.56658172607422,5.42
700,-95.56658172607422,5.42
800,-95.56658172607422,5.42
900,-95.56658172607422,5.42
1000,-95.56658172607422,5.42
1100,-95.56658172607422,5.42
1200,-95.56658172607422,5.42
1300,-95.56658172607422,5.42
1400,-95.56658172607422,5.42
1500,-95.56658172607422,5.42
1600,-95.56658172607422,5.42
1700,-95.56658172607422,5.42
1800,-95.56658172607422,5.42
1900,-95.56658172607422,5.42
2000,-65.05989837646484,5.42
2100,-65.05989837646484,5.42
2200,-65.05989837646484,5.42
2300,-65.05989837646484,5.42
2400,-65.05989837646484,5.42
2500,-65.05989837646484,5.42
2600,-65.05989837646484,5.42
2700,-65.05989837646484,5.42
2800,-65.05989837646484,5.42
2900,-65.05989837646484,5.42
3000,-65.05989837646484,5.42
3100,-65.05989837646484,5.42
3200,-65.05989837646484,5.42
3300,-65.05989837646484,5.42
3400,-65.05989837646484,5.42
3500,-65.05989837646484,5.42
3600,-65.05989837646484,5.42
3700,-65.05989837646484,5.42
3800,-65.05989837646484,5.42
3900,-65.05989837646484,5.42
4000,-65.05989837646484,5.42
4100,-65.05989837646484,5.42
4200,-65.05989837646484,5.42
4300,-65.05989837646484,5.42
4400,-65.05989837646484,5.42
4500,-65.05989837646484,5.42
4600,-65.05989837646484,5.42
4700,-65.05989837646484,5.42
4800,-65.05989837646484,5.42
4900,-65.05989837646484,5.42
5000,-65.05989837646484,5.42
5100,-65.05989837646484,5.42
5252,-65.05989837646484,5.32
5352,-65.05989837646484,5.32
5452,-65.05989837646484,5.32
5552,-65.05989837646484,5.32
5652,-65.05989837646484,5.32
5752,-65.05989837646484,5.32
5852,-65.05989837646484,5.32
5952,-65.05989837646484,5.32
6052,-65.05989837646484,5.32
6152,-53.74305725097656,5.32
6252,-53.74305725097656,5.32
6352,-53.74305725097656,5.32
6452,-53.74305725097656,5.32
6552,-53.74305725097656,5.32
6652,-53.74305725097656,5.32
6752,-53.74305725097656,5.32
6852,-53.74305725097656,5.32
6952,-53.74305725097656,5.32
7052,-53.74305725097656,5.32
7152,-53.74305725097656,5.32
7252,-53.74305725097656,5.32
7352,-53.74305725097656,5.32
7452,-53.74305725097656,5.32
