evaluation,fitness,time
0,1074.4873046875,52.53
0,1074.4873046875,21.18
100,1074.4873046875,21.18
200,1074.4873046875,21.18
300,1074.4873046875,21.18
400,1074.4873046875,21.18
500,1074.4873046875,21.18
600,1074.4873046875,21.18
700,1074.4873046875,21.18
800,1074.4873046875,21.18
900,1074.4873046875,21.18
1000,1074.4873046875,21.18
1100,1074.4873046875,21.18
1200,1074.4873046875,21.18
1300,1074.4873046875,21.18
1400,1074.4873046875,21.18
1500,1074.4873046875,21.18
1600,1074.4873046875,21.18
1700,1074.4873046875,21.18
1800,1074.4873046875,21.18
1900,1074.4873046875,21.18
2000,1074.4873046875,21.18
2100,1074.4873046875,21.18
2200,1074.4873046875,21.18
2300,1074.4873046875,21.18
2400,1074.4873046875,21.18
2500,1074.4873046875,21.18
2600,1074.4873046875,21.18
2700,1074.4873046875,21.18
2800,1074.4873046875,21.18
2900,1074.4873046875,21.18
3000,1074.4873046875,21.18
3100,1074.4873046875,21.18
3200,1074.4873046875,21.18
3300,1074.4873046875,21.18
3400,1074.4873046875,21.18
3500,1074.4873046875,21.18
3600,1074.4873046875,21.18
3700,1074.4873046875,21.18
3800,1074.4873046875,21.18
3900,1074.4873046875,21.18
4000,1074.4873046875,21.18
4100,1074.4873046875,21.18
4200,1074.4873046875,21.18
4300,1074.4873046875,21.18
4400,1074.4873046875,21.18
4500,1074.4873046875,21.18
4600,1074.4873046875,21.18
4700,1074.4873046875,21.18
4800,1074.4873046875,21.18
4900,1074.4873046875,21.18
5000,1074.4873046875,21.18
5100,1074.4873046875,21.18
5200,1074.4873046875,21.18
5300,1074.4873046875,21.18
5400,1074.4873046875,21.18
5500,1074.4873046875,21.18
5722,1092.82177734375,21.18
5722,1092.82177734375,20.82
5822,1092.82177734375,20.82
5922,1092.82177734375,20.82
6022,1092.82177734375,20.82
6122,1092.82177734375,20.82
6222,1092.82177734375,20.82
6322,1092.82177734375,20.82
6422,1092.82177734375,20.82
6522,1092.82177734375,20.82
6622,1092.82177734375,20.82
6722,1092.82177734375,20.82
6822,1092.82177734375,20.82
6922,1092.82177734375,20.82
7022,1092.82177734375,20.82
7122,1092.82177734375,20.82
7222,1092.82177734375,20.82
7322,1092.82177734375,20.82
7422,1092.82177734375,20.82
7522,1092.82177734375,20.82
7622,1092.82177734375,20.82
7722,1092.82177734375,20.82
7822,1092.82177734375,20.82
7922,1092.82177734375,20.82
8022,1092.82177734375,20.82
8122,1092.82177734375,20.82
8222,1092.82177734375,20.82
8322,1092.82177734375,20.82
8422,1092.82177734375,20.82
8522,1092.82177734375,20.82
8622,1092.82177734375,20.82
8722,1092.82177734375,20.82
8822,1092.82177734375,20.82
8922,1092.82177734375,20.82
9022,1092.82177734375,20.82
9122,1092.82177734375,20.82
9222,1092.82177734375,20.82
9322,1092.82177734375,20.82
9422,1092.82177734375,20.82
9522,1092.82177734375,20.82
9622,1092.82177734375,20.82
9722,1092.82177734375,20.82
9822,1092.82177734375,20.82
9922,1092.82177734375,20.82
10022,1092.82177734375,20.82
10122,1092.82177734375,20.82
10222,1092.82177734375,20.82
10322,1092.82177734375,20.82
10422,1092.82177734375,20.82
10522,1092.82177734375,20.82
10622,1092.82177734375,20.82
10722,1092.82177734375,20.82
10822,1092.82177734375,20.82
10922,1092.82177734375,20.82
11022,1092.82177734375,20.82
11122,1092.82177734375,20.82
11222,1092.82177734375,20.82
12787,1092.82177734375,20.71
12887,1092.82177734375,20.71
12987,1092.82177734375,20.71
13087,1092.82177734375,20.71
13187,1092.82177734375,20.71
13287,1092.82177734375,20.71
13387,1117.487060546875,20.71
13487,1117.487060546875,20.71
13587,1117.487060546875,20.71
13687,1117.487060546875,20.71
13787,1117.487060546875,20.71
13887,1117.487060546875,20.71
13987,1117.487060546875,20.71
14087,1117.487060546875,20.71
14187,1117.487060546875,20.71
14287,1117.487060546875,20.71
14387,1117.487060546875,20.71
14487,1117.487060546875,20.71
14587,1117.487060546875,20.71
14687,1117.487060546875,20.71
14787,1121.6998291015625,20.71
14887,1121.6998291015625,20.71
14987,1121.6998291015625,20.71
15087,1121.6998291015625,20.71
15187,1121.6998291015625,20.71
15287,1121.6998291015625,20.71
15387,1121.6998291015625,20.71
15487,1121.6998291015625,20.71
15587,1121.6998291015625,20.71
15687,1121.6998291015625,20.71
15787,1121.6998291015625,20.71
15887,1121.6998291015625,20.71
15987,1121.6998291015625,20.71
16087,1121.6998291015625,20.71
16187,1121.6998291015625,20.71
16287,1121.6998291015625,20.71
16387,1121.6998291015625,20.71
16487,1121.6998291015625,20.71
16587,1121.6998291015625,20.71
16687,1121.6998291015625,20.71
16787,1121.6998291015625,20.71
16887,1121.6998291015625,20.71
16987,1121.6998291015625,20.71
17087,1121.6998291015625,20.71
17187,1121.6998291015625,20.71
17287,1121.6998291015625,20.71
17387,1121.6998291015625,20.71
17487,1121.6998291015625,20.71
17587,1121.6998291015625,20.71
17687,1121.6998291015625,20.71
17787,1121.6998291015625,20.71
17887,1121.6998291015625,20.71
17987,1121.6998291015625,20.71
18087,1121.6998291015625,20.71
18187,1121.6998291015625,20.71
18287,1121.6998291015625,20.71
20387,1121.6998291015625,20.68
20487,1121.6998291015625,20.68
20587,1121.6998291015625,20.68
20687,1121.6998291015625,20.68
20787,1121.6998291015625,20.68
20887,1121.6998291015625,20.68
20987,1121.6998291015625,20.68
21087,1121.6998291015625,20.68
21187,1121.6998291015625,20.68
21287,1121.6998291015625,20.68
21387,1121.6998291015625,20.68
21487,1121.6998291015625,20.68
21587,1121.6998291015625,20.68
21687,1121.6998291015625,20.68
21787,1121.6998291015625,20.68
21887,1121.6998291015625,20.68
21987,1121.6998291015625,20.68
22087,1121.6998291015625,20.68
22187,1121.6998291015625,20.68
22287,1121.6998291015625,20.68
22387,1121.6998291015625,20.68
22487,1121.6998291015625,20.68
22587,1121.6998291015625,20.68
22687,1121.6998291015625,20.68
22787,1121.6998291015625,20.68
22887,1121.6998291015625,20.68
22987,1121.6998291015625,20.68
23087,1121.6998291015625,20.68
23187,1121.6998291015625,20.68
23287,1121.6998291015625,20.68
