evaluation,fitness,uniqueness,time
0,1008.0892333984375,1.0,21.09
100,1008.0892333984375,1.0,21.09
200,1018.2996826171875,1.0,21.09
300,1018.2996826171875,1.0,21.09
400,1018.2996826171875,1.0,21.09
500,1018.2996826171875,1.0,21.09
600,1018.2996826171875,1.0,21.09
700,1018.2996826171875,1.0,21.09
800,1018.2996826171875,1.0,21.09
900,1018.2996826171875,1.0,21.09
1000,1018.2996826171875,1.0,21.09
1100,1018.2996826171875,1.0,21.09
1200,1018.2996826171875,1.0,21.09
1300,1018.2996826171875,1.0,21.09
1400,1018.7394409179688,1.0,21.09
1500,1018.7394409179688,1.0,21.09
1600,1018.7394409179688,1.0,21.09
1700,1018.7394409179688,1.0,21.09
1800,1018.7394409179688,1.0,21.09
1900,1018.7394409179688,1.0,21.09
2000,1018.7394409179688,1.0,21.09
2100,1019.8707885742188,1.0,21.09
2200,1019.8707885742188,1.0,21.09
2300,1019.8707885742188,1.0,21.09
2400,1019.8707885742188,1.0,21.09
2500,1019.8707885742188,1.0,21.09
2600,1019.8707885742188,1.0,21.09
2700,1019.8707885742188,1.0,21.09
2800,1071.6719970703125,1.0,21.09
2900,1071.6719970703125,1.0,21.09
3000,1071.6719970703125,1.0,21.09
3100,1071.6719970703125,1.0,21.09
3200,1071.6719970703125,1.0,21.09
3300,1071.6719970703125,1.0,21.09
3400,1071.6719970703125,1.0,21.09
3500,1071.6719970703125,1.0,21.09
3600,1071.6719970703125,1.0,21.09
3700,1071.6719970703125,1.0,21.09
3800,1071.6719970703125,1.0,21.09
3900,1071.6719970703125,1.0,21.09
4000,1071.6719970703125,1.0,21.09
4100,1071.6719970703125,1.0,21.09
4200,1071.6719970703125,1.0,21.09
4300,1071.6719970703125,1.0,21.09
4400,1071.6719970703125,1.0,21.09
4500,1071.6719970703125,1.0,21.09
4600,1071.6719970703125,1.0,21.09
4700,1071.6719970703125,1.0,21.09
4800,1071.6719970703125,1.0,21.09
4900,1071.6719970703125,1.0,21.09
5000,1071.6719970703125,1.0,21.09
5100,1071.6719970703125,1.0,21.09
5200,1071.6719970703125,1.0,21.09
5300,1071.6719970703125,1.0,21.09
5400,1071.6719970703125,1.0,21.09
5500,1071.6719970703125,1.0,21.09
5600,1071.6719970703125,1.0,21.09
5700,1071.6719970703125,1.0,21.09
5800,1071.6719970703125,1.0,21.09
5900,1071.6719970703125,1.0,21.09
6000,1071.6719970703125,1.0,21.09
6100,1071.6719970703125,1.0,21.09
6200,1071.6719970703125,1.0,21.09
6300,1071.6719970703125,1.0,21.09
6400,1071.6719970703125,1.0,21.09
6500,1071.6719970703125,1.0,21.09
6600,1071.6719970703125,1.0,21.09
6700,1071.6719970703125,1.0,21.09
6800,1071.6719970703125,1.0,21.09
6900,1071.6719970703125,1.0,21.09
7000,1071.6719970703125,1.0,21.09
7100,1071.6719970703125,1.0,21.09
7200,1071.6719970703125,1.0,21.09
7300,1071.6719970703125,1.0,21.09
7400,1071.6719970703125,1.0,21.09
7500,1071.6719970703125,1.0,21.09
7600,1071.6719970703125,1.0,21.09
7700,1071.6719970703125,1.0,21.09
7800,1071.6719970703125,1.0,21.09
7900,1071.6719970703125,1.0,21.09
8000,1071.6719970703125,1.0,21.09
8100,1071.6719970703125,1.0,21.09
8200,1071.6719970703125,1.0,21.09
8300,1071.6719970703125,1.0,21.09
8400,1071.6719970703125,1.0,21.09
8500,1071.6719970703125,1.0,21.09
8600,1071.6719970703125,1.0,21.09
8700,1071.6719970703125,1.0,21.09
8800,1071.6719970703125,1.0,21.09
8900,1071.6719970703125,1.0,21.09
9000,1071.6719970703125,1.0,21.09
9100,1071.6719970703125,1.0,21.09
9200,1071.6719970703125,1.0,21.09
9300,1071.6719970703125,1.0,21.09
9400,1071.6719970703125,1.0,21.09
9500,1071.6719970703125,1.0,21.09
9600,1071.6719970703125,1.0,21.09
9700,1071.6719970703125,1.0,21.09
9800,1071.6719970703125,1.0,21.09
9900,1071.6719970703125,1.0,21.09
10000,1071.6719970703125,1.0,21.09
10100,1071.6719970703125,1.0,21.09
10200,1071.6719970703125,1.0,21.09
10300,1071.6719970703125,1.0,21.09
10400,1071.6719970703125,1.0,21.09
10500,1071.6719970703125,1.0,21.09
10600,1071.6719970703125,1.0,21.09
10700,1071.6719970703125,1.0,21.09
10800,1071.6719970703125,1.0,21.09
10900,1071.6719970703125,1.0,21.09
11000,1071.6719970703125,1.0,21.09
11100,1071.6719970703125,1.0,21.09
11200,1071.6719970703125,1.0,21.09
11300,1071.6719970703125,1.0,21.09
11400,1071.6719970703125,1.0,21.09
11500,1071.6719970703125,1.0,21.09
11600,1071.6719970703125,1.0,21.09
11700,1071.6719970703125,1.0,21.09
11800,1071.6719970703125,1.0,21.09
11900,1071.6719970703125,1.0,21.09
12000,1071.6719970703125,1.0,21.09
12100,1071.6719970703125,1.0,21.09
12200,1071.6719970703125,1.0,21.09
12300,1071.6719970703125,1.0,21.09
12400,1071.6719970703125,1.0,21.09
12500,1071.6719970703125,1.0,21.09
12600,1071.6719970703125,1.0,21.09
12700,1071.6719970703125,1.0,21.09
12800,1071.6719970703125,1.0,21.09
12900,1071.6719970703125,1.0,21.09
13000,1071.6719970703125,1.0,21.09
13100,1071.6719970703125,1.0,21.09
13200,1071.6719970703125,1.0,21.09
13300,1071.6719970703125,1.0,21.09
13400,1071.6719970703125,1.0,21.09
13500,1071.6719970703125,1.0,21.09
13600,1071.6719970703125,1.0,21.09
13700,1071.6719970703125,1.0,21.09
13800,1071.6719970703125,1.0,21.09
13900,1071.6719970703125,1.0,21.09
14000,1071.6719970703125,1.0,21.09
14100,1071.6719970703125,1.0,21.09
14200,1071.6719970703125,1.0,21.09
14300,1071.6719970703125,1.0,21.09
14400,1071.6719970703125,1.0,21.09
14500,1071.6719970703125,1.0,21.09
14600,1071.6719970703125,1.0,21.09
14700,1071.6719970703125,1.0,21.09
14800,1071.6719970703125,1.0,21.09
14900,1071.6719970703125,1.0,21.09
15000,1071.6719970703125,1.0,21.09
15100,1071.6719970703125,1.0,21.09
15200,1071.6719970703125,1.0,21.09
15300,1071.6719970703125,1.0,21.09
15400,1071.6719970703125,1.0,21.09
15500,1071.6719970703125,1.0,21.09
15600,1071.6719970703125,1.0,21.09
15700,1071.6719970703125,1.0,21.09
15800,1071.6719970703125,1.0,21.09
15900,1071.6719970703125,1.0,21.09
16000,1071.6719970703125,1.0,21.09
16100,1071.6719970703125,1.0,21.09
16200,1071.6719970703125,1.0,21.09
16300,1071.6719970703125,1.0,21.09
16400,1071.6719970703125,1.0,21.09
16500,1071.6719970703125,1.0,21.09
16600,1071.6719970703125,1.0,21.09
16700,1071.6719970703125,1.0,21.09
16800,1071.6719970703125,1.0,21.09
16900,1071.6719970703125,1.0,21.09
17000,1071.6719970703125,1.0,21.09
