iteration,fitness,time
0,207.40000915527344,5.04
0,207.40000915527344,1.59
1,207.40000915527344,1.59
2,263.3999938964844,1.59
3,263.3999938964844,1.59
4,263.3999938964844,1.59
5,263.3999938964844,1.59
6,263.3999938964844,1.59
7,263.3999938964844,1.59
8,263.3999938964844,1.59
9,263.3999938964844,1.59
10,263.3999938964844,1.59
11,263.3999938964844,1.59
12,263.3999938964844,1.59
13,471.8000183105469,1.59
14,471.8000183105469,1.59
15,471.8000183105469,1.59
16,475.8000183105469,1.59
17,500.0,1.59
18,500.0,1.59
19,500.0,1.59
20,500.0,1.59
21,500.0,1.59
22,500.0,1.59
23,500.0,1.59
24,500.0,1.59
25,500.0,1.59
26,500.0,1.59
27,500.0,1.59
28,500.0,1.59
29,500.0,1.59
30,500.0,1.59
31,500.0,1.59
32,500.0,1.59
33,500.0,1.59
34,500.0,1.59
35,500.0,1.59
36,500.0,1.59
37,500.0,1.59
38,500.0,1.59
39,500.0,1.59
40,500.0,1.59
41,500.0,1.59
42,500.0,1.59
43,500.0,1.59
44,500.0,1.59
45,500.0,1.59
46,500.0,1.59
47,500.0,1.59
48,500.0,1.59
49,500.0,1.59
50,500.0,1.59
51,500.0,1.59
52,500.0,1.59
53,500.0,1.59
54,500.0,1.59
55,500.0,1.59
56,500.0,1.59
57,500.0,1.59
58,500.0,1.59
59,500.0,1.59
60,500.0,1.59
61,500.0,1.59
62,500.0,1.59
63,500.0,1.59
64,500.0,1.59
65,500.0,1.59
66,500.0,1.59
67,500.0,1.59
68,500.0,1.59
69,500.0,1.59
70,500.0,1.59
71,500.0,1.59
72,500.0,1.59
73,500.0,1.59
74,500.0,1.59
75,500.0,1.59
76,500.0,1.59
77,500.0,1.59
78,500.0,1.59
79,500.0,1.59
80,500.0,1.59
81,500.0,1.59
82,500.0,1.59
83,500.0,1.59
84,500.0,1.59
85,500.0,1.59
86,500.0,1.59
87,500.0,1.59
88,500.0,1.59
89,500.0,1.59
90,500.0,1.59
91,500.0,1.59
92,500.0,1.59
93,500.0,1.59
94,500.0,1.59
95,500.0,1.59
96,500.0,1.59
97,500.0,1.59
98,500.0,1.59
99,500.0,1.59
100,500.0,1.59
101,500.0,1.59
102,500.0,1.59
103,500.0,1.59
104,500.0,1.59
105,500.0,1.59
106,500.0,1.59
107,500.0,1.59
108,500.0,1.59
109,500.0,1.59
110,500.0,1.59
111,500.0,1.59
112,500.0,1.59
113,500.0,1.59
114,500.0,1.59
115,500.0,1.59
116,500.0,1.59
117,500.0,1.59
