evaluation,fitness,uniqueness,time
0,341.468017578125,1.0,11.61
100,341.468017578125,1.0,11.61
200,347.7945556640625,1.0,11.61
300,349.61572265625,1.0,11.61
400,349.61572265625,1.0,11.61
500,349.61572265625,1.0,11.61
600,349.61572265625,1.0,11.61
700,382.3640441894531,1.0,11.61
800,382.3640441894531,1.0,11.61
900,382.3640441894531,1.0,11.61
1000,382.3640441894531,1.0,11.61
1100,382.3640441894531,1.0,11.61
1200,382.3640441894531,1.0,11.61
1300,382.3640441894531,1.0,11.61
1400,382.3640441894531,1.0,11.61
1500,382.3640441894531,1.0,11.61
1600,382.3640441894531,1.0,11.61
1700,382.3640441894531,1.0,11.61
1800,382.3640441894531,1.0,11.61
1900,382.3640441894531,1.0,11.61
2000,382.3640441894531,1.0,11.61
2100,382.3640441894531,1.0,11.61
2200,382.3640441894531,1.0,11.61
2300,382.3640441894531,1.0,11.61
2400,382.3640441894531,1.0,11.61
2500,382.3640441894531,1.0,11.61
2600,382.3640441894531,1.0,11.61
2700,382.3640441894531,1.0,11.61
2800,382.3640441894531,1.0,11.61
2900,382.3640441894531,1.0,11.61
3000,382.3640441894531,1.0,11.61
3100,992.24853515625,1.0,11.61
3200,993.19384765625,1.0,11.61
3300,997.10546875,1.0,11.61
3400,1002.4408569335938,1.0,11.61
3500,1002.940185546875,1.0,11.61
3600,1002.940185546875,1.0,11.61
3700,1009.6846923828125,1.0,11.61
3800,1015.7590942382812,1.0,11.61
3900,1015.7590942382812,1.0,11.61
4000,1015.7590942382812,1.0,11.61
4100,1015.7590942382812,1.0,11.61
4200,1015.7590942382812,1.0,11.61
4300,1015.7590942382812,1.0,11.61
4400,1015.7590942382812,1.0,11.61
4500,1015.7590942382812,1.0,11.61
4600,1015.7590942382812,1.0,11.61
4700,1015.7590942382812,1.0,11.61
4800,1015.7590942382812,1.0,11.61
4900,1015.7590942382812,1.0,11.61
5000,1015.7590942382812,1.0,11.61
5100,1015.7590942382812,1.0,11.61
5200,1015.7590942382812,1.0,11.61
5300,1015.7590942382812,1.0,11.61
5400,1015.7590942382812,1.0,11.61
5500,1015.7590942382812,1.0,11.61
5600,1015.7590942382812,1.0,11.61
5700,1015.7590942382812,1.0,11.61
5800,1015.7590942382812,1.0,11.61
5900,1015.7590942382812,1.0,11.61
6000,1015.7590942382812,1.0,11.61
6100,1015.7590942382812,1.0,11.61
6200,1015.7590942382812,1.0,11.61
