evaluation,fitness,uniqueness,time
0,709.803466796875,1.0,10.28
100,709.803466796875,1.0,10.28
200,709.803466796875,1.0,10.28
300,821.9000854492188,1.0,10.28
400,821.9000854492188,1.0,10.28
500,821.9000854492188,1.0,10.28
600,821.9000854492188,1.0,10.28
700,821.9000854492188,1.0,10.28
800,821.9000854492188,1.0,10.28
900,821.9000854492188,1.0,10.28
1000,821.9000854492188,1.0,10.28
1100,821.9000854492188,1.0,10.28
1200,821.9000854492188,1.0,10.28
1300,821.9000854492188,1.0,10.28
1400,821.9000854492188,1.0,10.28
1500,821.9000854492188,1.0,10.28
1600,833.2780151367188,1.0,10.28
1700,833.2780151367188,1.0,10.28
1800,833.2780151367188,1.0,10.28
1900,833.2780151367188,1.0,10.28
2000,833.2780151367188,1.0,10.28
2100,833.2780151367188,1.0,10.28
2200,833.2780151367188,1.0,10.28
2300,833.2780151367188,1.0,10.28
2400,833.2780151367188,1.0,10.28
2500,833.2780151367188,1.0,10.28
2600,833.2780151367188,1.0,10.28
2700,833.2780151367188,1.0,10.28
2800,833.2780151367188,1.0,10.28
2900,833.2780151367188,1.0,10.28
3000,833.2780151367188,1.0,10.28
3100,833.2780151367188,1.0,10.28
3200,833.2780151367188,1.0,10.28
3300,833.2780151367188,1.0,10.28
3400,833.2780151367188,1.0,10.28
3500,833.2780151367188,1.0,10.28
3600,862.3134155273438,1.0,10.28
3700,862.3134155273438,1.0,10.28
3800,862.3134155273438,1.0,10.28
3900,862.3134155273438,1.0,10.28
4000,862.3134155273438,1.0,10.28
4100,862.3134155273438,1.0,10.28
4200,862.3134155273438,1.0,10.28
4300,862.3134155273438,1.0,10.28
4400,862.3134155273438,1.0,10.28
4500,862.3134155273438,1.0,10.28
4600,862.3134155273438,1.0,10.28
4700,862.3134155273438,1.0,10.28
4800,862.3134155273438,1.0,10.28
4900,862.3134155273438,1.0,10.28
5000,862.3134155273438,1.0,10.28
5100,862.3134155273438,1.0,10.28
5200,862.3134155273438,1.0,10.28
5300,862.3134155273438,1.0,10.28
5400,862.3134155273438,1.0,10.28
5500,862.3134155273438,1.0,10.28
5600,862.3134155273438,1.0,10.28
5700,891.146240234375,1.0,10.28
5800,891.146240234375,1.0,10.28
5900,891.146240234375,1.0,10.28
6000,891.146240234375,1.0,10.28
6100,891.146240234375,1.0,10.28
6200,891.146240234375,1.0,10.28
6300,891.146240234375,1.0,10.28
6400,891.146240234375,1.0,10.28
6500,891.146240234375,1.0,10.28
6600,891.146240234375,1.0,10.28
6700,891.146240234375,1.0,10.28
6800,891.146240234375,1.0,10.28
6900,899.8895874023438,1.0,10.28
7000,899.8895874023438,1.0,10.28
7100,899.8895874023438,1.0,10.28
7200,899.8895874023438,1.0,10.28
7300,899.8895874023438,1.0,10.28
7400,899.8895874023438,1.0,10.28
7500,899.8895874023438,1.0,10.28
7600,899.8895874023438,1.0,10.28
7700,899.8895874023438,1.0,10.28
7800,899.8895874023438,1.0,10.28
7900,899.8895874023438,1.0,10.28
8000,899.8895874023438,1.0,10.28
8100,899.8895874023438,1.0,10.28
8200,899.8895874023438,1.0,10.28
8300,899.8895874023438,1.0,10.28
8400,899.8895874023438,1.0,10.28
8500,899.8895874023438,1.0,10.28
8600,899.8895874023438,1.0,10.28
8700,899.8895874023438,1.0,10.28
8800,899.8895874023438,1.0,10.28
8900,899.8895874023438,1.0,10.28
9000,899.8895874023438,1.0,10.28
9100,899.8895874023438,1.0,10.28
9200,899.8895874023438,1.0,10.28
9300,899.8895874023438,1.0,10.28
9400,899.8895874023438,1.0,10.28
9500,899.8895874023438,1.0,10.28
9600,899.8895874023438,1.0,10.28
9700,899.8895874023438,1.0,10.28
9800,899.8895874023438,1.0,10.28
9900,899.8895874023438,1.0,10.28
10000,899.8895874023438,1.0,10.28
10100,899.8895874023438,1.0,10.28
10200,899.8895874023438,1.0,10.28
10300,899.8895874023438,1.0,10.28
10400,899.8895874023438,1.0,10.28
10500,906.4336547851562,1.0,10.28
10600,906.4336547851562,1.0,10.28
10700,906.4336547851562,1.0,10.28
10800,906.4336547851562,1.0,10.28
10900,906.4336547851562,1.0,10.28
11000,906.4336547851562,1.0,10.28
11100,906.4336547851562,1.0,10.28
11200,906.4336547851562,1.0,10.28
11300,906.4336547851562,1.0,10.28
11400,906.4336547851562,1.0,10.28
11500,906.4336547851562,1.0,10.28
11600,906.4336547851562,1.0,10.28
11700,906.4336547851562,1.0,10.28
11800,906.4336547851562,1.0,10.28
11900,906.4336547851562,1.0,10.28
12000,906.4336547851562,1.0,10.28
12100,906.4336547851562,1.0,10.28
12200,906.4336547851562,1.0,10.28
12300,906.4336547851562,1.0,10.28
12400,906.4336547851562,1.0,10.28
12500,906.4336547851562,1.0,10.28
12600,906.4336547851562,1.0,10.28
12700,906.4336547851562,1.0,10.28
12800,906.4336547851562,1.0,10.28
12900,906.4336547851562,1.0,10.28
13000,906.4336547851562,1.0,10.28
13100,906.4336547851562,1.0,10.28
