evaluation,fitness,uniqueness,time
0,766.4035034179688,1.0,108.96
1000,795.3756713867188,1.0,108.96
2000,875.0623168945312,1.0,108.96
3000,875.0623168945312,1.0,108.96
4000,875.0623168945312,1.0,108.96
5000,875.0623168945312,1.0,108.96
6000,966.0997314453125,1.0,108.96
7000,1037.482177734375,1.0,108.96
8000,1037.482177734375,1.0,108.96
9000,1037.482177734375,1.0,108.96
10000,1037.482177734375,1.0,108.96
11000,1037.482177734375,1.0,108.96
12000,1037.482177734375,1.0,108.96
13000,1037.482177734375,1.0,108.96
14000,1037.482177734375,1.0,108.96
15000,1037.482177734375,1.0,108.96
16000,1037.482177734375,1.0,108.96
17000,1037.482177734375,1.0,108.96
18000,1037.482177734375,1.0,108.96
19000,1037.482177734375,1.0,108.96
20000,1037.482177734375,1.0,108.96
21000,1037.482177734375,1.0,108.96
22000,1037.482177734375,1.0,108.96
23000,1037.482177734375,1.0,108.96
24000,1037.482177734375,1.0,108.96
25000,1037.482177734375,1.0,108.96
26000,1037.482177734375,1.0,108.96
27000,1037.482177734375,1.0,108.96
28000,1037.482177734375,1.0,108.96
29000,1037.482177734375,1.0,108.96
30000,1037.482177734375,1.0,108.96
31000,1037.482177734375,1.0,108.96
32000,1037.482177734375,1.0,108.96
33000,1037.482177734375,1.0,108.96
34000,1037.482177734375,1.0,108.96
35000,1037.482177734375,1.0,108.96
36000,1037.482177734375,1.0,108.96
37000,1037.482177734375,1.0,108.96
38000,1037.482177734375,1.0,108.96
39000,1037.482177734375,1.0,108.96
40000,1037.482177734375,1.0,108.96
41000,1037.482177734375,1.0,108.96
42000,1037.482177734375,1.0,108.96
43000,1037.482177734375,1.0,108.96
44000,1037.482177734375,1.0,108.96
45000,1080.3912353515625,1.0,108.96
46000,1080.3912353515625,1.0,108.96
47000,1080.3912353515625,1.0,108.96
48000,1080.3912353515625,1.0,108.96
49000,1080.3912353515625,1.0,108.96
50000,1080.3912353515625,1.0,108.96
51000,1080.3912353515625,1.0,108.96
52000,1080.3912353515625,1.0,108.96
53000,1080.3912353515625,1.0,108.96
54000,1080.3912353515625,1.0,108.96
55000,1080.3912353515625,1.0,108.96
56000,1080.3912353515625,1.0,108.96
57000,1080.3912353515625,1.0,108.96
58000,1080.3912353515625,1.0,108.96
59000,1089.750244140625,1.0,108.96
60000,1089.750244140625,1.0,108.96
61000,1089.750244140625,1.0,108.96
62000,1089.750244140625,1.0,108.96
63000,1089.750244140625,1.0,108.96
64000,1089.750244140625,1.0,108.96
65000,1089.750244140625,1.0,108.96
