evaluation,fitness,uniqueness,time
0,843.1436767578125,1.0,101.58
1000,899.68896484375,1.0,101.58
2000,975.3276977539062,1.0,101.58
3000,975.3276977539062,1.0,101.58
4000,975.3276977539062,1.0,101.58
5000,975.3276977539062,1.0,101.58
6000,975.3276977539062,1.0,101.58
7000,975.3276977539062,1.0,101.58
8000,1013.2565307617188,1.0,101.58
9000,1013.2565307617188,1.0,101.58
10000,1013.2565307617188,1.0,101.58
11000,1013.2565307617188,1.0,101.58
12000,1013.2565307617188,1.0,101.58
13000,1013.2565307617188,1.0,101.58
14000,1013.2565307617188,1.0,101.58
15000,1013.2565307617188,1.0,101.58
16000,1013.2565307617188,1.0,101.58
17000,1013.2565307617188,1.0,101.58
18000,1070.7850341796875,1.0,101.58
19000,1070.7850341796875,1.0,101.58
20000,1070.7850341796875,1.0,101.58
21000,1070.7850341796875,1.0,101.58
22000,1161.5166015625,1.0,101.58
23000,1161.5166015625,1.0,101.58
24000,1161.5166015625,1.0,101.58
25000,1161.5166015625,1.0,101.58
26000,1161.5166015625,1.0,101.58
27000,1161.5166015625,1.0,101.58
28000,1161.5166015625,1.0,101.58
29000,1161.5166015625,1.0,101.58
30000,1161.5166015625,1.0,101.58
31000,1161.5166015625,1.0,101.58
32000,1161.5166015625,1.0,101.58
33000,1161.5166015625,1.0,101.58
34000,1161.5166015625,1.0,101.58
35000,1161.5166015625,1.0,101.58
36000,1161.5166015625,1.0,101.58
37000,1161.5166015625,1.0,101.58
38000,1161.5166015625,1.0,101.58
39000,1161.5166015625,1.0,101.58
40000,1161.5166015625,1.0,101.58
41000,1161.5166015625,1.0,101.58
42000,1161.5166015625,1.0,101.58
43000,1161.5166015625,1.0,101.58
44000,1161.5166015625,1.0,101.58
45000,1161.5166015625,1.0,101.58
46000,1161.5166015625,1.0,101.58
47000,1190.588623046875,1.0,101.58
48000,1190.588623046875,1.0,101.58
49000,1190.588623046875,1.0,101.58
50000,1190.588623046875,1.0,101.58
51000,1190.588623046875,1.0,101.58
52000,1190.588623046875,1.0,101.58
53000,1190.588623046875,1.0,101.58
54000,1190.588623046875,1.0,101.58
55000,1190.588623046875,1.0,101.58
56000,1190.588623046875,1.0,101.58
57000,1190.588623046875,1.0,101.58
58000,1190.588623046875,1.0,101.58
59000,1190.588623046875,1.0,101.58
60000,1190.588623046875,1.0,101.58
61000,1190.588623046875,1.0,101.58
62000,1190.588623046875,1.0,101.58
63000,1190.588623046875,1.0,101.58
64000,1190.588623046875,1.0,101.58
65000,1190.588623046875,1.0,101.58
66000,1190.588623046875,1.0,101.58
67000,1190.588623046875,1.0,101.58
68000,1190.588623046875,1.0,101.58
69000,1190.588623046875,1.0,101.58
70000,1190.588623046875,1.0,101.58
71000,1190.588623046875,1.0,101.58
72000,1190.588623046875,1.0,101.58
73000,1190.588623046875,1.0,101.58
74000,1190.588623046875,1.0,101.58
75000,1190.588623046875,1.0,101.58
76000,1190.588623046875,1.0,101.58
77000,1190.588623046875,1.0,101.58
78000,1190.588623046875,1.0,101.58
79000,1190.588623046875,1.0,101.58
80000,1190.588623046875,1.0,101.58
81000,1190.588623046875,1.0,101.58
82000,1190.588623046875,1.0,101.58
83000,1190.588623046875,1.0,101.58
84000,1190.588623046875,1.0,101.58
85000,1190.588623046875,1.0,101.58
86000,1190.588623046875,1.0,101.58
87000,1190.588623046875,1.0,101.58
88000,1190.588623046875,1.0,101.58
89000,1190.588623046875,1.0,101.58
90000,1190.588623046875,1.0,101.58
91000,1190.588623046875,1.0,101.58
92000,1190.588623046875,1.0,101.58
93000,1190.588623046875,1.0,101.58
94000,1190.588623046875,1.0,101.58
95000,1190.588623046875,1.0,101.58
96000,1190.588623046875,1.0,101.58
97000,1190.588623046875,1.0,101.58
98000,1190.588623046875,1.0,101.58
99000,1190.588623046875,1.0,101.58
100000,1190.588623046875,1.0,101.58
101000,1190.588623046875,1.0,101.58
102000,1190.588623046875,1.0,101.58
103000,1190.588623046875,1.0,101.58
104000,1190.588623046875,1.0,101.58
105000,1190.588623046875,1.0,101.58
106000,1190.588623046875,1.0,101.58
107000,1190.588623046875,1.0,101.58
108000,1190.588623046875,1.0,101.58
109000,1190.588623046875,1.0,101.58
110000,1190.588623046875,1.0,101.58
111000,1190.588623046875,1.0,101.58
112000,1190.588623046875,1.0,101.58
113000,1190.588623046875,1.0,101.58
114000,1190.588623046875,1.0,101.58
115000,1190.588623046875,1.0,101.58
116000,1190.588623046875,1.0,101.58
117000,1190.588623046875,1.0,101.58
118000,1190.588623046875,1.0,101.58
119000,1190.588623046875,1.0,101.58
120000,1190.588623046875,1.0,101.58
121000,1190.588623046875,1.0,101.58
122000,1190.588623046875,1.0,101.58
123000,1190.588623046875,1.0,101.58
124000,1190.588623046875,1.0,101.58
125000,1190.588623046875,1.0,101.58
126000,1190.588623046875,1.0,101.58
127000,1190.588623046875,1.0,101.58
128000,1190.588623046875,1.0,101.58
129000,1190.588623046875,1.0,101.58
130000,1190.588623046875,1.0,101.58
131000,1190.588623046875,1.0,101.58
132000,1190.588623046875,1.0,101.58
133000,1190.588623046875,1.0,101.58
134000,1190.588623046875,1.0,101.58
135000,1190.588623046875,1.0,101.58
136000,1190.588623046875,1.0,101.58
137000,1190.588623046875,1.0,101.58
138000,1190.588623046875,1.0,101.58
139000,1190.588623046875,1.0,101.58
140505,1190.588623046875,0.998,107.94
141505,1190.588623046875,0.998,107.94
142505,1190.588623046875,0.998,107.94
143505,1190.588623046875,0.998,107.94
144505,1190.588623046875,0.998,107.94
145505,1190.588623046875,0.998,107.94
146505,1190.588623046875,0.998,107.94
147505,1190.588623046875,0.998,107.94
148505,1190.588623046875,0.998,107.94
149505,1211.566162109375,0.998,107.94
150505,1211.566162109375,0.998,107.94
151505,1211.566162109375,0.998,107.94
152505,1211.566162109375,0.998,107.94
153505,1211.566162109375,0.998,107.94
154505,1211.566162109375,0.998,107.94
155505,1211.566162109375,0.998,107.94
156505,1211.566162109375,0.998,107.94
157505,1211.566162109375,0.998,107.94
158505,1211.566162109375,0.998,107.94
159505,1211.566162109375,0.998,107.94
160505,1211.566162109375,0.998,107.94
161505,1211.566162109375,0.998,107.94
162505,1211.566162109375,0.998,107.94
163505,1211.566162109375,0.998,107.94
164505,1211.566162109375,0.998,107.94
165505,1211.566162109375,0.998,107.94
166505,1211.566162109375,0.998,107.94
167505,1211.566162109375,0.998,107.94
168505,1211.566162109375,0.998,107.94
