evaluation,fitness,test_accuracy,uniqueness,time
100,-0.8607000112533569,-0.9110352396965027,1.0,2.63
190,-0.8607000112533569,-0.9110352396965027,1.0,1.68
280,-0.8607000112533569,-0.9110352396965027,1.0,0.62
370,-0.8607000112533569,-0.9110352396965027,1.0,1.00
460,-0.8607000112533569,-0.9110352396965027,1.0,0.83
550,-0.8607000112533569,-0.9110352396965027,1.0,1.00
640,-0.8607000112533569,-0.9110352396965027,1.0,0.63
730,-0.8607000112533569,-0.9110352396965027,1.0,1.27
820,-0.8607000112533569,-0.9110352396965027,1.0,0.88
910,-0.8607000112533569,-0.9110352396965027,1.0,0.66
1000,-0.8607000112533569,-0.9110352396965027,1.0,0.98
1090,-0.8607000112533569,-0.9110352396965027,1.0,0.96
1180,-0.8607000112533569,-0.9110352396965027,1.0,0.85
1270,-0.8607000112533569,-0.9110352396965027,1.0,0.98
1360,-0.8607000112533569,-0.9110352396965027,1.0,1.01
1450,-0.8607000112533569,-0.9110352396965027,1.0,1.00
1540,-0.8607000112533569,-0.9110352396965027,1.0,1.17
1630,-0.8607000112533569,-0.9110352396965027,1.0,1.57
1720,-0.8607000112533569,-0.9110352396965027,1.0,1.20
1810,-0.8607000112533569,-0.9110352396965027,1.0,0.90
1900,-0.8607000112533569,-0.9110352396965027,1.0,0.83
1990,-0.8607000112533569,-0.9110352396965027,1.0,0.84
2080,-0.8607000112533569,-0.9110352396965027,1.0,0.76
2170,-0.8607000112533569,-0.9110352396965027,1.0,1.11
2260,-0.8607000112533569,-0.9110352396965027,1.0,0.68
2350,-0.8607000112533569,-0.9110352396965027,1.0,0.78
2440,-0.8607000112533569,-0.9110352396965027,1.0,0.62
2530,-0.8607000112533569,-0.9110352396965027,1.0,0.70
2620,-0.8607000112533569,-0.9110352396965027,1.0,0.84
2710,-0.8607000112533569,-0.9110352396965027,1.0,0.68
2800,-0.8607000112533569,-0.9110352396965027,1.0,1.14
2890,-0.8607000112533569,-0.9110352396965027,1.0,1.05
2980,-0.8607000112533569,-0.9110352396965027,1.0,0.96
3070,-0.8607000112533569,-0.9110352396965027,1.0,0.89
3160,-0.8607000112533569,-0.9110352396965027,1.0,0.90
