evaluation,fitness,test_accuracy,uniqueness,time
1000,-1.5990232229232788,-1.3235316276550293,1.0,2.24
1990,-1.5990232229232788,-1.3235316276550293,1.0,2.04
2980,-1.5990232229232788,-1.3235316276550293,1.0,1.07
3970,-1.5990232229232788,-1.3235316276550293,1.0,1.05
4960,-1.5990232229232788,-1.3235316276550293,1.0,1.09
5950,-1.5990232229232788,-1.3235316276550293,1.0,1.07
6940,-1.5990232229232788,-1.3235316276550293,1.0,1.11
7930,-1.5990232229232788,-1.3235316276550293,1.0,1.05
8920,-1.5990232229232788,-1.3235316276550293,1.0,1.08
9910,-1.5990232229232788,-1.3235316276550293,1.0,1.10
10900,-1.5990232229232788,-1.3235316276550293,1.0,1.13
11890,-1.5990232229232788,-1.3235316276550293,1.0,1.08
12880,-1.5990232229232788,-1.3235316276550293,1.0,1.12
13870,-1.5990232229232788,-1.3235316276550293,1.0,1.13
14860,-1.5990232229232788,-1.3235316276550293,1.0,1.23
15850,-1.5990232229232788,-1.3235316276550293,1.0,1.13
16840,-0.5365083813667297,-0.4759126305580139,1.0,1.08
17830,-0.5365083813667297,-0.4759126305580139,1.0,1.07
18820,-0.5365083813667297,-0.4759126305580139,1.0,1.09
19810,-0.5365083813667297,-0.4759126305580139,1.0,1.11
20800,-0.5365083813667297,-0.4759126305580139,1.0,1.23
21790,-0.5365083813667297,-0.4759126305580139,1.0,1.11
22780,-0.5365083813667297,-0.4759126305580139,1.0,1.11
23770,-0.5365083813667297,-0.4759126305580139,1.0,1.10
24760,-0.5365083813667297,-0.4759126305580139,1.0,1.13
25750,-0.5365083813667297,-0.4759126305580139,1.0,1.12
26740,-0.5365083813667297,-0.4759126305580139,1.0,1.10
27730,-0.5365083813667297,-0.4759126305580139,1.0,1.10
28720,-0.5365083813667297,-0.4759126305580139,1.0,1.12
29710,-0.5365083813667297,-0.4759126305580139,1.0,1.07
30700,-0.5365083813667297,-0.4759126305580139,1.0,1.11
31690,-0.5365083813667297,-0.4759126305580139,1.0,1.07
32680,-0.5365083813667297,-0.4759126305580139,1.0,1.08
33670,-0.5365083813667297,-0.4759126305580139,1.0,1.14
34660,-0.5365083813667297,-0.4759126305580139,1.0,1.07
35650,-0.5365083813667297,-0.4759126305580139,1.0,1.07
36640,-0.5365083813667297,-0.4759126305580139,1.0,1.14
37630,-0.5365083813667297,-0.4759126305580139,1.0,1.19
38620,-0.5365083813667297,-0.4759126305580139,1.0,1.15
39610,-0.5365083813667297,-0.4759126305580139,1.0,1.14
40600,-0.5365083813667297,-0.4759126305580139,1.0,1.11
41590,-0.5365083813667297,-0.4759126305580139,1.0,1.21
42580,-0.5365083813667297,-0.4759126305580139,1.0,1.18
43570,-0.5365083813667297,-0.4759126305580139,1.0,1.10
44560,-0.5365083813667297,-0.4759126305580139,1.0,1.12
45550,-0.5365083813667297,-0.4759126305580139,1.0,1.11
46540,-0.5365083813667297,-0.4759126305580139,1.0,1.14
47530,-0.5365083813667297,-0.4759126305580139,1.0,1.11
48520,-0.5365083813667297,-0.4759126305580139,1.0,1.11
49510,-0.5365083813667297,-0.4759126305580139,1.0,1.13
50500,-0.5365083813667297,-0.4759126305580139,1.0,1.05
51490,-0.5365083813667297,-0.4759126305580139,1.0,1.04
52480,-0.5365083813667297,-0.4759126305580139,1.0,1.07
53470,-0.5365083813667297,-0.4759126305580139,1.0,1.07
54460,-0.5365083813667297,-0.4759126305580139,1.0,1.15
55450,-0.5365083813667297,-0.4759126305580139,1.0,1.06
56440,-0.5365083813667297,-0.4759126305580139,1.0,1.10
