evaluation,fitness,test_accuracy,uniqueness,time
100,-2.1111230850219727,-2.1531357765197754,1.0,1.55
190,-2.1111230850219727,-2.1531357765197754,1.0,1.09
280,-2.1111230850219727,-2.1531357765197754,1.0,0.32
370,-1.8675273656845093,-1.9193553924560547,1.0,0.32
460,-1.8675273656845093,-1.9193553924560547,1.0,0.34
550,-1.8675273656845093,-1.9193553924560547,1.0,0.43
640,-1.8675273656845093,-1.9193553924560547,1.0,0.32
730,-1.8675273656845093,-1.9193553924560547,1.0,0.34
820,-1.8675273656845093,-1.9193553924560547,1.0,0.32
910,-1.8675273656845093,-1.9193553924560547,1.0,0.31
1000,-1.8675273656845093,-1.9193553924560547,1.0,0.32
1090,-1.8675273656845093,-1.9193553924560547,1.0,0.40
1180,-1.8675273656845093,-1.9193553924560547,1.0,0.38
1270,-1.8675273656845093,-1.9193553924560547,1.0,0.32
1360,-1.8675273656845093,-1.9193553924560547,1.0,0.35
1450,-1.8675273656845093,-1.9193553924560547,1.0,0.35
1540,-1.8675273656845093,-1.9193553924560547,1.0,0.32
1630,-1.8675273656845093,-1.9193553924560547,1.0,0.35
1720,-1.8675273656845093,-1.9193553924560547,1.0,0.33
1810,-1.8675273656845093,-1.9193553924560547,1.0,0.34
1900,-1.8675273656845093,-1.9193553924560547,1.0,0.38
1990,-1.8675273656845093,-1.9193553924560547,1.0,0.33
2080,-1.8675273656845093,-1.9193553924560547,1.0,0.32
2170,-1.8675273656845093,-1.9193553924560547,1.0,0.31
2260,-1.8675273656845093,-1.9193553924560547,1.0,0.37
2350,-1.4399241209030151,-1.3680646419525146,1.0,0.32
2440,-1.4399241209030151,-1.3680646419525146,1.0,0.32
2530,-1.4399241209030151,-1.3680646419525146,1.0,0.36
2620,-1.4399241209030151,-1.3680646419525146,1.0,0.32
2710,-1.4399241209030151,-1.3680646419525146,1.0,0.32
2800,-1.4399241209030151,-1.3680646419525146,1.0,0.36
2890,-1.4399241209030151,-1.3680646419525146,1.0,0.32
2980,-1.4399241209030151,-1.3680646419525146,1.0,0.31
3070,-1.4399241209030151,-1.3680646419525146,1.0,0.31
3160,-1.4399241209030151,-1.3680646419525146,1.0,0.32
3250,-1.4399241209030151,-1.3680646419525146,1.0,0.31
3340,-1.4399241209030151,-1.3680646419525146,1.0,0.31
3430,-1.4399241209030151,-1.3680646419525146,1.0,0.44
3520,-1.4399241209030151,-1.3680646419525146,1.0,0.34
3610,-1.4399241209030151,-1.3680646419525146,1.0,0.35
3700,-1.4399241209030151,-1.3680646419525146,1.0,0.31
3790,-1.4399241209030151,-1.3680646419525146,1.0,0.38
3880,-1.4399241209030151,-1.3680646419525146,1.0,0.41
3970,-1.4399241209030151,-1.3680646419525146,1.0,0.35
4060,-1.4399241209030151,-1.3680646419525146,1.0,0.33
4150,-1.4399241209030151,-1.3680646419525146,1.0,0.32
4240,-1.4399241209030151,-1.3680646419525146,1.0,0.34
4330,-1.4399241209030151,-1.3680646419525146,1.0,0.32
4420,-1.4399241209030151,-1.3680646419525146,1.0,0.33
4510,-1.4399241209030151,-1.3680646419525146,1.0,0.32
4600,-1.4399241209030151,-1.3680646419525146,1.0,0.36
4690,-1.4399241209030151,-1.3680646419525146,1.0,0.33
4780,-1.4399241209030151,-1.3680646419525146,1.0,0.32
