evaluation,fitness,test_accuracy,uniqueness,time
100,-0.2653537392616272,-0.19114774465560913,1.0,1.39
190,-0.2653537392616272,-0.19114774465560913,1.0,1.66
280,-0.2653537392616272,-0.19114774465560913,1.0,1.11
370,-0.07655733823776245,-0.017467975616455078,1.0,1.07
460,-0.07655733823776245,-0.017467975616455078,1.0,0.96
550,-0.07655733823776245,-0.017467975616455078,1.0,1.10
640,-0.07655733823776245,-0.017467975616455078,1.0,0.86
730,-0.07655733823776245,-0.017467975616455078,1.0,0.80
820,-0.07655733823776245,-0.017467975616455078,1.0,0.95
910,-0.07655733823776245,-0.017467975616455078,1.0,0.84
1000,-0.07655733823776245,-0.017467975616455078,1.0,0.84
1090,-0.07655733823776245,-0.017467975616455078,1.0,0.74
1180,-0.07655733823776245,-0.017467975616455078,1.0,1.00
1270,-0.07655733823776245,-0.017467975616455078,1.0,0.73
1360,-0.07655733823776245,-0.017467975616455078,1.0,0.97
1450,-0.07655733823776245,-0.017467975616455078,1.0,0.76
1540,-0.07655733823776245,-0.017467975616455078,1.0,0.81
1630,-0.07655733823776245,-0.017467975616455078,1.0,0.84
1720,-0.07655733823776245,-0.017467975616455078,1.0,1.06
1810,-0.07655733823776245,-0.017467975616455078,1.0,0.88
1900,-0.07655733823776245,-0.017467975616455078,1.0,1.19
1990,-0.07655733823776245,-0.017467975616455078,1.0,1.04
2080,-0.07655733823776245,-0.017467975616455078,1.0,1.10
2170,-0.07655733823776245,-0.017467975616455078,1.0,0.85
2260,-0.07655733823776245,-0.017467975616455078,1.0,1.21
2350,-0.07655733823776245,-0.017467975616455078,1.0,1.17
2440,-0.07655733823776245,-0.017467975616455078,1.0,0.88
2530,-0.07655733823776245,-0.017467975616455078,1.0,0.79
2620,-0.07655733823776245,-0.017467975616455078,1.0,1.34
2710,-0.07655733823776245,-0.017467975616455078,1.0,0.92
2800,-0.07655733823776245,-0.017467975616455078,1.0,0.75
2890,-0.07655733823776245,-0.017467975616455078,1.0,0.82
2980,-0.07655733823776245,-0.017467975616455078,1.0,0.82
3070,-0.07655733823776245,-0.017467975616455078,1.0,1.08
3160,-0.07655733823776245,-0.017467975616455078,1.0,1.02
3250,-0.07655733823776245,-0.017467975616455078,1.0,0.85
3340,-0.07655733823776245,-0.017467975616455078,1.0,1.25
3430,-0.07655733823776245,-0.017467975616455078,1.0,0.99
3520,-0.07655733823776245,-0.017467975616455078,1.0,0.72
3610,-0.07655733823776245,-0.017467975616455078,1.0,1.12
3700,-0.07655733823776245,-0.017467975616455078,1.0,1.08
3790,-0.07655733823776245,-0.017467975616455078,1.0,0.74
3880,-0.07655733823776245,-0.017467975616455078,1.0,0.85
3970,-0.07655733823776245,-0.017467975616455078,1.0,0.83
4060,-0.07655733823776245,-0.017467975616455078,1.0,1.03
4150,-0.07655733823776245,-0.017467975616455078,1.0,1.06
4240,-0.07655733823776245,-0.017467975616455078,1.0,1.03
4330,-0.07655733823776245,-0.017467975616455078,1.0,1.09
4420,-0.04340696334838867,-0.012724459171295166,1.0,0.79
4510,-0.04340696334838867,-0.012724459171295166,1.0,1.09
4600,-0.04340696334838867,-0.012724459171295166,1.0,0.92
4690,-0.04340696334838867,-0.012724459171295166,1.0,0.81
4780,-0.04340696334838867,-0.012724459171295166,1.0,0.83
4870,-0.04340696334838867,-0.012724459171295166,1.0,0.96
4960,-0.04340696334838867,-0.012724459171295166,1.0,1.20
5050,-0.04340696334838867,-0.012724459171295166,1.0,1.01
5140,-0.04340696334838867,-0.012724459171295166,1.0,0.82
5230,-0.04340696334838867,-0.012724459171295166,1.0,0.86
5320,-0.04340696334838867,-0.012724459171295166,1.0,1.32
5410,-0.04340696334838867,-0.012724459171295166,1.0,0.92
5500,-0.04340696334838867,-0.012724459171295166,1.0,0.96
5590,-0.04340696334838867,-0.012724459171295166,1.0,1.36
5680,-0.04340696334838867,-0.012724459171295166,1.0,0.83
5770,-0.04340696334838867,-0.012724459171295166,1.0,0.75
5860,-0.04340696334838867,-0.012724459171295166,1.0,1.26
5950,-0.04340696334838867,-0.012724459171295166,1.0,1.02
6040,-0.04340696334838867,-0.012724459171295166,1.0,1.19
6130,-0.04340696334838867,-0.012724459171295166,1.0,1.00
6220,-0.04340696334838867,-0.012724459171295166,1.0,0.91
6310,-0.04340696334838867,-0.012724459171295166,1.0,0.83
6400,-0.04340696334838867,-0.012724459171295166,1.0,0.91
6490,-0.04340696334838867,-0.012724459171295166,1.0,0.73
6580,-0.04340696334838867,-0.012724459171295166,1.0,1.30
6670,-0.04340696334838867,-0.012724459171295166,1.0,1.30
6760,-0.04340696334838867,-0.012724459171295166,1.0,0.73
6850,-0.04340696334838867,-0.012724459171295166,1.0,1.06
6940,-0.04340696334838867,-0.012724459171295166,1.0,0.92
7030,0.0818595290184021,0.17196118831634521,1.0,1.38
7120,0.0818595290184021,0.17196118831634521,1.0,1.04
7210,0.0818595290184021,0.17196118831634521,1.0,0.90
7300,0.0818595290184021,0.17196118831634521,1.0,1.39
7390,0.0818595290184021,0.17196118831634521,1.0,0.88
7480,0.0818595290184021,0.17196118831634521,1.0,0.86
7570,0.0818595290184021,0.17196118831634521,1.0,0.80
7660,0.0818595290184021,0.17196118831634521,1.0,0.71
7750,0.0818595290184021,0.17196118831634521,1.0,0.80
7840,0.0818595290184021,0.17196118831634521,1.0,0.86
7930,0.0818595290184021,0.17196118831634521,1.0,1.01
8020,0.0818595290184021,0.17196118831634521,1.0,0.83
8110,0.0818595290184021,0.17196118831634521,1.0,1.52
8200,0.0818595290184021,0.17196118831634521,1.0,2.00
8290,0.0818595290184021,0.17196118831634521,1.0,0.97
8380,0.0818595290184021,0.17196118831634521,1.0,0.78
8470,0.0818595290184021,0.17196118831634521,1.0,0.98
8560,0.0818595290184021,0.17196118831634521,1.0,0.70
8650,0.0818595290184021,0.17196118831634521,1.0,0.89
8740,0.0818595290184021,0.17196118831634521,1.0,0.77
8830,0.0818595290184021,0.17196118831634521,1.0,1.02
8920,0.0818595290184021,0.17196118831634521,1.0,1.08
9010,0.0818595290184021,0.17196118831634521,1.0,0.99
9100,0.0818595290184021,0.17196118831634521,1.0,0.73
