evaluation,fitness,test_accuracy,uniqueness,time
1000,0.17886722087860107,0.12221992015838623,1.0,2.43
1990,0.17886722087860107,0.12221992015838623,1.0,2.71
2980,0.17886722087860107,0.12221992015838623,1.0,2.56
3970,0.2206510305404663,0.14898192882537842,1.0,2.45
4960,0.2206510305404663,0.14898192882537842,1.0,2.11
5950,0.2206510305404663,0.14898192882537842,1.0,1.96
6940,0.2206510305404663,0.14898192882537842,1.0,2.46
7930,0.2206510305404663,0.14898192882537842,1.0,2.76
8920,0.2206510305404663,0.14898192882537842,1.0,2.70
9910,0.2206510305404663,0.14898192882537842,1.0,2.59
10900,0.2206510305404663,0.14898192882537842,1.0,2.00
11890,0.2206510305404663,0.14898192882537842,1.0,2.19
12880,0.2206510305404663,0.14898192882537842,1.0,2.42
13870,0.2206510305404663,0.14898192882537842,1.0,2.83
14860,0.24859577417373657,0.29245930910110474,1.0,2.53
15850,0.24859577417373657,0.29245930910110474,1.0,2.17
16840,0.24859577417373657,0.29245930910110474,1.0,2.54
17830,0.24859577417373657,0.29245930910110474,1.0,2.22
18820,0.24859577417373657,0.29245930910110474,1.0,2.56
19810,0.24859577417373657,0.29245930910110474,1.0,2.50
20800,0.24859577417373657,0.29245930910110474,1.0,2.59
21790,0.24859577417373657,0.29245930910110474,1.0,2.29
22780,0.24859577417373657,0.29245930910110474,1.0,2.07
23770,0.24859577417373657,0.29245930910110474,1.0,2.30
24760,0.24859577417373657,0.29245930910110474,1.0,2.49
25750,0.24859577417373657,0.29245930910110474,1.0,2.62
26740,0.24859577417373657,0.29245930910110474,1.0,2.33
27730,0.24859577417373657,0.29245930910110474,1.0,1.92
28720,0.24859577417373657,0.29245930910110474,1.0,2.05
29710,0.24859577417373657,0.29245930910110474,1.0,2.39
30700,0.24859577417373657,0.29245930910110474,1.0,2.67
31690,0.24859577417373657,0.29245930910110474,1.0,2.48
32680,0.24859577417373657,0.29245930910110474,1.0,2.08
33670,0.24859577417373657,0.29245930910110474,1.0,2.16
34660,0.24859577417373657,0.29245930910110474,1.0,2.09
35650,0.24859577417373657,0.29245930910110474,1.0,2.47
36640,0.24859577417373657,0.29245930910110474,1.0,2.53
37630,0.24859577417373657,0.29245930910110474,1.0,2.26
38620,0.24859577417373657,0.29245930910110474,1.0,1.96
39610,0.24859577417373657,0.29245930910110474,1.0,1.79
40600,0.24859577417373657,0.29245930910110474,1.0,2.50
41590,0.24859577417373657,0.29245930910110474,1.0,2.32
42580,0.24859577417373657,0.29245930910110474,1.0,2.35
43570,0.24859577417373657,0.29245930910110474,1.0,2.25
44560,0.24859577417373657,0.29245930910110474,1.0,2.16
45550,0.24859577417373657,0.29245930910110474,1.0,2.01
46540,0.24859577417373657,0.29245930910110474,1.0,1.83
47530,0.24859577417373657,0.29245930910110474,1.0,1.99
48520,0.24859577417373657,0.29245930910110474,1.0,2.12
49510,0.24859577417373657,0.29245930910110474,1.0,2.34
50500,0.24859577417373657,0.29245930910110474,1.0,2.26
51490,0.24859577417373657,0.29245930910110474,1.0,1.52
52480,0.24859577417373657,0.29245930910110474,1.0,1.82
53470,0.24859577417373657,0.29245930910110474,1.0,1.85
54460,0.24859577417373657,0.29245930910110474,1.0,2.16
55450,0.24859577417373657,0.29245930910110474,1.0,2.16
56440,0.24859577417373657,0.29245930910110474,1.0,2.04
57430,0.24859577417373657,0.29245930910110474,1.0,2.07
58420,0.24859577417373657,0.29245930910110474,1.0,1.89
59410,0.24859577417373657,0.29245930910110474,1.0,1.82
60400,0.24859577417373657,0.29245930910110474,1.0,2.00
61390,0.24859577417373657,0.29245930910110474,1.0,1.85
62380,0.24859577417373657,0.29245930910110474,1.0,1.76
63370,0.24859577417373657,0.29245930910110474,1.0,1.73
64360,0.24859577417373657,0.29245930910110474,1.0,1.94
65350,0.24859577417373657,0.29245930910110474,1.0,2.09
66340,0.24859577417373657,0.29245930910110474,1.0,2.32
67330,0.24859577417373657,0.29245930910110474,1.0,2.06
68320,0.24859577417373657,0.29245930910110474,1.0,1.99
69310,0.24859577417373657,0.29245930910110474,1.0,1.80
70300,0.24859577417373657,0.29245930910110474,1.0,1.86
71290,0.24859577417373657,0.29245930910110474,1.0,2.07
72280,0.24859577417373657,0.29245930910110474,1.0,1.94
73270,0.24859577417373657,0.29245930910110474,1.0,1.89
74260,0.24859577417373657,0.29245930910110474,1.0,1.79
75250,0.24859577417373657,0.29245930910110474,1.0,1.83
76240,0.24859577417373657,0.29245930910110474,1.0,1.83
77230,0.24859577417373657,0.29245930910110474,1.0,1.77
78220,0.24859577417373657,0.29245930910110474,1.0,1.98
79210,0.273698627948761,0.21372759342193604,1.0,2.06
80200,0.273698627948761,0.21372759342193604,1.0,1.83
81190,0.273698627948761,0.21372759342193604,1.0,1.65
82180,0.273698627948761,0.21372759342193604,1.0,1.92
83170,0.273698627948761,0.21372759342193604,1.0,1.91
84160,0.273698627948761,0.21372759342193604,1.0,1.97
