evaluation,fitness,test_accuracy,uniqueness,time
1000,0.4288119077682495,0.1256123185157776,1.0,1.52
1990,0.4288119077682495,0.1256123185157776,1.0,1.64
2980,0.4288119077682495,0.1256123185157776,1.0,1.40
3970,0.4288119077682495,0.1256123185157776,1.0,1.41
4960,0.4288119077682495,0.1256123185157776,1.0,1.41
5950,0.4288119077682495,0.1256123185157776,1.0,1.49
6940,0.4288119077682495,0.1256123185157776,1.0,1.43
7930,0.4288119077682495,0.1256123185157776,1.0,1.37
8920,0.4288119077682495,0.1256123185157776,1.0,1.42
9910,0.4288119077682495,0.1256123185157776,1.0,1.46
10900,0.4288119077682495,0.1256123185157776,1.0,1.44
11890,0.4288119077682495,0.1256123185157776,1.0,1.42
12880,0.4288119077682495,0.1256123185157776,1.0,1.39
13870,0.4288119077682495,0.1256123185157776,1.0,1.39
14860,0.4288119077682495,0.1256123185157776,1.0,1.50
15850,0.4288119077682495,0.1256123185157776,1.0,1.36
16840,0.4288119077682495,0.1256123185157776,1.0,1.49
17830,0.4288119077682495,0.1256123185157776,1.0,1.37
18820,0.4288119077682495,0.1256123185157776,1.0,1.46
19810,0.4288119077682495,0.1256123185157776,1.0,1.45
20800,0.4288119077682495,0.1256123185157776,1.0,1.36
21790,0.4288119077682495,0.1256123185157776,1.0,1.48
22780,0.4288119077682495,0.1256123185157776,1.0,1.42
23770,0.4288119077682495,0.1256123185157776,1.0,1.48
24760,0.4288119077682495,0.1256123185157776,1.0,1.38
25750,0.4288119077682495,0.1256123185157776,1.0,1.46
26740,0.4288119077682495,0.1256123185157776,1.0,1.50
27730,0.4288119077682495,0.1256123185157776,1.0,1.44
28720,0.4288119077682495,0.1256123185157776,1.0,1.47
29710,0.4288119077682495,0.1256123185157776,1.0,1.43
30700,0.8749970197677612,0.8427827954292297,1.0,1.53
31690,0.8749970197677612,0.8427827954292297,1.0,1.40
32680,0.8749970197677612,0.8427827954292297,1.0,1.46
33670,0.8749970197677612,0.8427827954292297,1.0,1.52
34660,0.8749970197677612,0.8427827954292297,1.0,1.37
35650,0.8749970197677612,0.8427827954292297,1.0,1.46
36640,0.8749970197677612,0.8427827954292297,1.0,1.38
37630,0.8749970197677612,0.8427827954292297,1.0,1.50
38620,0.8749970197677612,0.8427827954292297,1.0,1.46
39610,0.8749970197677612,0.8427827954292297,1.0,1.44
40600,0.8749970197677612,0.8427827954292297,1.0,1.47
41590,0.8749970197677612,0.8427827954292297,1.0,1.39
42580,0.8749970197677612,0.8427827954292297,1.0,1.45
43570,0.8749970197677612,0.8427827954292297,1.0,1.49
44560,0.8749970197677612,0.8427827954292297,1.0,1.44
45550,0.8749970197677612,0.8427827954292297,1.0,1.54
46540,0.8749970197677612,0.8427827954292297,1.0,1.48
47530,0.8749970197677612,0.8427827954292297,1.0,1.38
48520,0.8749970197677612,0.8427827954292297,1.0,1.41
49510,0.8749970197677612,0.8427827954292297,1.0,1.56
50500,0.8749970197677612,0.8427827954292297,1.0,1.42
51490,0.8749970197677612,0.8427827954292297,1.0,1.51
52480,0.8749970197677612,0.8427827954292297,1.0,1.51
53470,0.8749970197677612,0.8427827954292297,1.0,1.42
54460,0.8749970197677612,0.8427827954292297,1.0,1.39
55450,0.8749970197677612,0.8427827954292297,1.0,1.38
56440,0.8749970197677612,0.8427827954292297,1.0,1.39
57430,0.8749970197677612,0.8427827954292297,1.0,1.47
58420,0.8749970197677612,0.8427827954292297,1.0,1.53
59410,0.8749970197677612,0.8427827954292297,1.0,1.45
60400,0.8749970197677612,0.8427827954292297,1.0,1.46
61390,0.8749970197677612,0.8427827954292297,1.0,1.49
62380,0.8749970197677612,0.8427827954292297,1.0,1.43
63370,0.8749970197677612,0.8427827954292297,1.0,1.38
64360,0.8749970197677612,0.8427827954292297,1.0,1.44
65350,0.8749970197677612,0.8427827954292297,1.0,1.48
66340,0.8749970197677612,0.8427827954292297,1.0,1.42
67330,0.8749970197677612,0.8427827954292297,1.0,1.50
68320,0.8749970197677612,0.8427827954292297,1.0,1.36
69310,0.8749970197677612,0.8427827954292297,1.0,1.47
70300,0.8749970197677612,0.8427827954292297,1.0,1.44
71290,0.8749970197677612,0.8427827954292297,1.0,1.52
72280,0.8749970197677612,0.8427827954292297,1.0,1.42
73270,0.8749970197677612,0.8427827954292297,1.0,1.38
74260,0.8749970197677612,0.8427827954292297,1.0,1.31
75250,0.8749970197677612,0.8427827954292297,1.0,1.40
76240,0.8749970197677612,0.8427827954292297,1.0,1.32
77230,0.8749970197677612,0.8427827954292297,1.0,1.40
78220,0.8749970197677612,0.8427827954292297,1.0,1.42
79210,0.8749970197677612,0.8427827954292297,1.0,1.48
80200,0.8749970197677612,0.8427827954292297,1.0,1.39
81190,0.8749970197677612,0.8427827954292297,1.0,1.38
82180,0.8749970197677612,0.8427827954292297,1.0,1.48
83170,0.8749970197677612,0.8427827954292297,1.0,1.32
84160,0.8749970197677612,0.8427827954292297,1.0,1.34
85150,0.8749970197677612,0.8427827954292297,1.0,1.37
86140,0.8749970197677612,0.8427827954292297,1.0,1.33
87130,0.8749970197677612,0.8427827954292297,1.0,1.37
88120,0.8749970197677612,0.8427827954292297,1.0,1.39
89110,0.8749970197677612,0.8427827954292297,1.0,1.58
90100,0.8749970197677612,0.8427827954292297,1.0,1.71
91090,0.8749970197677612,0.8427827954292297,1.0,1.42
92080,0.8749970197677612,0.8427827954292297,1.0,1.39
93070,0.8749970197677612,0.8427827954292297,1.0,1.55
94060,0.8749970197677612,0.8427827954292297,1.0,1.38
95050,0.8749970197677612,0.8427827954292297,1.0,1.36
96040,0.8749970197677612,0.8427827954292297,1.0,1.54
97030,0.8749970197677612,0.8427827954292297,1.0,1.50
