evaluation,fitness,test_accuracy,uniqueness,time
0,-1.8138737678527832,-1.9338082075119019,1.0,1.43
100,-1.8138737678527832,-1.9338082075119019,1.0,1.43
200,-1.8138737678527832,-1.9338082075119019,1.0,1.43
300,-1.8138737678527832,-1.9338082075119019,1.0,1.43
400,-1.8138737678527832,-1.9338082075119019,1.0,1.43
500,-1.8138737678527832,-1.9338082075119019,1.0,1.43
600,-1.8138737678527832,-1.9338082075119019,1.0,1.43
700,-1.8138737678527832,-1.9338082075119019,1.0,1.43
800,-1.8138737678527832,-1.9338082075119019,1.0,1.43
900,-1.8138737678527832,-1.9338082075119019,1.0,1.43
1000,-1.8138737678527832,-1.9338082075119019,1.0,1.43
1100,-1.8138737678527832,-1.9338082075119019,1.0,1.43
1200,-1.8138737678527832,-1.9338082075119019,1.0,1.43
1300,-1.8138737678527832,-1.9338082075119019,1.0,1.43
1400,-1.8138737678527832,-1.9338082075119019,1.0,1.43
1500,-1.8138737678527832,-1.9338082075119019,1.0,1.43
1600,-1.8138737678527832,-1.9338082075119019,1.0,1.43
1700,-1.8138737678527832,-1.9338082075119019,1.0,1.43
1800,-1.8138737678527832,-1.9338082075119019,1.0,1.43
1900,-1.8138737678527832,-1.9338082075119019,1.0,1.43
2000,-1.8138737678527832,-1.9338082075119019,1.0,1.43
2100,-1.8138737678527832,-1.9338082075119019,1.0,1.43
2200,-1.8138737678527832,-1.9338082075119019,1.0,1.43
2300,-1.8138737678527832,-1.9338082075119019,1.0,1.43
2400,-1.8138737678527832,-1.9338082075119019,1.0,1.43
2500,-1.8138737678527832,-1.9338082075119019,1.0,1.43
2600,-1.8138737678527832,-1.9338082075119019,1.0,1.43
2700,-1.8138737678527832,-1.9338082075119019,1.0,1.43
2800,-1.8138737678527832,-1.9338082075119019,1.0,1.43
2900,-1.8138737678527832,-1.9338082075119019,1.0,1.43
3000,-1.8138737678527832,-1.9338082075119019,1.0,1.43
3100,-1.8138737678527832,-1.9338082075119019,1.0,1.43
3200,-1.8138737678527832,-1.9338082075119019,1.0,1.43
3300,-1.8138737678527832,-1.9338082075119019,1.0,1.43
3400,-1.8138737678527832,-1.9338082075119019,1.0,1.43
3500,-1.8138737678527832,-1.9338082075119019,1.0,1.43
3600,-1.8138737678527832,-1.9338082075119019,1.0,1.43
3700,-1.8138737678527832,-1.9338082075119019,1.0,1.43
3800,-1.8138737678527832,-1.9338082075119019,1.0,1.43
3900,-1.8138737678527832,-1.9338082075119019,1.0,1.43
4000,-1.8138737678527832,-1.9338082075119019,1.0,1.43
4100,-1.8138737678527832,-1.9338082075119019,1.0,1.43
4200,-1.8138737678527832,-1.9338082075119019,1.0,1.43
4300,-1.8138737678527832,-1.9338082075119019,1.0,1.43
