evaluation,fitness,test_accuracy,uniqueness,time
0,-0.04981261491775513,-0.10928791761398315,1.0,1.29
100,-0.04981261491775513,-0.10928791761398315,1.0,1.29
200,-0.04981261491775513,-0.10928791761398315,1.0,1.29
300,-0.04981261491775513,-0.10928791761398315,1.0,1.29
400,-0.04981261491775513,-0.10928791761398315,1.0,1.29
500,-0.04981261491775513,-0.10928791761398315,1.0,1.29
600,-0.04981261491775513,-0.10928791761398315,1.0,1.29
700,-0.04981261491775513,-0.10928791761398315,1.0,1.29
800,-0.048033177852630615,-0.10527360439300537,1.0,1.29
900,-0.048033177852630615,-0.10527360439300537,1.0,1.29
1000,-0.048033177852630615,-0.10527360439300537,1.0,1.29
1100,-0.048033177852630615,-0.10527360439300537,1.0,1.29
1200,-0.048033177852630615,-0.10527360439300537,1.0,1.29
1300,-0.048033177852630615,-0.10527360439300537,1.0,1.29
1400,-0.048033177852630615,-0.10527360439300537,1.0,1.29
1500,-0.048033177852630615,-0.10527360439300537,1.0,1.29
1600,-0.048033177852630615,-0.10527360439300537,1.0,1.29
1700,0.024992287158966064,0.08638346195220947,1.0,1.29
1800,0.024992287158966064,0.08638346195220947,1.0,1.29
1900,0.024992287158966064,0.08638346195220947,1.0,1.29
2000,0.024992287158966064,0.08638346195220947,1.0,1.29
2100,0.024992287158966064,0.08638346195220947,1.0,1.29
2200,0.024992287158966064,0.08638346195220947,1.0,1.29
2300,0.024992287158966064,0.08638346195220947,1.0,1.29
2400,0.024992287158966064,0.08638346195220947,1.0,1.29
2500,0.024992287158966064,0.08638346195220947,1.0,1.29
2600,0.024992287158966064,0.08638346195220947,1.0,1.29
2700,0.024992287158966064,0.08638346195220947,1.0,1.29
2800,0.024992287158966064,0.08638346195220947,1.0,1.29
2900,0.024992287158966064,0.08638346195220947,1.0,1.29
3000,0.024992287158966064,0.08638346195220947,1.0,1.29
3100,0.024992287158966064,0.08638346195220947,1.0,1.29
3200,0.024992287158966064,0.08638346195220947,1.0,1.29
3300,0.024992287158966064,0.08638346195220947,1.0,1.29
3400,0.024992287158966064,0.08638346195220947,1.0,1.29
3500,0.024992287158966064,0.08638346195220947,1.0,1.29
3600,0.024992287158966064,0.08638346195220947,1.0,1.29
3700,0.024992287158966064,0.08638346195220947,1.0,1.29
3800,0.024992287158966064,0.08638346195220947,1.0,1.29
3900,0.024992287158966064,0.08638346195220947,1.0,1.29
4000,0.024992287158966064,0.08638346195220947,1.0,1.29
4100,0.024992287158966064,0.08638346195220947,1.0,1.29
4200,0.024992287158966064,0.08638346195220947,1.0,1.29
4300,0.024992287158966064,0.08638346195220947,1.0,1.29
4400,0.024992287158966064,0.08638346195220947,1.0,1.29
4500,0.024992287158966064,0.08638346195220947,1.0,1.29
4600,0.024992287158966064,0.08638346195220947,1.0,1.29
4700,0.024992287158966064,0.08638346195220947,1.0,1.29
4800,0.024992287158966064,0.08638346195220947,1.0,1.29
4900,0.024992287158966064,0.08638346195220947,1.0,1.29
5000,0.024992287158966064,0.08638346195220947,1.0,1.29
5100,0.024992287158966064,0.08638346195220947,1.0,1.29
5200,0.02548879384994507,0.09703752398490906,1.0,1.29
5300,0.02548879384994507,0.09703752398490906,1.0,1.29
5400,0.02548879384994507,0.09703752398490906,1.0,1.29
5500,0.07073795795440674,-0.054319679737091064,1.0,1.29
5600,0.07073795795440674,-0.054319679737091064,1.0,1.29
5700,0.07073795795440674,-0.054319679737091064,1.0,1.29
5800,0.07073795795440674,-0.054319679737091064,1.0,1.29
5900,0.07073795795440674,-0.054319679737091064,1.0,1.29
6000,0.07073795795440674,-0.054319679737091064,1.0,1.29
6100,0.07073795795440674,-0.054319679737091064,1.0,1.29
6200,0.07073795795440674,-0.054319679737091064,1.0,1.29
6300,0.07073795795440674,-0.054319679737091064,1.0,1.29
6400,0.07073795795440674,-0.054319679737091064,1.0,1.29
6500,0.07073795795440674,-0.054319679737091064,1.0,1.29
6600,0.07073795795440674,-0.054319679737091064,1.0,1.29
6700,0.07073795795440674,-0.054319679737091064,1.0,1.29
6800,0.07073795795440674,-0.054319679737091064,1.0,1.29
6900,0.07073795795440674,-0.054319679737091064,1.0,1.29
7000,0.07073795795440674,-0.054319679737091064,1.0,1.29
7100,0.07073795795440674,-0.054319679737091064,1.0,1.29
7200,0.07073795795440674,-0.054319679737091064,1.0,1.29
7300,0.07073795795440674,-0.054319679737091064,1.0,1.29
7400,0.07073795795440674,-0.054319679737091064,1.0,1.29
7500,0.07073795795440674,-0.054319679737091064,1.0,1.29
7600,0.07073795795440674,-0.054319679737091064,1.0,1.29
7700,0.07073795795440674,-0.054319679737091064,1.0,1.29
7800,0.07073795795440674,-0.054319679737091064,1.0,1.29
7900,0.07073795795440674,-0.054319679737091064,1.0,1.29
8000,0.07073795795440674,-0.054319679737091064,1.0,1.29
8100,0.07073795795440674,-0.054319679737091064,1.0,1.29
8200,0.07073795795440674,-0.054319679737091064,1.0,1.29
8300,0.1841280162334442,0.11030158400535583,1.0,1.29
8400,0.1841280162334442,0.11030158400535583,1.0,1.29
8500,0.1841280162334442,0.11030158400535583,1.0,1.29
8600,0.1841280162334442,0.11030158400535583,1.0,1.29
8700,0.1841280162334442,0.11030158400535583,1.0,1.29
8800,0.1841280162334442,0.11030158400535583,1.0,1.29
8900,0.1841280162334442,0.11030158400535583,1.0,1.29
9000,0.1841280162334442,0.11030158400535583,1.0,1.29
9100,0.1841280162334442,0.11030158400535583,1.0,1.29
9200,0.1841280162334442,0.11030158400535583,1.0,1.29
9300,0.1841280162334442,0.11030158400535583,1.0,1.29
9400,0.1841280162334442,0.11030158400535583,1.0,1.29
9500,0.1841280162334442,0.11030158400535583,1.0,1.29
9600,0.1841280162334442,0.11030158400535583,1.0,1.29
9700,0.1841280162334442,0.11030158400535583,1.0,1.29
9800,0.1841280162334442,0.11030158400535583,1.0,1.29
9900,0.1841280162334442,0.11030158400535583,1.0,1.29
10000,0.1841280162334442,0.11030158400535583,1.0,1.29
10100,0.1841280162334442,0.11030158400535583,1.0,1.29
10200,0.1841280162334442,0.11030158400535583,1.0,1.29
10300,0.1841280162334442,0.11030158400535583,1.0,1.29
10400,0.1841280162334442,0.11030158400535583,1.0,1.29
10500,0.1841280162334442,0.11030158400535583,1.0,1.29
10600,0.1841280162334442,0.11030158400535583,1.0,1.29
10700,0.1841280162334442,0.11030158400535583,1.0,1.29
10800,0.1841280162334442,0.11030158400535583,1.0,1.29
10900,0.1841280162334442,0.11030158400535583,1.0,1.29
11000,0.1841280162334442,0.11030158400535583,1.0,1.29
11100,0.1841280162334442,0.11030158400535583,1.0,1.29
11200,0.1841280162334442,0.11030158400535583,1.0,1.29
11300,0.1841280162334442,0.11030158400535583,1.0,1.29
11400,0.1841280162334442,0.11030158400535583,1.0,1.29
11500,0.1841280162334442,0.11030158400535583,1.0,1.29
11600,0.1841280162334442,0.11030158400535583,1.0,1.29
11700,0.1841280162334442,0.11030158400535583,1.0,1.29
11800,0.1841280162334442,0.11030158400535583,1.0,1.29
11900,0.1841280162334442,0.11030158400535583,1.0,1.29
12000,0.1841280162334442,0.11030158400535583,1.0,1.29
12100,0.1841280162334442,0.11030158400535583,1.0,1.29
12200,0.1841280162334442,0.11030158400535583,1.0,1.29
12300,0.1841280162334442,0.11030158400535583,1.0,1.29
12400,0.1841280162334442,0.11030158400535583,1.0,1.29
12500,0.1841280162334442,0.11030158400535583,1.0,1.29
12600,0.1841280162334442,0.11030158400535583,1.0,1.29
12700,0.1841280162334442,0.11030158400535583,1.0,1.29
12800,0.1841280162334442,0.11030158400535583,1.0,1.29
12900,0.1841280162334442,0.11030158400535583,1.0,1.29
13000,0.1841280162334442,0.11030158400535583,1.0,1.29
13100,0.1841280162334442,0.11030158400535583,1.0,1.29
13200,0.1841280162334442,0.11030158400535583,1.0,1.29
13300,0.1841280162334442,0.11030158400535583,1.0,1.29
13400,0.1841280162334442,0.11030158400535583,1.0,1.29
13500,0.22013762593269348,0.18231850862503052,1.0,1.29
13600,0.22013762593269348,0.18231850862503052,1.0,1.29
13700,0.22013762593269348,0.18231850862503052,1.0,1.29
13800,0.22013762593269348,0.18231850862503052,1.0,1.29
13900,0.22013762593269348,0.18231850862503052,1.0,1.29
14000,0.22013762593269348,0.18231850862503052,1.0,1.29
14100,0.22013762593269348,0.18231850862503052,1.0,1.29
14200,0.22013762593269348,0.18231850862503052,1.0,1.29
14300,0.22013762593269348,0.18231850862503052,1.0,1.29
14400,0.2282169759273529,0.19973742961883545,1.0,1.29
14500,0.2282169759273529,0.19973742961883545,1.0,1.29
14600,0.2282169759273529,0.19973742961883545,1.0,1.29
14700,0.2282169759273529,0.19973742961883545,1.0,1.29
14800,0.2282169759273529,0.19973742961883545,1.0,1.29
14900,0.2282169759273529,0.19973742961883545,1.0,1.29
15000,0.2282169759273529,0.19973742961883545,1.0,1.29
15100,0.2282169759273529,0.19973742961883545,1.0,1.29
15200,0.2282169759273529,0.19973742961883545,1.0,1.29
15300,0.2282169759273529,0.19973742961883545,1.0,1.29
15400,0.2282169759273529,0.19973742961883545,1.0,1.29
15500,0.2282169759273529,0.19973742961883545,1.0,1.29
15600,0.2282169759273529,0.19973742961883545,1.0,1.29
15700,0.2282169759273529,0.19973742961883545,1.0,1.29
15800,0.2282169759273529,0.19973742961883545,1.0,1.29
15900,0.2282169759273529,0.19973742961883545,1.0,1.29
16000,0.2282169759273529,0.19973742961883545,1.0,1.29
16100,0.2282169759273529,0.19973742961883545,1.0,1.29
16200,0.2282169759273529,0.19973742961883545,1.0,1.29
16300,0.2282169759273529,0.19973742961883545,1.0,1.29
16400,0.2282169759273529,0.19973742961883545,1.0,1.29
16500,0.2282169759273529,0.19973742961883545,1.0,1.29
16600,0.2282169759273529,0.19973742961883545,1.0,1.29
16700,0.2282169759273529,0.19973742961883545,1.0,1.29
16800,0.2285507321357727,0.18029308319091797,1.0,1.29
16900,0.2285507321357727,0.18029308319091797,1.0,1.29
17000,0.2285507321357727,0.18029308319091797,1.0,1.29
17100,0.2285507321357727,0.18029308319091797,1.0,1.29
17200,0.2285507321357727,0.18029308319091797,1.0,1.29
17300,0.2285507321357727,0.18029308319091797,1.0,1.29
17400,0.2285507321357727,0.18029308319091797,1.0,1.29
17500,0.2285507321357727,0.18029308319091797,1.0,1.29
17600,0.2285507321357727,0.18029308319091797,1.0,1.29
17700,0.2285507321357727,0.18029308319091797,1.0,1.29
17800,0.2285507321357727,0.18029308319091797,1.0,1.29
17900,0.2285507321357727,0.18029308319091797,1.0,1.29
18000,0.2285507321357727,0.18029308319091797,1.0,1.29
18100,0.2285507321357727,0.18029308319091797,1.0,1.29
18200,0.2285507321357727,0.18029308319091797,1.0,1.29
18300,0.2285507321357727,0.18029308319091797,1.0,1.29
18400,0.2285507321357727,0.18029308319091797,1.0,1.29
18500,0.2285507321357727,0.18029308319091797,1.0,1.29
18600,0.2285507321357727,0.18029308319091797,1.0,1.29
18700,0.2285507321357727,0.18029308319091797,1.0,1.29
18800,0.2285507321357727,0.18029308319091797,1.0,1.29
18900,0.2285507321357727,0.18029308319091797,1.0,1.29
19000,0.2285507321357727,0.18029308319091797,1.0,1.29
19100,0.2285507321357727,0.18029308319091797,1.0,1.29
19200,0.2285507321357727,0.18029308319091797,1.0,1.29
19300,0.2285507321357727,0.18029308319091797,1.0,1.29
19400,0.2285507321357727,0.18029308319091797,1.0,1.29
19500,0.2285507321357727,0.18029308319091797,1.0,1.29
19600,0.2285507321357727,0.18029308319091797,1.0,1.29
19700,0.2285507321357727,0.18029308319091797,1.0,1.29
19800,0.2285507321357727,0.18029308319091797,1.0,1.29
19900,0.2285507321357727,0.18029308319091797,1.0,1.29
20000,0.2285507321357727,0.18029308319091797,1.0,1.29
20100,0.2285507321357727,0.18029308319091797,1.0,1.29
20200,0.2285507321357727,0.18029308319091797,1.0,1.29
20300,0.2285507321357727,0.18029308319091797,1.0,1.29
20400,0.2285507321357727,0.18029308319091797,1.0,1.29
20500,0.2285507321357727,0.18029308319091797,1.0,1.29
20600,0.2285507321357727,0.18029308319091797,1.0,1.29
20700,0.2285507321357727,0.18029308319091797,1.0,1.29
20800,0.2285507321357727,0.18029308319091797,1.0,1.29
20900,0.2285507321357727,0.18029308319091797,1.0,1.29
21000,0.2285507321357727,0.18029308319091797,1.0,1.29
21100,0.2285507321357727,0.18029308319091797,1.0,1.29
21200,0.2285507321357727,0.18029308319091797,1.0,1.29
21300,0.2285507321357727,0.18029308319091797,1.0,1.29
21400,0.2285507321357727,0.18029308319091797,1.0,1.29
21500,0.2285507321357727,0.18029308319091797,1.0,1.29
21600,0.2285507321357727,0.18029308319091797,1.0,1.29
21700,0.2285507321357727,0.18029308319091797,1.0,1.29
21800,0.2285507321357727,0.18029308319091797,1.0,1.29
21900,0.2285507321357727,0.18029308319091797,1.0,1.29
22000,0.2285507321357727,0.18029308319091797,1.0,1.29
22100,0.2285507321357727,0.18029308319091797,1.0,1.29
22200,0.2285507321357727,0.18029308319091797,1.0,1.29
22300,0.2285507321357727,0.18029308319091797,1.0,1.29
22400,0.2285507321357727,0.18029308319091797,1.0,1.29
22500,0.2285507321357727,0.18029308319091797,1.0,1.29
22600,0.2285507321357727,0.18029308319091797,1.0,1.29
22700,0.2285507321357727,0.18029308319091797,1.0,1.29
22800,0.2285507321357727,0.18029308319091797,1.0,1.29
22900,0.2285507321357727,0.18029308319091797,1.0,1.29
23000,0.2285507321357727,0.18029308319091797,1.0,1.29
23100,0.2285507321357727,0.18029308319091797,1.0,1.29
23200,0.2285507321357727,0.18029308319091797,1.0,1.29
23300,0.2285507321357727,0.18029308319091797,1.0,1.29
23400,0.2285507321357727,0.18029308319091797,1.0,1.29
23500,0.2285507321357727,0.18029308319091797,1.0,1.29
23600,0.2285507321357727,0.18029308319091797,1.0,1.29
23700,0.2285507321357727,0.18029308319091797,1.0,1.29
23800,0.2285507321357727,0.18029308319091797,1.0,1.29
23900,0.2285507321357727,0.18029308319091797,1.0,1.29
24000,0.2285507321357727,0.18029308319091797,1.0,1.29
24100,0.2285507321357727,0.18029308319091797,1.0,1.29
24200,0.2285507321357727,0.18029308319091797,1.0,1.29
24300,0.2285507321357727,0.18029308319091797,1.0,1.29
24400,0.2285507321357727,0.18029308319091797,1.0,1.29
24500,0.2285507321357727,0.18029308319091797,1.0,1.29
24600,0.2285507321357727,0.18029308319091797,1.0,1.29
24700,0.2285507321357727,0.18029308319091797,1.0,1.29
24800,0.2285507321357727,0.18029308319091797,1.0,1.29
24900,0.2285507321357727,0.18029308319091797,1.0,1.29
25000,0.2285507321357727,0.18029308319091797,1.0,1.29
25100,0.2285507321357727,0.18029308319091797,1.0,1.29
25200,0.2285507321357727,0.18029308319091797,1.0,1.29
25300,0.2285507321357727,0.18029308319091797,1.0,1.29
25400,0.2285507321357727,0.18029308319091797,1.0,1.29
25500,0.2285507321357727,0.18029308319091797,1.0,1.29
25600,0.2285507321357727,0.18029308319091797,1.0,1.29
25700,0.2285507321357727,0.18029308319091797,1.0,1.29
25800,0.2285507321357727,0.18029308319091797,1.0,1.29
25900,0.2285507321357727,0.18029308319091797,1.0,1.29
26000,0.2285507321357727,0.18029308319091797,1.0,1.29
26100,0.2285507321357727,0.18029308319091797,1.0,1.29
26200,0.2285507321357727,0.18029308319091797,1.0,1.29
26300,0.2285507321357727,0.18029308319091797,1.0,1.29
26400,0.2285507321357727,0.18029308319091797,1.0,1.29
26500,0.2285507321357727,0.18029308319091797,1.0,1.29
26600,0.2285507321357727,0.18029308319091797,1.0,1.29
26700,0.2285507321357727,0.18029308319091797,1.0,1.29
26800,0.2285507321357727,0.18029308319091797,1.0,1.29
26900,0.2285507321357727,0.18029308319091797,1.0,1.29
27000,0.2285507321357727,0.18029308319091797,1.0,1.29
27100,0.2285507321357727,0.18029308319091797,1.0,1.29
27200,0.2285507321357727,0.18029308319091797,1.0,1.29
27300,0.2285507321357727,0.18029308319091797,1.0,1.29
27400,0.2285507321357727,0.18029308319091797,1.0,1.29
27500,0.2285507321357727,0.18029308319091797,1.0,1.29
27600,0.2285507321357727,0.18029308319091797,1.0,1.29
27700,0.2285507321357727,0.18029308319091797,1.0,1.29
27800,0.2285507321357727,0.18029308319091797,1.0,1.29
27900,0.2285507321357727,0.18029308319091797,1.0,1.29
28000,0.2285507321357727,0.18029308319091797,1.0,1.29
28100,0.2285507321357727,0.18029308319091797,1.0,1.29
28200,0.2285507321357727,0.18029308319091797,1.0,1.29
28300,0.2285507321357727,0.18029308319091797,1.0,1.29
28400,0.2285507321357727,0.18029308319091797,1.0,1.29
28500,0.2285507321357727,0.18029308319091797,1.0,1.29
28600,0.2285507321357727,0.18029308319091797,1.0,1.29
28700,0.2285507321357727,0.18029308319091797,1.0,1.29
28800,0.2285507321357727,0.18029308319091797,1.0,1.29
28900,0.2285507321357727,0.18029308319091797,1.0,1.29
29000,0.2285507321357727,0.18029308319091797,1.0,1.29
29100,0.2285507321357727,0.18029308319091797,1.0,1.29
29200,0.2285507321357727,0.18029308319091797,1.0,1.29
29300,0.2285507321357727,0.18029308319091797,1.0,1.29
29400,0.2285507321357727,0.18029308319091797,1.0,1.29
29500,0.2285507321357727,0.18029308319091797,1.0,1.29
29600,0.2285507321357727,0.18029308319091797,1.0,1.29
29700,0.2285507321357727,0.18029308319091797,1.0,1.29
29800,0.2285507321357727,0.18029308319091797,1.0,1.29
29900,0.2285507321357727,0.18029308319091797,1.0,1.29
30000,0.2285507321357727,0.18029308319091797,1.0,1.29
30100,0.2285507321357727,0.18029308319091797,1.0,1.29
30200,0.2285507321357727,-276.93145751953125,1.0,1.22
30300,0.2285507321357727,-276.93145751953125,1.0,1.22
30400,0.2285507321357727,-276.93145751953125,1.0,1.22
30500,0.2285507321357727,-276.93145751953125,1.0,1.22
30600,0.2285507321357727,-276.93145751953125,1.0,1.22
30700,0.2285507321357727,-276.93145751953125,1.0,1.22
30800,0.2285507321357727,-276.93145751953125,1.0,1.22
30900,0.2285507321357727,-276.93145751953125,1.0,1.22
31000,0.2285507321357727,-276.93145751953125,1.0,1.22
31100,0.2285507321357727,-276.93145751953125,1.0,1.22
31200,0.2285507321357727,-276.93145751953125,1.0,1.22
31300,0.2285507321357727,-276.93145751953125,1.0,1.22
31400,0.2285507321357727,-276.93145751953125,1.0,1.22
31500,0.2285507321357727,-276.93145751953125,1.0,1.22
31600,0.2285507321357727,-276.93145751953125,1.0,1.22
31700,0.2285507321357727,-276.93145751953125,1.0,1.22
31800,0.2285507321357727,-276.93145751953125,1.0,1.22
31900,0.2285507321357727,-276.93145751953125,1.0,1.22
32000,0.2285507321357727,-276.93145751953125,1.0,1.22
32100,0.2285507321357727,-276.93145751953125,1.0,1.22
32200,0.2285507321357727,-276.93145751953125,1.0,1.22
32300,0.2285507321357727,-276.93145751953125,1.0,1.22
32400,0.2285507321357727,-276.93145751953125,1.0,1.22
32500,0.2285507321357727,-276.93145751953125,1.0,1.22
32600,0.2285507321357727,-276.93145751953125,1.0,1.22
32700,0.2285507321357727,-276.93145751953125,1.0,1.22
32800,0.2285507321357727,-276.93145751953125,1.0,1.22
32900,0.2285507321357727,-276.93145751953125,1.0,1.22
33000,0.2285507321357727,-276.93145751953125,1.0,1.22
33100,0.2285507321357727,-276.93145751953125,1.0,1.22
33200,0.2285507321357727,-276.93145751953125,1.0,1.22
33300,0.2285507321357727,-276.93145751953125,1.0,1.22
33400,0.2285507321357727,-276.93145751953125,1.0,1.22
33500,0.2285507321357727,-276.93145751953125,1.0,1.22
33600,0.2285507321357727,-276.93145751953125,1.0,1.22
33700,0.2285507321357727,-276.93145751953125,1.0,1.22
33800,0.2285507321357727,-276.93145751953125,1.0,1.22
33900,0.2285507321357727,-276.93145751953125,1.0,1.22
34000,0.2285507321357727,-276.93145751953125,1.0,1.22
34100,0.2285507321357727,-276.93145751953125,1.0,1.22
34200,0.2285507321357727,-276.93145751953125,1.0,1.22
34300,0.2285507321357727,-276.93145751953125,1.0,1.22
34400,0.2285507321357727,-276.93145751953125,1.0,1.22
34500,0.2285507321357727,-276.93145751953125,1.0,1.22
34600,0.2285507321357727,-276.93145751953125,1.0,1.22
34700,0.2285507321357727,-276.93145751953125,1.0,1.22
34800,0.2285507321357727,-276.93145751953125,1.0,1.22
34900,0.2285507321357727,-276.93145751953125,1.0,1.22
35000,0.2285507321357727,-276.93145751953125,1.0,1.22
35100,0.2285507321357727,-276.93145751953125,1.0,1.22
35200,0.2285507321357727,-276.93145751953125,1.0,1.22
35300,0.2285507321357727,-276.93145751953125,1.0,1.22
35400,0.2285507321357727,-276.93145751953125,1.0,1.22
35500,0.2285507321357727,-276.93145751953125,1.0,1.22
35600,0.2285507321357727,-276.93145751953125,1.0,1.22
35700,0.2285507321357727,-276.93145751953125,1.0,1.22
35800,0.2285507321357727,-276.93145751953125,1.0,1.22
35900,0.2285507321357727,-276.93145751953125,1.0,1.22
36000,0.2285507321357727,-276.93145751953125,1.0,1.22
36100,0.2285507321357727,-276.93145751953125,1.0,1.22
36200,0.2285507321357727,-276.93145751953125,1.0,1.22
36300,0.2285507321357727,-276.93145751953125,1.0,1.22
36400,0.2285507321357727,-276.93145751953125,1.0,1.22
36500,0.2285507321357727,-276.93145751953125,1.0,1.22
36600,0.2285507321357727,-276.93145751953125,1.0,1.22
36700,0.2285507321357727,-276.93145751953125,1.0,1.22
