evaluation,fitness,test_accuracy,uniqueness,time
0,-0.028058648109436035,-0.034188032150268555,1.0,3.42
1000,-0.028058648109436035,-0.034188032150268555,1.0,3.42
2000,-0.028058648109436035,-0.034188032150268555,1.0,3.42
3000,-0.028058648109436035,-0.034188032150268555,1.0,3.42
4000,-0.028058648109436035,-0.034188032150268555,1.0,3.42
5000,-0.028058648109436035,-0.034188032150268555,1.0,3.42
6000,-0.028058648109436035,-0.034188032150268555,1.0,3.42
7000,-0.028058648109436035,-0.034188032150268555,1.0,3.42
8000,-0.028058648109436035,-0.034188032150268555,1.0,3.42
9000,-0.028058648109436035,-0.034188032150268555,1.0,3.42
10000,-0.028058648109436035,-0.034188032150268555,1.0,3.42
11000,-0.028058648109436035,-0.034188032150268555,1.0,3.42
12000,-0.028058648109436035,-0.034188032150268555,1.0,3.42
13000,-0.028058648109436035,-0.034188032150268555,1.0,3.42
14000,-0.028058648109436035,-0.034188032150268555,1.0,3.42
15000,-0.028058648109436035,-0.034188032150268555,1.0,3.42
16000,-0.028058648109436035,-0.034188032150268555,1.0,3.42
17000,-0.028058648109436035,-0.034188032150268555,1.0,3.42
18000,-0.028058648109436035,-0.034188032150268555,1.0,3.42
19000,-0.028058648109436035,-0.034188032150268555,1.0,3.42
20000,-0.028058648109436035,-0.034188032150268555,1.0,3.42
21000,-0.028058648109436035,-0.03142058849334717,1.0,3.42
22000,-0.028058648109436035,-0.03142058849334717,1.0,3.42
23000,-0.028058648109436035,-0.03142058849334717,1.0,3.42
24000,-0.028058648109436035,-0.03142058849334717,1.0,3.42
25000,-0.028058648109436035,-0.03142058849334717,1.0,3.42
26000,-0.028058648109436035,-0.03142058849334717,1.0,3.42
27000,-0.028058648109436035,-0.03142058849334717,1.0,3.42
28000,-0.028058648109436035,-0.03142058849334717,1.0,3.42
29000,-0.028058648109436035,-0.03142058849334717,1.0,3.42
30000,-0.028058648109436035,-0.03142058849334717,1.0,3.42
31000,-0.028058648109436035,-0.03142058849334717,1.0,3.42
32000,-0.028058648109436035,-0.03142058849334717,1.0,3.42
33000,-0.028058648109436035,-0.03142058849334717,1.0,3.42
34000,-0.028058648109436035,-0.03142058849334717,1.0,3.42
35000,-0.028058648109436035,-0.03142058849334717,1.0,3.42
36000,-0.028058648109436035,-0.03142058849334717,1.0,3.42
37000,-0.028058648109436035,-0.03142058849334717,1.0,3.42
38000,-0.028058648109436035,-0.03142058849334717,1.0,3.42
39000,-0.028058648109436035,-0.03142058849334717,1.0,3.42
40000,-0.028058648109436035,-0.03142058849334717,1.0,3.42
41000,-0.028058648109436035,-0.03142058849334717,1.0,3.42
42000,-0.028058648109436035,-0.03142058849334717,1.0,3.42
43000,-0.028058648109436035,-0.03142058849334717,1.0,3.42
44000,-0.028058648109436035,-0.03142058849334717,1.0,3.42
45000,-0.028058648109436035,-0.03142058849334717,1.0,3.42
46000,-0.028058648109436035,-0.03142058849334717,1.0,3.42
47000,-0.028058648109436035,-0.03142058849334717,1.0,3.42
48000,-0.028058648109436035,-0.03142058849334717,1.0,3.42
49000,-0.007986187934875488,-0.04852980375289917,1.0,3.42
50000,-0.007986187934875488,-0.04852980375289917,1.0,3.42
51000,-0.007986187934875488,-0.04852980375289917,1.0,3.42
52000,-0.007986187934875488,-0.04852980375289917,1.0,3.42
53000,-0.007986187934875488,-0.04852980375289917,1.0,3.42
54000,-0.007986187934875488,-0.04852980375289917,1.0,3.42
55000,-0.007986187934875488,-0.04852980375289917,1.0,3.42
56000,-0.007986187934875488,-0.04852980375289917,1.0,3.42
57000,-0.007986187934875488,-0.04852980375289917,1.0,3.42
58000,-0.007986187934875488,-0.04852980375289917,1.0,3.42
59000,-0.007986187934875488,-0.04852980375289917,1.0,3.42
60000,-0.007986187934875488,-0.04852980375289917,1.0,3.42
61000,-0.007986187934875488,-0.04852980375289917,1.0,3.42
62000,-0.007986187934875488,-0.04852980375289917,1.0,3.42
63000,-0.007986187934875488,-0.04852980375289917,1.0,3.42
64000,-0.007986187934875488,-0.04852980375289917,1.0,3.42
65000,-0.007986187934875488,-0.04852980375289917,1.0,3.42
66000,-0.002877354621887207,-0.06502898782491684,1.0,3.42
67000,-0.002877354621887207,-0.06502898782491684,1.0,3.42
68000,-0.002877354621887207,-0.06502898782491684,1.0,3.42
69000,-0.002877354621887207,-0.06502898782491684,1.0,3.42
70000,-0.002877354621887207,-0.06502898782491684,1.0,3.42
71000,-0.002877354621887207,-0.06502898782491684,1.0,3.42
72000,-0.002877354621887207,-0.06502898782491684,1.0,3.42
73000,-0.002877354621887207,-0.06502898782491684,1.0,3.42
74000,-0.002877354621887207,-0.06502898782491684,1.0,3.42
75000,-0.002877354621887207,-0.06502898782491684,1.0,3.42
76000,-0.002877354621887207,-0.06502898782491684,1.0,3.42
77000,-0.002877354621887207,-0.06502898782491684,1.0,3.42
78000,-0.002877354621887207,-0.06502898782491684,1.0,3.42
79000,-0.002877354621887207,-0.06502898782491684,1.0,3.42
80000,-0.002877354621887207,-0.06502898782491684,1.0,3.42
81000,-0.002877354621887207,-0.06502898782491684,1.0,3.42
82000,-0.002877354621887207,-0.06502898782491684,1.0,3.42
83000,-0.002877354621887207,-0.06502898782491684,1.0,3.42
84000,-0.002877354621887207,-0.06502898782491684,1.0,3.42
85000,-0.002877354621887207,-0.06502898782491684,1.0,3.42
86000,-0.002877354621887207,-0.06502898782491684,1.0,3.42
87000,-0.002877354621887207,-0.06502898782491684,1.0,3.42
88000,0.039816200733184814,0.033937953412532806,1.0,3.42
