evaluation,fitness,test_accuracy,uniqueness,time
0,-1.979835033416748,-2.1901116371154785,1.0,1.15
100,-1.979835033416748,-2.1901116371154785,1.0,1.15
200,-1.979835033416748,-2.1901116371154785,1.0,1.15
300,-1.979835033416748,-2.1901116371154785,1.0,1.15
400,-1.979835033416748,-2.1901116371154785,1.0,1.15
500,-1.979835033416748,-2.1901116371154785,1.0,1.15
600,-1.979835033416748,-2.1901116371154785,1.0,1.15
700,-0.8359557390213013,-1.1148338317871094,1.0,1.15
800,-0.8359557390213013,-1.1148338317871094,1.0,1.15
900,-0.8359557390213013,-1.1148338317871094,1.0,1.15
1000,-0.8359557390213013,-1.1148338317871094,1.0,1.15
1100,-0.7105891704559326,-0.6771799325942993,1.0,1.15
1200,-0.031212329864501953,-0.0021992921829223633,1.0,1.15
1300,-0.031212329864501953,-0.0021992921829223633,1.0,1.15
1400,-0.031212329864501953,-0.0021992921829223633,1.0,1.15
1500,-0.031212329864501953,-0.0021992921829223633,1.0,1.15
1600,-0.031212329864501953,-0.0021992921829223633,1.0,1.15
1700,-0.031212329864501953,-0.0021992921829223633,1.0,1.15
1800,-0.031212329864501953,-0.0021992921829223633,1.0,1.15
1900,-0.031212329864501953,-0.0021992921829223633,1.0,1.15
2000,-0.031212329864501953,-0.0021992921829223633,1.0,1.15
2100,-0.031212329864501953,-0.0021992921829223633,1.0,1.15
2200,-0.031212329864501953,-0.0021992921829223633,1.0,1.15
2300,-0.031212329864501953,-0.0021992921829223633,1.0,1.15
2400,-0.031212329864501953,-0.0021992921829223633,1.0,1.15
2500,-0.031212329864501953,-0.0021992921829223633,1.0,1.15
2600,-0.031212329864501953,-0.0021992921829223633,1.0,1.15
2700,-0.031212329864501953,-0.0021992921829223633,1.0,1.15
2800,-0.031212329864501953,-0.0021992921829223633,1.0,1.15
2900,-0.031212329864501953,-0.0021992921829223633,1.0,1.15
3000,-0.031212329864501953,-0.0021992921829223633,1.0,1.15
3100,-0.031212329864501953,-0.0021992921829223633,1.0,1.15
3200,-0.031212329864501953,-0.0021992921829223633,1.0,1.15
3300,-0.031212329864501953,-0.0021992921829223633,1.0,1.15
3400,-0.031212329864501953,-0.0021992921829223633,1.0,1.15
3500,-0.031212329864501953,-0.0021992921829223633,1.0,1.15
3600,-0.031212329864501953,-0.0021992921829223633,1.0,1.15
3700,-0.031212329864501953,-0.0021992921829223633,1.0,1.15
3800,-0.031212329864501953,-0.0021992921829223633,1.0,1.15
3900,-0.031212329864501953,-0.0021992921829223633,1.0,1.15
4000,-0.031212329864501953,-0.0021992921829223633,1.0,1.15
4100,-0.031212329864501953,-0.0021992921829223633,1.0,1.15
4200,-0.031212329864501953,-0.0021992921829223633,1.0,1.15
4300,-0.031212329864501953,-0.0021992921829223633,1.0,1.15
4400,-0.031212329864501953,-0.0021992921829223633,1.0,1.15
4500,-0.031212329864501953,-0.0021992921829223633,1.0,1.15
4600,-0.031212329864501953,-0.0021992921829223633,1.0,1.15
4700,-0.031212329864501953,-0.0021992921829223633,1.0,1.15
4800,-0.031212329864501953,-0.0021992921829223633,1.0,1.15
4900,-0.031212329864501953,-0.0021992921829223633,1.0,1.15
5000,-0.031212329864501953,-0.0021992921829223633,1.0,1.15
5100,-0.031212329864501953,-27.70318031311035,1.0,0.93
5200,-0.031212329864501953,-27.70318031311035,1.0,0.93
5300,-0.031212329864501953,-27.70318031311035,1.0,0.93
5400,-0.031212329864501953,-27.70318031311035,1.0,0.93
5500,-0.031212329864501953,-27.70318031311035,1.0,0.93
5600,-0.031212329864501953,-27.70318031311035,1.0,0.93
5700,-0.031212329864501953,-27.70318031311035,1.0,0.93
5800,-0.031212329864501953,-27.70318031311035,1.0,0.93
5900,-0.031212329864501953,-27.70318031311035,1.0,0.93
6000,-0.031212329864501953,-27.70318031311035,1.0,0.93
6100,-0.031212329864501953,-27.70318031311035,1.0,0.93
6200,-0.031212329864501953,-27.70318031311035,1.0,0.93
6300,-0.031212329864501953,-27.70318031311035,1.0,0.93
6400,-0.031212329864501953,-27.70318031311035,1.0,0.93
6500,-0.031212329864501953,-27.70318031311035,1.0,0.93
6600,-0.031212329864501953,-27.70318031311035,1.0,0.93
6700,-0.031212329864501953,-27.70318031311035,1.0,0.93
6800,-0.019519567489624023,-0.10341775417327881,1.0,0.93
6900,-0.019519567489624023,-0.10341775417327881,1.0,0.93
7000,-0.019519567489624023,-0.10341775417327881,1.0,0.93
7100,-0.019519567489624023,-0.10341775417327881,1.0,0.93
7200,-0.019519567489624023,-0.10341775417327881,1.0,0.93
7300,-0.019519567489624023,-0.10341775417327881,1.0,0.93
7400,-0.019519567489624023,-0.10341775417327881,1.0,0.93
7500,-0.019519567489624023,-0.10341775417327881,1.0,0.93
7600,-0.019519567489624023,-0.10341775417327881,1.0,0.93
