evaluation,fitness,test_accuracy,uniqueness,time
0,-0.5491986274719238,-0.3668936491012573,1.0,0.52
100,-0.5491986274719238,-0.3668936491012573,1.0,0.52
200,-0.5491986274719238,-0.3668936491012573,1.0,0.52
300,-0.5491986274719238,-0.3668936491012573,1.0,0.52
400,-0.5491986274719238,-0.3668936491012573,1.0,0.52
500,-0.5491986274719238,-0.3668936491012573,1.0,0.52
600,-0.5491986274719238,-0.3668936491012573,1.0,0.52
700,-0.5491986274719238,-0.3668936491012573,1.0,0.52
800,-0.5491986274719238,-0.3668936491012573,1.0,0.52
900,-0.5491986274719238,-0.3668936491012573,1.0,0.52
1000,-0.5491986274719238,-0.3668936491012573,1.0,0.52
1100,-0.5491986274719238,-0.3668936491012573,1.0,0.52
1200,-0.5491986274719238,-0.3668936491012573,1.0,0.52
1300,-0.5491986274719238,-0.3668936491012573,1.0,0.52
1400,-0.5491986274719238,-0.3668936491012573,1.0,0.52
1500,-0.5491986274719238,-0.3668936491012573,1.0,0.52
1600,-0.5491986274719238,-0.3668936491012573,1.0,0.52
1700,-0.5491986274719238,-0.3668936491012573,1.0,0.52
1800,-0.35865724086761475,-0.5690896511077881,1.0,0.52
1900,-0.35865724086761475,-0.5690896511077881,1.0,0.52
2000,-0.35865724086761475,-0.5690896511077881,1.0,0.52
2100,-0.35865724086761475,-0.5690896511077881,1.0,0.52
2200,-0.35865724086761475,-0.5690896511077881,1.0,0.52
2300,-0.35865724086761475,-0.5690896511077881,1.0,0.52
2400,-0.35865724086761475,-0.5690896511077881,1.0,0.52
2500,-0.35865724086761475,-0.5690896511077881,1.0,0.52
2600,-0.35865724086761475,-0.5690896511077881,1.0,0.52
2700,-0.35865724086761475,-0.5690896511077881,1.0,0.52
2800,-0.35865724086761475,-0.5690896511077881,1.0,0.52
2900,-0.35865724086761475,-0.5690896511077881,1.0,0.52
3000,-0.35865724086761475,-0.5690896511077881,1.0,0.52
3100,-0.35865724086761475,-0.5690896511077881,1.0,0.52
3200,-0.35865724086761475,-0.5690896511077881,1.0,0.52
3300,-0.35865724086761475,-0.5690896511077881,1.0,0.52
3400,-0.35865724086761475,-0.5690896511077881,1.0,0.52
3500,-0.35865724086761475,-0.5690896511077881,1.0,0.52
3600,-0.35865724086761475,-0.5690896511077881,1.0,0.52
3700,-0.35865724086761475,-0.5690896511077881,1.0,0.52
3800,-0.35865724086761475,-0.5690896511077881,1.0,0.52
3900,-0.35865724086761475,-0.5690896511077881,1.0,0.52
4000,-0.35865724086761475,-0.5690896511077881,1.0,0.52
4100,-0.35865724086761475,-0.5690896511077881,1.0,0.52
4200,-0.26608574390411377,-0.3341946005821228,1.0,0.52
4300,-0.26608574390411377,-0.3341946005821228,1.0,0.52
4400,-0.26608574390411377,-0.3341946005821228,1.0,0.52
4500,-0.26608574390411377,-0.3341946005821228,1.0,0.52
4600,-0.26608574390411377,-0.3341946005821228,1.0,0.52
4700,-0.26608574390411377,-0.3341946005821228,1.0,0.52
4800,-0.26608574390411377,-0.3341946005821228,1.0,0.52
4900,-0.26608574390411377,-0.3341946005821228,1.0,0.52
5000,-0.26608574390411377,-0.3341946005821228,1.0,0.52
5100,-0.26608574390411377,-0.3341946005821228,1.0,0.52
5200,-0.26608574390411377,-0.3341946005821228,1.0,0.52
5300,-0.26608574390411377,-0.3341946005821228,1.0,0.52
5400,-0.26608574390411377,-0.3341946005821228,1.0,0.52
5500,-0.26608574390411377,-0.3341946005821228,1.0,0.52
5600,-0.26608574390411377,-0.3341946005821228,1.0,0.52
5700,-0.26608574390411377,-0.3341946005821228,1.0,0.52
5800,-0.26608574390411377,-0.3341946005821228,1.0,0.52
5900,-0.26608574390411377,-0.3341946005821228,1.0,0.52
6000,-0.1801322102546692,-0.14011573791503906,1.0,0.52
6100,-0.1801322102546692,-0.14011573791503906,1.0,0.52
6200,-0.1801322102546692,-0.14011573791503906,1.0,0.52
6300,-0.1801322102546692,-0.14011573791503906,1.0,0.52
6400,-0.1801322102546692,-0.14011573791503906,1.0,0.52
6500,-0.1801322102546692,-0.14011573791503906,1.0,0.52
6600,0.17113414406776428,0.08207035064697266,1.0,0.52
6700,0.17113414406776428,0.08207035064697266,1.0,0.52
6800,0.17113414406776428,0.08207035064697266,1.0,0.52
6900,0.17113414406776428,0.08207035064697266,1.0,0.52
7000,0.17113414406776428,0.08207035064697266,1.0,0.52
7100,0.17113414406776428,0.08207035064697266,1.0,0.52
7200,0.17113414406776428,0.08207035064697266,1.0,0.52
