evaluation,fitness,test_accuracy,uniqueness,time
0,-0.10974001884460449,-0.3078403174877167,1.0,2.50
1000,-0.0919245108962059,-0.2760747969150543,1.0,2.50
2000,-0.0919245108962059,-0.2760747969150543,1.0,2.50
3000,-0.061496537178754807,-0.02537413500249386,1.0,2.50
4000,-0.061496537178754807,-0.02537413500249386,1.0,2.50
5000,-0.061496537178754807,-0.02537413500249386,1.0,2.50
6000,-0.061496537178754807,-0.02537413500249386,1.0,2.50
7000,-0.061496537178754807,-0.02537413500249386,1.0,2.50
8000,-0.061496537178754807,-0.02537413500249386,1.0,2.50
9000,-0.033979080617427826,0.026479801163077354,1.0,2.50
10000,-0.033979080617427826,0.026479801163077354,1.0,2.50
11000,-0.033979080617427826,0.026479801163077354,1.0,2.50
12000,-0.033979080617427826,0.026479801163077354,1.0,2.50
13000,-0.033979080617427826,0.026479801163077354,1.0,2.50
14000,-0.033979080617427826,0.026479801163077354,1.0,2.50
15000,-0.033979080617427826,0.026479801163077354,1.0,2.50
16000,-0.033979080617427826,0.026479801163077354,1.0,2.50
17000,-0.033979080617427826,0.026479801163077354,1.0,2.50
18000,-0.033979080617427826,0.026479801163077354,1.0,2.50
19000,-0.033979080617427826,0.026479801163077354,1.0,2.50
20000,-0.033979080617427826,0.026479801163077354,1.0,2.50
21000,-0.03267822787165642,-0.07845079898834229,1.0,2.50
22000,-0.03267822787165642,-0.07845079898834229,1.0,2.50
23000,-0.03267822787165642,-0.07845079898834229,1.0,2.50
24000,-0.03267822787165642,-0.07845079898834229,1.0,2.50
25000,-0.03267822787165642,-0.07845079898834229,1.0,2.50
26000,-0.03267822787165642,-0.07845079898834229,1.0,2.50
27000,-0.03267822787165642,-0.07845079898834229,1.0,2.50
28000,0.011838456615805626,0.01756288670003414,1.0,2.50
29000,0.011838456615805626,0.01756288670003414,1.0,2.50
30000,0.011838456615805626,0.01756288670003414,1.0,2.50
31000,0.011838456615805626,0.01756288670003414,1.0,2.50
32000,0.03627666085958481,-0.07404784858226776,1.0,2.50
33000,0.03627666085958481,-0.07404784858226776,1.0,2.50
34000,0.03627666085958481,-0.07404784858226776,1.0,2.50
35000,0.03627666085958481,-0.07404784858226776,1.0,2.50
36000,0.03627666085958481,-0.07404784858226776,1.0,2.50
37000,0.03627666085958481,-0.07404784858226776,1.0,2.50
38000,0.03627666085958481,-0.07404784858226776,1.0,2.50
39000,0.06703545898199081,0.03170156478881836,1.0,2.50
40000,0.06703545898199081,0.03170156478881836,1.0,2.50
41000,0.06703545898199081,0.03170156478881836,1.0,2.50
42000,0.06703545898199081,0.03170156478881836,1.0,2.50
43000,0.06703545898199081,0.03170156478881836,1.0,2.50
44000,0.06703545898199081,0.03170156478881836,1.0,2.50
45000,0.06703545898199081,0.03170156478881836,1.0,2.50
46000,0.06703545898199081,0.03170156478881836,1.0,2.50
47000,0.06703545898199081,0.03170156478881836,1.0,2.50
48000,0.06703545898199081,0.03170156478881836,1.0,2.50
49000,0.06703545898199081,0.03170156478881836,1.0,2.50
50000,0.06703545898199081,0.03170156478881836,1.0,2.50
51000,0.06703545898199081,0.03170156478881836,1.0,2.50
52000,0.06703545898199081,0.03170156478881836,1.0,2.50
53000,0.06703545898199081,0.03170156478881836,1.0,2.50
54000,0.06703545898199081,0.03170156478881836,1.0,2.50
55000,0.06703545898199081,0.03170156478881836,1.0,2.50
56000,0.06703545898199081,0.03170156478881836,1.0,2.50
57000,0.06703545898199081,0.03170156478881836,1.0,2.50
58000,0.06703545898199081,0.03170156478881836,1.0,2.50
59000,0.06703545898199081,0.03170156478881836,1.0,2.50
60000,0.06703545898199081,0.03170156478881836,1.0,2.50
61000,0.06703545898199081,0.03170156478881836,1.0,2.50
