evaluation,fitness,test_accuracy,uniqueness,time
0,0.15430724620819092,0.19507849216461182,1.0,0.74
100,0.15430724620819092,0.19507849216461182,1.0,0.74
200,0.15430724620819092,0.19507849216461182,1.0,0.74
300,0.15430724620819092,0.19507849216461182,1.0,0.74
400,0.15430724620819092,0.19507849216461182,1.0,0.74
500,0.15430724620819092,0.19507849216461182,1.0,0.74
600,0.15430724620819092,0.19507849216461182,1.0,0.74
700,0.15430724620819092,0.19507849216461182,1.0,0.74
800,0.15430724620819092,0.19507849216461182,1.0,0.74
900,0.15430724620819092,0.19507849216461182,1.0,0.74
1000,0.15430724620819092,0.19507849216461182,1.0,0.74
1100,0.15430724620819092,0.19507849216461182,1.0,0.74
1200,0.15430724620819092,0.19507849216461182,1.0,0.74
1300,0.15430724620819092,0.19507849216461182,1.0,0.74
1400,0.15430724620819092,0.19507849216461182,1.0,0.74
1500,0.15430724620819092,0.19507849216461182,1.0,0.74
1600,0.15430724620819092,0.19507849216461182,1.0,0.74
1700,0.15430724620819092,0.19507849216461182,1.0,0.74
1800,0.15430724620819092,0.19507849216461182,1.0,0.74
1900,0.15430724620819092,0.19507849216461182,1.0,0.74
2000,0.15430724620819092,0.19507849216461182,1.0,0.74
2100,0.15430724620819092,0.19507849216461182,1.0,0.74
2200,0.15430724620819092,0.19507849216461182,1.0,0.74
2300,0.15430724620819092,0.19507849216461182,1.0,0.74
2400,0.15430724620819092,0.19507849216461182,1.0,0.74
2500,0.15430724620819092,0.19507849216461182,1.0,0.74
2600,0.15430724620819092,0.19507849216461182,1.0,0.74
2700,0.15430724620819092,0.19507849216461182,1.0,0.74
2800,0.15430724620819092,0.19507849216461182,1.0,0.74
2900,0.15430724620819092,0.19507849216461182,1.0,0.74
3000,0.15430724620819092,0.19507849216461182,1.0,0.74
3100,0.15430724620819092,0.19507849216461182,1.0,0.74
3200,0.15430724620819092,0.19507849216461182,1.0,0.74
3300,0.15430724620819092,0.19507849216461182,1.0,0.74
3400,0.15430724620819092,0.19507849216461182,1.0,0.74
3500,0.15430724620819092,0.19507849216461182,1.0,0.74
3600,0.15430724620819092,0.19507849216461182,1.0,0.74
3700,0.15430724620819092,0.19507849216461182,1.0,0.74
3800,0.15430724620819092,0.19507849216461182,1.0,0.74
3900,0.15430724620819092,0.19507849216461182,1.0,0.74
4000,0.15430724620819092,0.19507849216461182,1.0,0.74
4100,0.15430724620819092,0.19507849216461182,1.0,0.74
4200,0.15430724620819092,0.19507849216461182,1.0,0.74
4300,0.15430724620819092,0.19507849216461182,1.0,0.74
4400,0.15430724620819092,0.19507849216461182,1.0,0.74
4500,0.15430724620819092,0.19507849216461182,1.0,0.74
4600,0.15430724620819092,0.19507849216461182,1.0,0.74
4700,0.15430724620819092,0.19507849216461182,1.0,0.74
4800,0.15430724620819092,0.19507849216461182,1.0,0.74
4900,0.15430724620819092,0.19507849216461182,1.0,0.74
5000,0.15430724620819092,0.19507849216461182,1.0,0.74
5100,0.15430724620819092,0.19507849216461182,1.0,0.74
5200,0.15430724620819092,0.19507849216461182,1.0,0.74
5300,0.15430724620819092,0.19507849216461182,1.0,0.74
5400,0.15430724620819092,0.19507849216461182,1.0,0.74
5500,0.15430724620819092,0.19507849216461182,1.0,0.74
5600,0.15430724620819092,0.19507849216461182,1.0,0.74
5700,0.15430724620819092,0.19507849216461182,1.0,0.74
5800,0.15430724620819092,0.19507849216461182,1.0,0.74
5900,0.15430724620819092,0.19507849216461182,1.0,0.74
6000,0.15430724620819092,0.19507849216461182,1.0,0.74
6100,0.15430724620819092,0.19507849216461182,1.0,0.74
6200,0.15430724620819092,0.19507849216461182,1.0,0.74
6300,0.15430724620819092,0.19507849216461182,1.0,0.74
6400,0.15430724620819092,0.19507849216461182,1.0,0.74
6500,0.15430724620819092,0.19507849216461182,1.0,0.74
6600,0.15430724620819092,0.19507849216461182,1.0,0.74
6700,0.15430724620819092,0.19507849216461182,1.0,0.74
6800,0.15430724620819092,0.19507849216461182,1.0,0.74
6900,0.15430724620819092,0.19507849216461182,1.0,0.74
7000,0.15430724620819092,0.19507849216461182,1.0,0.74
7100,0.15430724620819092,0.19507849216461182,1.0,0.74
7200,0.15430724620819092,0.19507849216461182,1.0,0.74
7300,0.15430724620819092,0.19507849216461182,1.0,0.74
7400,0.15430724620819092,0.19507849216461182,1.0,0.74
7500,0.15430724620819092,0.19507849216461182,1.0,0.74
7600,0.15430724620819092,0.19507849216461182,1.0,0.74
7700,0.15430724620819092,0.19507849216461182,1.0,0.74
7800,0.15430724620819092,0.19507849216461182,1.0,0.74
7900,0.15430724620819092,0.19507849216461182,1.0,0.74
8000,0.15430724620819092,0.19507849216461182,1.0,0.74
8100,0.15430724620819092,0.19507849216461182,1.0,0.74
8200,0.15430724620819092,0.19507849216461182,1.0,0.74
8300,0.48199373483657837,0.4083683490753174,1.0,0.74
8400,0.48199373483657837,0.4083683490753174,1.0,0.74
8500,0.48199373483657837,0.4083683490753174,1.0,0.74
8600,0.48199373483657837,0.4083683490753174,1.0,0.74
8700,0.48199373483657837,0.4083683490753174,1.0,0.74
8800,0.48199373483657837,0.4083683490753174,1.0,0.74
8900,0.48199373483657837,0.4083683490753174,1.0,0.74
9000,0.48199373483657837,0.4083683490753174,1.0,0.74
9100,0.48199373483657837,0.4083683490753174,1.0,0.74
9200,0.48199373483657837,0.4083683490753174,1.0,0.74
