evaluation,fitness,test_accuracy,uniqueness,time
0,0.015158921480178833,-0.2073119878768921,1.0,1.50
1000,0.015158921480178833,-0.2073119878768921,1.0,1.50
2000,0.015158921480178833,-0.2073119878768921,1.0,1.50
3000,0.015158921480178833,-0.2073119878768921,1.0,1.50
4000,0.015158921480178833,-0.2073119878768921,1.0,1.50
5000,0.08715248107910156,0.21847927570343018,1.0,1.50
6000,0.08715248107910156,0.21847927570343018,1.0,1.50
7000,0.08715248107910156,0.21847927570343018,1.0,1.50
8000,0.08715248107910156,0.21847927570343018,1.0,1.50
9000,0.08715248107910156,0.21847927570343018,1.0,1.50
10000,0.08715248107910156,0.21847927570343018,1.0,1.50
11000,0.08715248107910156,0.21847927570343018,1.0,1.50
12000,0.08715248107910156,0.21847927570343018,1.0,1.50
13000,0.08715248107910156,0.21847927570343018,1.0,1.50
14000,0.08715248107910156,0.21847927570343018,1.0,1.50
15000,0.08715248107910156,0.21847927570343018,1.0,1.50
16000,0.08715248107910156,0.21847927570343018,1.0,1.50
17000,0.08715248107910156,0.21847927570343018,1.0,1.50
18000,0.09561938047409058,0.2827262878417969,1.0,1.50
19000,0.09561938047409058,0.2827262878417969,1.0,1.50
20000,0.16261550784111023,0.32771724462509155,1.0,1.50
21000,0.16261550784111023,0.32771724462509155,1.0,1.50
22000,0.16261550784111023,0.32771724462509155,1.0,1.50
23000,0.24195322394371033,0.1602666676044464,1.0,1.50
24000,0.24195322394371033,0.1602666676044464,1.0,1.50
25000,0.24195322394371033,0.1602666676044464,1.0,1.50
26000,0.24195322394371033,0.1602666676044464,1.0,1.50
27000,0.24195322394371033,0.1602666676044464,1.0,1.50
28000,0.24195322394371033,0.1602666676044464,1.0,1.50
29000,0.24195322394371033,0.1602666676044464,1.0,1.50
30000,0.24195322394371033,0.1602666676044464,1.0,1.50
31000,0.24195322394371033,0.1602666676044464,1.0,1.50
32000,0.24195322394371033,0.1602666676044464,1.0,1.50
33000,0.24195322394371033,0.1602666676044464,1.0,1.50
34000,0.24195322394371033,0.1602666676044464,1.0,1.50
35000,0.24195322394371033,0.1602666676044464,1.0,1.50
36000,0.24195322394371033,0.1602666676044464,1.0,1.50
37000,0.24195322394371033,0.1602666676044464,1.0,1.50
38000,0.24195322394371033,0.1602666676044464,1.0,1.50
39000,0.24195322394371033,0.1602666676044464,1.0,1.50
40000,0.24195322394371033,0.1602666676044464,1.0,1.50
41000,0.24195322394371033,0.1602666676044464,1.0,1.50
42000,0.24195322394371033,0.1602666676044464,1.0,1.50
43000,0.24195322394371033,0.1602666676044464,1.0,1.50
44000,0.24195322394371033,0.1602666676044464,1.0,1.50
45000,0.24195322394371033,0.1602666676044464,1.0,1.50
