evaluation,fitness,test_accuracy,uniqueness,time
0,-1.8752131462097168,-2.6932320594787598,1.0,0.90
100,-1.8752131462097168,-2.6932320594787598,1.0,0.90
200,-1.8752131462097168,-2.6932320594787598,1.0,0.90
300,-1.8752131462097168,-2.6932320594787598,1.0,0.90
400,-1.8752131462097168,-2.6932320594787598,1.0,0.90
500,-1.8752131462097168,-2.6932320594787598,1.0,0.90
600,-1.5721774101257324,-2.306656837463379,1.0,0.90
700,-1.5721774101257324,-2.306656837463379,1.0,0.90
800,-1.3106797933578491,-2.2098615169525146,1.0,0.90
900,-1.3106797933578491,-2.2098615169525146,1.0,0.90
1000,-1.3106797933578491,-2.2098615169525146,1.0,0.90
1100,-1.3106797933578491,-2.2098615169525146,1.0,0.90
1200,-1.3106797933578491,-2.2098615169525146,1.0,0.90
1300,-1.3106797933578491,-2.2098615169525146,1.0,0.90
1400,-1.3106797933578491,-2.2098615169525146,1.0,0.90
1500,-1.3106797933578491,-2.2098615169525146,1.0,0.90
1600,-1.3106797933578491,-2.2098615169525146,1.0,0.90
1700,-1.3106797933578491,-2.2098615169525146,1.0,0.90
1800,-1.3106797933578491,-2.2098615169525146,1.0,0.90
1900,-0.47430557012557983,-0.7126385569572449,1.0,0.90
2000,-0.47430557012557983,-0.7126385569572449,1.0,0.90
2100,-0.47430557012557983,-0.7126385569572449,1.0,0.90
2200,-0.30325204133987427,-0.48613613843917847,1.0,0.90
2300,-0.30325204133987427,-0.48613613843917847,1.0,0.90
2400,-0.30325204133987427,-0.48613613843917847,1.0,0.90
2500,-0.30325204133987427,-0.48613613843917847,1.0,0.90
2600,-0.30325204133987427,-0.48613613843917847,1.0,0.90
2700,-0.30325204133987427,-0.48613613843917847,1.0,0.90
2800,-0.30325204133987427,-0.48613613843917847,1.0,0.90
2900,-0.30325204133987427,-0.48613613843917847,1.0,0.90
3000,-0.30325204133987427,-0.48613613843917847,1.0,0.90
3100,-0.30325204133987427,-0.48613613843917847,1.0,0.90
